row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ000289,2,0x00000001,0x01005005,-536870912,32,"-536870912/2^32","-536870912"
FQ000290,2,0x00000001,0x01007007,-402653184,32,"-402653184/2^32","-402653184"
FQ000291,2,0x00000001,0x0100b00b,-402653184,32,"-402653184/2^32","-402653184"
FQ000292,2,0x00000001,0x0100f00f,402653184,32,"402653184/2^32","402653184"
FQ000293,2,0x00000001,0x02002002,-536870912,32,"-536870912/2^32","-536870912"
FQ000294,2,0x00000001,0x02003003,402653184,32,"402653184/2^32","402653184"
FQ000295,2,0x00000001,0x03002002,402653184,32,"402653184/2^32","402653184"
FQ000296,2,0x00000001,0x03004004,-536870912,32,"-536870912/2^32","-536870912"
FQ000297,2,0x00000001,0x04003003,-536870912,32,"-536870912/2^32","-536870912"
FQ000298,2,0x00000001,0x0400b00b,-536870912,32,"-536870912/2^32","-536870912"
FQ000299,2,0x00000001,0x0400e00e,805306368,32,"805306368/2^32","805306368"
FQ000300,2,0x00000001,0x05001001,-536870912,32,"-536870912/2^32","-536870912"
FQ000301,2,0x00000001,0x0500e00e,-671088640,32,"-671088640/2^32","-671088640"
FQ000302,2,0x00000001,0x06006006,-536870912,32,"-536870912/2^32","-536870912"
FQ000303,2,0x00000001,0x0600d00d,402653184,32,"402653184/2^32","402653184"
FQ000304,2,0x00000001,0x07001001,-402653184,32,"-402653184/2^32","-402653184"
FQ000305,2,0x00000001,0x07009009,-402653184,32,"-402653184/2^32","-402653184"
FQ000306,2,0x00000001,0x0700e00e,-402653184,32,"-402653184/2^32","-402653184"
FQ000307,2,0x00000001,0x08008008,-536870912,32,"-536870912/2^32","-536870912"
FQ000308,2,0x00000001,0x0800c00c,536870912,32,"536870912/2^32","536870912"
FQ000309,2,0x00000001,0x09007007,-402653184,32,"-402653184/2^32","-402653184"
FQ000310,2,0x00000001,0x0900d00d,536870912,32,"536870912/2^32","536870912"
FQ000311,2,0x00000001,0x0900e00e,402653184,32,"402653184/2^32","402653184"
FQ000312,2,0x00000001,0x0900f00f,402653184,32,"402653184/2^32","402653184"
FQ000313,2,0x00000001,0x0a00a00a,-536870912,32,"-536870912/2^32","-536870912"
FQ000314,2,0x00000001,0x0a00c00c,536870912,32,"536870912/2^32","536870912"
FQ000315,2,0x00000001,0x0b001001,-402653184,32,"-402653184/2^32","-402653184"
FQ000316,2,0x00000001,0x0b004004,-536870912,32,"-536870912/2^32","-536870912"
FQ000317,2,0x00000001,0x0b00b00b,-805306368,32,"-805306368/2^32","-805306368"
FQ000318,2,0x00000001,0x0b00c00c,-536870912,32,"-536870912/2^32","-536870912"
FQ000319,2,0x00000001,0x0b00d00d,-402653184,32,"-402653184/2^32","-402653184"
FQ000320,2,0x00000001,0x0b00e00e,-402653184,32,"-402653184/2^32","-402653184"
FQ000321,2,0x00000001,0x0c008008,536870912,32,"536870912/2^32","536870912"
FQ000322,2,0x00000001,0x0c00a00a,536870912,32,"536870912/2^32","536870912"
FQ000323,2,0x00000001,0x0c00b00b,-536870912,32,"-536870912/2^32","-536870912"
FQ000324,2,0x00000001,0x0c00c00c,-536870912,32,"-536870912/2^32","-536870912"
FQ000325,2,0x00000001,0x0d006006,402653184,32,"402653184/2^32","402653184"
FQ000326,2,0x00000001,0x0d009009,536870912,32,"536870912/2^32","536870912"
FQ000327,2,0x00000001,0x0d00b00b,-402653184,32,"-402653184/2^32","-402653184"
FQ000328,2,0x00000001,0x0d00e00e,402653184,32,"402653184/2^32","402653184"
FQ000329,2,0x00000001,0x0e004004,805306368,32,"805306368/2^32","805306368"
FQ000330,2,0x00000001,0x0e005005,-671088640,32,"-671088640/2^32","-671088640"
FQ000331,2,0x00000001,0x0e007007,-402653184,32,"-402653184/2^32","-402653184"
FQ000332,2,0x00000001,0x0e009009,402653184,32,"402653184/2^32","402653184"
FQ000333,2,0x00000001,0x0e00b00b,-402653184,32,"-402653184/2^32","-402653184"
FQ000334,2,0x00000001,0x0e00d00d,402653184,32,"402653184/2^32","402653184"
FQ000335,2,0x00000001,0x0f001001,402653184,32,"402653184/2^32","402653184"
FQ000336,2,0x00000001,0x0f009009,402653184,32,"402653184/2^32","402653184"
