r,u,generated_transitions,expanded_states
1,0x00000001,10,1
1,0x00000002,4,1
1,0x00000003,10,1
1,0x00000004,4,1
1,0x00000005,10,1
1,0x00000006,4,1
1,0x00000007,10,1
1,0x00000008,10,1
1,0x00000009,10,1
1,0x0000000a,10,1
1,0x0000000b,10,1
1,0x0000000c,10,1
1,0x0000000d,10,1
1,0x0000000e,10,1
1,0x0000000f,10,1
1,0x00000010,10,1
1,0x00000020,4,1
1,0x00000030,10,1
1,0x00000040,4,1
1,0x00000050,10,1
1,0x00000060,4,1
1,0x00000070,10,1
1,0x00000080,10,1
1,0x00000090,10,1
1,0x000000a0,10,1
1,0x000000b0,10,1
1,0x000000c0,10,1
1,0x000000d0,10,1
1,0x000000e0,10,1
1,0x000000f0,10,1
1,0x00000100,10,1
1,0x00000200,4,1
1,0x00000300,10,1
1,0x00000400,4,1
1,0x00000500,10,1
1,0x00000600,4,1
1,0x00000700,10,1
1,0x00000800,10,1
1,0x00000900,10,1
1,0x00000a00,10,1
1,0x00000b00,10,1
1,0x00000c00,10,1
1,0x00000d00,10,1
1,0x00000e00,10,1
1,0x00000f00,10,1
1,0x00001000,10,1
1,0x00002000,4,1
1,0x00003000,10,1
1,0x00004000,4,1
1,0x00005000,10,1
1,0x00006000,4,1
1,0x00007000,10,1
1,0x00008000,10,1
1,0x00009000,10,1
1,0x0000a000,10,1
1,0x0000b000,10,1
1,0x0000c000,10,1
1,0x0000d000,10,1
1,0x0000e000,10,1
1,0x0000f000,10,1
1,0x00010000,10,1
1,0x00020000,4,1
1,0x00030000,10,1
1,0x00040000,4,1
1,0x00050000,10,1
1,0x00060000,4,1
1,0x00070000,10,1
1,0x00080000,10,1
1,0x00090000,10,1
1,0x000a0000,10,1
1,0x000b0000,10,1
1,0x000c0000,10,1
1,0x000d0000,10,1
1,0x000e0000,10,1
1,0x000f0000,10,1
1,0x00100000,10,1
1,0x00200000,4,1
1,0x00300000,10,1
1,0x00400000,4,1
1,0x00500000,10,1
1,0x00600000,4,1
1,0x00700000,10,1
1,0x00800000,10,1
1,0x00900000,10,1
1,0x00a00000,10,1
1,0x00b00000,10,1
1,0x00c00000,10,1
1,0x00d00000,10,1
1,0x00e00000,10,1
1,0x00f00000,10,1
1,0x01000000,10,1
1,0x02000000,4,1
1,0x03000000,10,1
1,0x04000000,4,1
1,0x05000000,10,1
1,0x06000000,4,1
1,0x07000000,10,1
1,0x08000000,10,1
1,0x09000000,10,1
1,0x0a000000,10,1
1,0x0b000000,10,1
1,0x0c000000,10,1
1,0x0d000000,10,1
1,0x0e000000,10,1
1,0x0f000000,10,1
1,0x10000000,10,1
1,0x20000000,4,1
1,0x30000000,10,1
1,0x40000000,4,1
1,0x50000000,10,1
1,0x60000000,4,1
1,0x70000000,10,1
1,0x80000000,10,1
1,0x90000000,10,1
1,0xa0000000,10,1
1,0xb0000000,10,1
1,0xc0000000,10,1
1,0xd0000000,10,1
1,0xe0000000,10,1
1,0xf0000000,10,1
2,0x00000001,842,11
2,0x00000002,404,5
2,0x00000003,842,11
2,0x00000004,320,5
2,0x00000005,842,11
2,0x00000006,320,5
2,0x00000007,842,11
2,0x00000008,926,11
2,0x00000009,842,11
2,0x0000000a,926,11
2,0x0000000b,842,11
2,0x0000000c,842,11
2,0x0000000d,842,11
2,0x0000000e,842,11
2,0x0000000f,842,11
2,0x00000010,842,11
2,0x00000020,404,5
2,0x00000030,842,11
2,0x00000040,320,5
2,0x00000050,842,11
2,0x00000060,320,5
2,0x00000070,842,11
2,0x00000080,926,11
2,0x00000090,842,11
2,0x000000a0,926,11
2,0x000000b0,842,11
2,0x000000c0,842,11
2,0x000000d0,842,11
2,0x000000e0,842,11
2,0x000000f0,842,11
2,0x00000100,8138,11
2,0x00000200,4004,5
2,0x00000300,8138,11
2,0x00000400,3068,5
2,0x00000500,8138,11
2,0x00000600,3068,5
2,0x00000700,8138,11
2,0x00000800,9074,11
2,0x00000900,8138,11
2,0x00000a00,9074,11
2,0x00000b00,8138,11
2,0x00000c00,8138,11
2,0x00000d00,8138,11
2,0x00000e00,8138,11
2,0x00000f00,8138,11
2,0x00001000,98,11
2,0x00001001,73316,101
2,0x00001002,35240,41
2,0x00001003,73316,101
2,0x00001004,27848,41
2,0x00001005,73316,101
2,0x00001006,27848,41
2,0x00001007,73316,101
2,0x00001008,80708,101
2,0x00001009,73316,101
2,0x0000100a,80708,101
2,0x0000100b,73316,101
2,0x0000100c,73316,101
2,0x0000100d,73316,101
2,0x0000100e,73316,101
2,0x0000100f,73316,101
2,0x00001010,7220,101
2,0x00001020,3320,41
2,0x00001030,7280,101
2,0x00001040,2840,41
2,0x00001050,7310,101
2,0x00001060,2870,41
2,0x00001070,7340,101
2,0x00001080,7892,101
2,0x00001090,7340,101
2,0x000010a0,7892,101
2,0x000010b0,7430,101
2,0x000010c0,7442,101
2,0x000010d0,7340,101
2,0x000010e0,7442,101
2,0x000010f0,7310,101
2,0x00001200,352040,41
2,0x00001400,269672,41
2,0x00001600,269672,41
2,0x00002000,44,5
2,0x00002001,33320,41
2,0x00002002,16016,17
2,0x00002003,33320,41
2,0x00002004,12656,17
2,0x00002005,33320,41
2,0x00002006,12656,17
2,0x00002007,33320,41
2,0x00002008,36680,41
2,0x00002009,33320,41
2,0x0000200a,36680,41
2,0x0000200b,33320,41
2,0x0000200c,33320,41
2,0x0000200d,33320,41
2,0x0000200e,33320,41
2,0x0000200f,33320,41
2,0x00002010,2840,41
2,0x00002020,1016,17
2,0x00002030,2840,41
2,0x00002040,1136,17
2,0x00002050,2840,41
2,0x00002060,1136,17
2,0x00002070,2840,41
2,0x00002080,2720,41
