r,u,selection_reason,active_count,complexity_percentile,complexity_band,generated_transitions,expanded_states,query_count,deterministic_hash
1,0x00000001,all_r1,1,100.0,"[95,100]",10,1,2,563a98cdcc3971f50b05912fe4095e8e39efedf7c5c9a10da7d4902b5f4a304a
1,0x00000002,all_r1,1,100.0,"[95,100]",4,1,4,1d24ff48994676068b53ff6fc6f1bf39e5fa73f818f82fdb889c6a3f28ba4bbe
1,0x00000003,all_r1,1,100.0,"[95,100]",10,1,2,06be9e285041a6a8fe901f0c8a064e8883cdb932cd8dbd7d01051dbfea531616
1,0x00000004,all_r1,1,100.0,"[95,100]",4,1,4,6cc4a50743b6fd724bff128256ff177284e87297854efb25083f03557af91f06
1,0x00000005,all_r1,1,100.0,"[95,100]",10,1,2,e6d438e6a2bf46378abac8493d66bced8d8017d4512d40e3c999e1a9e162972e
1,0x00000006,all_r1,1,100.0,"[95,100]",4,1,4,d5c6af4fc8abeaf4db710e97f5f1c26c0336fa535e79740d661af1bf708b83f9
1,0x00000007,all_r1,1,100.0,"[95,100]",10,1,2,162e74980e6cd9be53b2adf4721fa48b3ed21320743ea42e686a224eaa9a4c7f
1,0x00000008,all_r1,1,100.0,"[95,100]",10,1,2,21a6420da40e11186bad399947949c71445372145c5fffed1aa8d4d636c09b32
1,0x00000009,all_r1,1,100.0,"[95,100]",10,1,2,16dd73954dd0626750db9ccdf8691b083c921d248606b3bebee9475040261f59
1,0x0000000a,all_r1,1,100.0,"[95,100]",10,1,2,73bb9ed9019c0f417f429686771688140d3369026b48d7589ec93ef6b7b7e54e
1,0x0000000b,all_r1,1,100.0,"[95,100]",10,1,2,88eb3839759699bba235f20e3f2ed5ef4961ad565fa209da1f1ea48409106875
1,0x0000000c,all_r1,1,100.0,"[95,100]",10,1,2,c600484a693f33748bec8e70325c841433e920371b9f9b65bc6956d1bc019257
1,0x0000000d,all_r1,1,100.0,"[95,100]",10,1,2,65854d16d91d72a3fbc1cc4581b33521a827bf79e6c6a2e0329d975f1f447994
1,0x0000000e,all_r1,1,100.0,"[95,100]",10,1,2,e4fce1c53a75d3e1a5de35faf0f87a4cc290ba4f2ce109bd4eba2b71a3ea742d
1,0x0000000f,all_r1,1,100.0,"[95,100]",10,1,2,d59a743d14547217ef9907b914ee8ceb7b76e5814226a008d9f276a2d2847775
1,0x00000010,all_r1,1,100.0,"[95,100]",10,1,2,69d03c365ff436983299bf60929d49426826e8fd3b2c67172968f0e47f2306b7
1,0x00000020,all_r1,1,100.0,"[95,100]",4,1,4,e8fb4b455acb3b5fa3bbf62a171a983680d33a90de5a01787e15c4ccddda1eec
1,0x00000030,all_r1,1,100.0,"[95,100]",10,1,2,564f10152f4e96bb11bf09f7db6c24283233e961463de62cb4a840bf53d60b48
1,0x00000040,all_r1,1,100.0,"[95,100]",4,1,4,a2854acef0ce84552cfe31dd568e17e71f2a010bb29bd2d13b80444e8de76717
1,0x00000050,all_r1,1,100.0,"[95,100]",10,1,2,9c2f086cf50bbda781170772675ca19142ad4fe3a9d66ad4da96a24c934a57d5
1,0x00000060,all_r1,1,100.0,"[95,100]",4,1,4,f362ab825fb17a167f0606c293579660b67bc7471b55ec402cc1ff36508a660c
1,0x00000070,all_r1,1,100.0,"[95,100]",10,1,2,a9c650d2ed886993527b858443e9e95d17b75954ef18d17de20a817467468429
1,0x00000080,all_r1,1,100.0,"[95,100]",10,1,2,827c7447db90df12ca6e97d0c14a46cb9984fb7a2e77d2cf83b04811ecde9716
1,0x00000090,all_r1,1,100.0,"[95,100]",10,1,2,1604e3fc42d9cc492d1fd5934fc38bc7f5bd1e26edb6023d8469b2c4533663b4
1,0x000000a0,all_r1,1,100.0,"[95,100]",10,1,2,d7df7a26bb9bf1c5258044cecbbabcbf7b109d46d0c2c411c6dcd38fdb19e506
1,0x000000b0,all_r1,1,100.0,"[95,100]",10,1,2,f4b834b44286f2ec9f706f48fc3fba8471373e503f6d5a86ac2d1de125193227
1,0x000000c0,all_r1,1,100.0,"[95,100]",10,1,2,0548907a7b0983be77739d05f8f2e9cdef59950fb81d365d34acabcf53ce19cd
1,0x000000d0,all_r1,1,100.0,"[95,100]",10,1,2,5f85934332cf64e25d1cac22e5cc7f65cd64a82887d869d7a800e568c02da9e2
1,0x000000e0,all_r1,1,100.0,"[95,100]",10,1,2,ce4641d2e0690ad99b0718f7a310bcb5f2df3e0627583d76429b6b4f2ef9bfd3
