row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ004150,2,0x00002d00,0x06864440,-402653184,32,"-402653184/2^32","-402653184"
FQ004151,2,0x00002d00,0x0686eee0,-369098752,32,"-369098752/2^32","-369098752"
FQ004152,2,0x00002d00,0x07874440,-402653184,32,"-402653184/2^32","-402653184"
FQ004153,2,0x00002d00,0x0c8c4662,-402653184,32,"-402653184/2^32","-402653184"
FQ004154,2,0x00002d00,0x0c8c4773,402653184,32,"402653184/2^32","402653184"
FQ004155,2,0x00002d00,0x0c8c4eea,-402653184,32,"-402653184/2^32","-402653184"
FQ004156,2,0x00002d00,0x0c8c4ffb,-402653184,32,"-402653184/2^32","-402653184"
FQ004157,2,0x00002d00,0x0c8c6442,-402653184,32,"-402653184/2^32","-402653184"
FQ004158,2,0x00002d00,0x0c8c7443,402653184,32,"402653184/2^32","402653184"
FQ004159,2,0x00002d00,0x0c8ce44a,-402653184,32,"-402653184/2^32","-402653184"
FQ004160,2,0x00002d00,0x0c8cf44b,-402653184,32,"-402653184/2^32","-402653184"
FQ004161,2,0x00002d00,0x0e8e4440,-402653184,32,"-402653184/2^32","-402653184"
FQ004162,2,0x00002d00,0x0e8e6660,-369098752,32,"-369098752/2^32","-369098752"
FQ004163,2,0x00002d00,0x0f8f4440,402653184,32,"402653184/2^32","402653184"
