row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ013903,2,0x0000b0f0,0x13320000,-671088640,32,"-671088640/2^32","-671088640"
FQ013904,2,0x0000b0f0,0x17760000,-402653184,32,"-402653184/2^32","-402653184"
FQ013905,2,0x0000b0f0,0x1aab0000,402653184,32,"402653184/2^32","402653184"
FQ013906,2,0x0000b0f0,0x1ffe0000,402653184,32,"402653184/2^32","402653184"
FQ013907,2,0x0000b0f0,0x24460000,-536870912,32,"-536870912/2^32","-536870912"
FQ013908,2,0x0000b0f0,0x25570000,-402653184,32,"-402653184/2^32","-402653184"
FQ013909,2,0x0000b0f0,0x299b0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013910,2,0x0000b0f0,0x2bb90000,402653184,32,"402653184/2^32","402653184"
FQ013911,2,0x0000b0f0,0x32210000,402653184,32,"402653184/2^32","402653184"
FQ013912,2,0x0000b0f0,0x36650000,-402653184,32,"-402653184/2^32","-402653184"
FQ013913,2,0x0000b0f0,0x3dde0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013914,2,0x0000b0f0,0x3eed0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013915,2,0x0000b0f0,0x53360000,-671088640,32,"-671088640/2^32","-671088640"
FQ013916,2,0x0000b0f0,0x56630000,402653184,32,"402653184/2^32","402653184"
FQ013917,2,0x0000b0f0,0x5eeb0000,402653184,32,"402653184/2^32","402653184"
FQ013918,2,0x0000b0f0,0x5ffa0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013919,2,0x0000b0f0,0x61170000,-402653184,32,"-402653184/2^32","-402653184"
FQ013920,2,0x0000b0f0,0x63350000,-402653184,32,"-402653184/2^32","-402653184"
FQ013921,2,0x0000b0f0,0x699f0000,402653184,32,"402653184/2^32","402653184"
FQ013922,2,0x0000b0f0,0x6ddb0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013923,2,0x0000b0f0,0x71160000,-402653184,32,"-402653184/2^32","-402653184"
FQ013924,2,0x0000b0f0,0x73340000,-805306368,32,"-805306368/2^32","-805306368"
FQ013925,2,0x0000b0f0,0x76610000,-402653184,32,"-402653184/2^32","-402653184"
FQ013926,2,0x0000b0f0,0x833b0000,536870912,32,"536870912/2^32","536870912"
FQ013927,2,0x0000b0f0,0x844c0000,-1073741824,32,"-1073741824/2^32","-1073741824"
FQ013928,2,0x0000b0f0,0x866e0000,536870912,32,"536870912/2^32","536870912"
FQ013929,2,0x0000b0f0,0x8bb30000,536870912,32,"536870912/2^32","536870912"
FQ013930,2,0x0000b0f0,0x8ee60000,-536870912,32,"-536870912/2^32","-536870912"
FQ013931,2,0x0000b0f0,0x91180000,-805306368,32,"-805306368/2^32","-805306368"
FQ013932,2,0x0000b0f0,0x933a0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013933,2,0x0000b0f0,0x9ff60000,-402653184,32,"-402653184/2^32","-402653184"
FQ013934,2,0x0000b0f0,0xa3390000,-402653184,32,"-402653184/2^32","-402653184"
FQ013935,2,0x0000b0f0,0xa44e0000,536870912,32,"536870912/2^32","536870912"
FQ013936,2,0x0000b0f0,0xa55f0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013937,2,0x0000b0f0,0xa9930000,-402653184,32,"-402653184/2^32","-402653184"
FQ013938,2,0x0000b0f0,0xb55e0000,-402653184,32,"-402653184/2^32","-402653184"
FQ013939,2,0x0000b0f0,0xb9920000,402653184,32,"402653184/2^32","402653184"
FQ013940,2,0x0000b0f0,0xbdd60000,402653184,32,"402653184/2^32","402653184"
FQ013941,2,0x0000b0f0,0xd33e0000,402653184,32,"402653184/2^32","402653184"
FQ013942,2,0x0000b0f0,0xd77a0000,402653184,32,"402653184/2^32","402653184"
FQ013943,2,0x0000b0f0,0xd9940000,-536870912,32,"-536870912/2^32","-536870912"
FQ013944,2,0x0000b0f0,0xdaa70000,402653184,32,"402653184/2^32","402653184"
FQ013945,2,0x0000b0f0,0xdff20000,-402653184,32,"-402653184/2^32","-402653184"
FQ013946,2,0x0000b0f0,0xe33d0000,-671088640,32,"-671088640/2^32","-671088640"
FQ013947,2,0x0000b0f0,0xe7790000,402653184,32,"402653184/2^32","402653184"
FQ013948,2,0x0000b0f0,0xe9970000,402653184,32,"402653184/2^32","402653184"
FQ013949,2,0x0000b0f0,0xf11e0000,402653184,32,"402653184/2^32","402653184"
FQ013950,2,0x0000b0f0,0xf44b0000,805306368,32,"805306368/2^32","805306368"
FQ013951,2,0x0000b0f0,0xfee10000,402653184,32,"402653184/2^32","402653184"
