row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ014981,2,0x0000d001,0x01ff4004,-402653184,32,"-402653184/2^32","-402653184"
FQ014982,2,0x0000d001,0x01ff5005,335544320,32,"335544320/2^32","335544320"
FQ014983,2,0x0000d001,0x0277e00e,-335544320,32,"-335544320/2^32","-335544320"
FQ014984,2,0x0000d001,0x0377e00e,402653184,32,"402653184/2^32","402653184"
FQ014985,2,0x0000d001,0x04ffb00b,402653184,32,"402653184/2^32","402653184"
FQ014986,2,0x0000d001,0x09774004,402653184,32,"402653184/2^32","402653184"
FQ014987,2,0x0000d001,0x09775005,-335544320,32,"-335544320/2^32","-335544320"
FQ014988,2,0x0000d001,0x0affe00e,335544320,32,"335544320/2^32","335544320"
FQ014989,2,0x0000d001,0x0bffe00e,-402653184,32,"-402653184/2^32","-402653184"
FQ014990,2,0x0000d001,0x0c77b00b,-402653184,32,"-402653184/2^32","-402653184"
