row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ025967,2,0x0020e000,0x0333788f,536870912,32,"536870912/2^32","536870912"
FQ025968,2,0x0020e000,0x0333877f,536870912,32,"536870912/2^32","536870912"
FQ025969,2,0x0020e000,0x03338880,536870912,32,"536870912/2^32","536870912"
FQ025970,2,0x0020e000,0x0333ccc0,536870912,32,"536870912/2^32","536870912"
FQ025971,2,0x0020e000,0x0333fff0,402653184,32,"402653184/2^32","402653184"
FQ025972,2,0x0020e000,0x0777788f,536870912,32,"536870912/2^32","536870912"
FQ025973,2,0x0020e000,0x0777877f,536870912,32,"536870912/2^32","536870912"
FQ025974,2,0x0020e000,0x07778880,536870912,32,"536870912/2^32","536870912"
FQ025975,2,0x0020e000,0x0777ccc0,536870912,32,"536870912/2^32","536870912"
FQ025976,2,0x0020e000,0x0777fff0,402653184,32,"402653184/2^32","402653184"
FQ025977,2,0x0020e000,0x0bbb788f,-536870912,32,"-536870912/2^32","-536870912"
FQ025978,2,0x0020e000,0x0bbb877f,-536870912,32,"-536870912/2^32","-536870912"
FQ025979,2,0x0020e000,0x0bbb8880,-536870912,32,"-536870912/2^32","-536870912"
FQ025980,2,0x0020e000,0x0bbbccc0,-536870912,32,"-536870912/2^32","-536870912"
FQ025981,2,0x0020e000,0x0bbbfff0,-402653184,32,"-402653184/2^32","-402653184"
FQ025982,2,0x0020e000,0x0fff788f,536870912,32,"536870912/2^32","536870912"
FQ025983,2,0x0020e000,0x0fff877f,536870912,32,"536870912/2^32","536870912"
FQ025984,2,0x0020e000,0x0fff8880,536870912,32,"536870912/2^32","536870912"
FQ025985,2,0x0020e000,0x0fffccc0,536870912,32,"536870912/2^32","536870912"
FQ025986,2,0x0020e000,0x0ffffff0,402653184,32,"402653184/2^32","402653184"
