row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ039050,2,0x0d00e000,0x3eed0404,-402653184,32,"-402653184/2^32","-402653184"
FQ039051,2,0x0d00e000,0x41150404,402653184,32,"402653184/2^32","402653184"
FQ039052,2,0x0d00e000,0x44400404,-402653184,32,"-402653184/2^32","-402653184"
FQ039053,2,0x0d00e000,0x499d0404,402653184,32,"402653184/2^32","402653184"
FQ039054,2,0x0d00e000,0x4cc80404,402653184,32,"402653184/2^32","402653184"
FQ039055,2,0x0d00e000,0x4eea0303,-402653184,32,"-402653184/2^32","-402653184"
FQ039056,2,0x0d00e000,0x4eea0606,-402653184,32,"-402653184/2^32","-402653184"
FQ039057,2,0x0d00e000,0x4eea0b0b,-402653184,32,"-402653184/2^32","-402653184"
FQ039058,2,0x0d00e000,0x4eea0e0e,402653184,32,"402653184/2^32","402653184"
FQ039059,2,0x0d00e000,0x6cca0606,436207616,32,"436207616/2^32","436207616"
FQ039060,2,0x0d00e000,0x6ee80404,-402653184,32,"-402653184/2^32","-402653184"
FQ039061,2,0x0d00e000,0xbee50404,-402653184,32,"-402653184/2^32","-402653184"
FQ039062,2,0x0d00e000,0xe44a0e0e,-436207616,32,"-436207616/2^32","-436207616"
FQ039063,2,0x0d00e000,0xeee00404,402653184,32,"402653184/2^32","402653184"
