row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ055892,2,0x2c006000,0x22200282,-335544320,32,"-335544320/2^32","-335544320"
FQ055893,2,0x2c006000,0x22200a8a,-335544320,32,"-335544320/2^32","-335544320"
FQ055894,2,0x2c006000,0x2aa80282,335544320,32,"335544320/2^32","335544320"
FQ055895,2,0x2c006000,0x2aa80a8a,335544320,32,"335544320/2^32","335544320"
FQ055896,2,0x2c006000,0x2bb90787,-436207616,32,"-436207616/2^32","-436207616"
FQ055897,2,0x2c006000,0x2bb90a8a,-469762048,32,"-469762048/2^32","-469762048"
FQ055898,2,0x2c006000,0x2bb90f8f,-436207616,32,"-436207616/2^32","-436207616"
FQ055899,2,0x2c006000,0x32210383,301989888,32,"301989888/2^32","301989888"
FQ055900,2,0x2c006000,0x32210b8b,-369098752,32,"-369098752/2^32","-369098752"
FQ055901,2,0x2c006000,0x3aa90383,-301989888,32,"-301989888/2^32","-301989888"
FQ055902,2,0x2c006000,0x3aa90b8b,369098752,32,"369098752/2^32","369098752"
FQ055903,2,0x2c006000,0x7bbc0282,436207616,32,"436207616/2^32","436207616"
FQ055904,2,0x2c006000,0x7bbc0787,-402653184,32,"-402653184/2^32","-402653184"
FQ055905,2,0x2c006000,0x7bbc0a8a,-436207616,32,"-436207616/2^32","-436207616"
FQ055906,2,0x2c006000,0x7bbc0f8f,-335544320,32,"-335544320/2^32","-335544320"
FQ055907,2,0x2c006000,0x833b0080,-402653184,32,"-402653184/2^32","-402653184"
FQ055908,2,0x2c006000,0xa2280282,-335544320,32,"-335544320/2^32","-335544320"
FQ055909,2,0x2c006000,0xa2280a8a,-335544320,32,"-335544320/2^32","-335544320"
FQ055910,2,0x2c006000,0xaaa00282,335544320,32,"335544320/2^32","335544320"
FQ055911,2,0x2c006000,0xaaa00a8a,335544320,32,"335544320/2^32","335544320"
FQ055912,2,0x2c006000,0xabb10282,-469762048,32,"-469762048/2^32","-469762048"
FQ055913,2,0x2c006000,0xabb10787,436207616,32,"436207616/2^32","436207616"
FQ055914,2,0x2c006000,0xabb10f8f,436207616,32,"436207616/2^32","436207616"
FQ055915,2,0x2c006000,0xb2290383,-369098752,32,"-369098752/2^32","-369098752"
FQ055916,2,0x2c006000,0xb2290b8b,301989888,32,"301989888/2^32","301989888"
FQ055917,2,0x2c006000,0xbaa10383,369098752,32,"369098752/2^32","369098752"
FQ055918,2,0x2c006000,0xbaa10b8b,-301989888,32,"-301989888/2^32","-301989888"
FQ055919,2,0x2c006000,0xfbb40282,436207616,32,"436207616/2^32","436207616"
FQ055920,2,0x2c006000,0xfbb40787,-335544320,32,"-335544320/2^32","-335544320"
FQ055921,2,0x2c006000,0xfbb40a8a,-436207616,32,"-436207616/2^32","-436207616"
FQ055922,2,0x2c006000,0xfbb40f8f,-402653184,32,"-402653184/2^32","-402653184"
