row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ056329,2,0x2e004000,0x22200282,-335544320,32,"-335544320/2^32","-335544320"
FQ056330,2,0x2e004000,0x22200a8a,-335544320,32,"-335544320/2^32","-335544320"
FQ056331,2,0x2e004000,0x23310282,469762048,32,"469762048/2^32","469762048"
FQ056332,2,0x2e004000,0x23310787,-436207616,32,"-436207616/2^32","-436207616"
FQ056333,2,0x2e004000,0x23310f8f,-436207616,32,"-436207616/2^32","-436207616"
FQ056334,2,0x2e004000,0x2aa80282,335544320,32,"335544320/2^32","335544320"
FQ056335,2,0x2e004000,0x2aa80a8a,335544320,32,"335544320/2^32","335544320"
FQ056336,2,0x2e004000,0x32210383,301989888,32,"301989888/2^32","301989888"
FQ056337,2,0x2e004000,0x32210b8b,-369098752,32,"-369098752/2^32","-369098752"
FQ056338,2,0x2e004000,0x3aa90383,-301989888,32,"-301989888/2^32","-301989888"
FQ056339,2,0x2e004000,0x3aa90b8b,369098752,32,"369098752/2^32","369098752"
FQ056340,2,0x2e004000,0x73340282,436207616,32,"436207616/2^32","436207616"
FQ056341,2,0x2e004000,0x73340787,-402653184,32,"-402653184/2^32","-402653184"
FQ056342,2,0x2e004000,0x73340a8a,-436207616,32,"-436207616/2^32","-436207616"
FQ056343,2,0x2e004000,0x73340f8f,-335544320,32,"-335544320/2^32","-335544320"
FQ056344,2,0x2e004000,0x76610f8f,-301989888,32,"-301989888/2^32","-301989888"
FQ056345,2,0x2e004000,0x8bb30080,-402653184,32,"-402653184/2^32","-402653184"
FQ056346,2,0x2e004000,0xa2280282,-335544320,32,"-335544320/2^32","-335544320"
FQ056347,2,0x2e004000,0xa2280a8a,-335544320,32,"-335544320/2^32","-335544320"
FQ056348,2,0x2e004000,0xa3390787,436207616,32,"436207616/2^32","436207616"
FQ056349,2,0x2e004000,0xa3390a8a,469762048,32,"469762048/2^32","469762048"
FQ056350,2,0x2e004000,0xa3390f8f,436207616,32,"436207616/2^32","436207616"
FQ056351,2,0x2e004000,0xaaa00282,335544320,32,"335544320/2^32","335544320"
FQ056352,2,0x2e004000,0xaaa00a8a,335544320,32,"335544320/2^32","335544320"
FQ056353,2,0x2e004000,0xb2290383,-369098752,32,"-369098752/2^32","-369098752"
FQ056354,2,0x2e004000,0xb2290b8b,301989888,32,"301989888/2^32","301989888"
FQ056355,2,0x2e004000,0xbaa10383,369098752,32,"369098752/2^32","369098752"
FQ056356,2,0x2e004000,0xbaa10b8b,-301989888,32,"-301989888/2^32","-301989888"
FQ056357,2,0x2e004000,0xcbb70484,-402653184,32,"-402653184/2^32","-402653184"
FQ056358,2,0x2e004000,0xf33c0282,436207616,32,"436207616/2^32","436207616"
FQ056359,2,0x2e004000,0xf33c0787,-335544320,32,"-335544320/2^32","-335544320"
FQ056360,2,0x2e004000,0xf33c0a8a,-436207616,32,"-436207616/2^32","-436207616"
FQ056361,2,0x2e004000,0xf33c0f8f,-402653184,32,"-402653184/2^32","-402653184"
FQ056362,2,0x2e004000,0xfee10787,-301989888,32,"-301989888/2^32","-301989888"
