row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ061146,2,0x40a00000,0x00001776,-536870912,32,"-536870912/2^32","-536870912"
FQ061147,2,0x40a00000,0x00001998,402653184,32,"402653184/2^32","402653184"
FQ061148,2,0x40a00000,0x00002331,-939524096,32,"-939524096/2^32","-939524096"
FQ061149,2,0x40a00000,0x0000299b,402653184,32,"402653184/2^32","402653184"
FQ061150,2,0x40a00000,0x00002bb9,402653184,32,"402653184/2^32","402653184"
FQ061151,2,0x40a00000,0x00003447,402653184,32,"402653184/2^32","402653184"
FQ061152,2,0x40a00000,0x00003774,402653184,32,"402653184/2^32","402653184"
FQ061153,2,0x40a00000,0x00003ffc,-402653184,32,"-402653184/2^32","-402653184"
FQ061154,2,0x40a00000,0x00004773,805306368,32,"805306368/2^32","805306368"
FQ061155,2,0x40a00000,0x0000599c,402653184,32,"402653184/2^32","402653184"
FQ061156,2,0x40a00000,0x00005cc9,-402653184,32,"-402653184/2^32","-402653184"
FQ061157,2,0x40a00000,0x00006660,-536870912,32,"-536870912/2^32","-536870912"
FQ061158,2,0x40a00000,0x00006771,671088640,32,"671088640/2^32","671088640"
FQ061159,2,0x40a00000,0x00006ddb,-402653184,32,"-402653184/2^32","-402653184"
FQ061160,2,0x40a00000,0x00006ff9,671088640,32,"671088640/2^32","671088640"
FQ061161,2,0x40a00000,0x00007334,-671088640,32,"-671088640/2^32","-671088640"
FQ061162,2,0x40a00000,0x00007443,-671088640,32,"-671088640/2^32","-671088640"
FQ061163,2,0x40a00000,0x00007661,-536870912,32,"-536870912/2^32","-536870912"
FQ061164,2,0x40a00000,0x00007770,-402653184,32,"-402653184/2^32","-402653184"
FQ061165,2,0x40a00000,0x00007ee9,-536870912,32,"-536870912/2^32","-536870912"
FQ061166,2,0x40a00000,0x00008bb3,-536870912,32,"-536870912/2^32","-536870912"
FQ061167,2,0x40a00000,0x00008cc4,-536870912,32,"-536870912/2^32","-536870912"
FQ061168,2,0x40a00000,0x00009881,-402653184,32,"-402653184/2^32","-402653184"
FQ061169,2,0x40a00000,0x00009990,402653184,32,"402653184/2^32","402653184"
FQ061170,2,0x40a00000,0x00009cc5,402653184,32,"402653184/2^32","402653184"
FQ061171,2,0x40a00000,0x0000a339,671088640,32,"671088640/2^32","671088640"
FQ061172,2,0x40a00000,0x0000a993,-402653184,32,"-402653184/2^32","-402653184"
FQ061173,2,0x40a00000,0x0000abb1,-671088640,32,"-671088640/2^32","-671088640"
FQ061174,2,0x40a00000,0x0000aee4,536870912,32,"536870912/2^32","536870912"
FQ061175,2,0x40a00000,0x0000b00b,-402653184,32,"-402653184/2^32","-402653184"
FQ061176,2,0x40a00000,0x0000b77c,671088640,32,"671088640/2^32","671088640"
FQ061177,2,0x40a00000,0x0000cdd1,-805306368,32,"-805306368/2^32","-805306368"
FQ061178,2,0x40a00000,0x0000d77a,-536870912,32,"-536870912/2^32","-536870912"
FQ061179,2,0x40a00000,0x0000d885,402653184,32,"402653184/2^32","402653184"
FQ061180,2,0x40a00000,0x0000d994,-402653184,32,"-402653184/2^32","-402653184"
FQ061181,2,0x40a00000,0x0000eff1,-402653184,32,"-402653184/2^32","-402653184"
FQ061182,2,0x40a00000,0x0000f11e,536870912,32,"536870912/2^32","536870912"
FQ061183,2,0x40a00000,0x0000f33c,-939524096,32,"-939524096/2^32","-939524096"
FQ061184,2,0x40a00000,0x0000f44b,-402653184,32,"-402653184/2^32","-402653184"
FQ061185,2,0x40a00000,0x0000f778,402653184,32,"402653184/2^32","402653184"
FQ061186,2,0x40a00000,0x0000fcc3,-402653184,32,"-402653184/2^32","-402653184"
