row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ071690,2,0x8000b000,0x02220222,-536870912,32,"-536870912/2^32","-536870912"
FQ071691,2,0x8000b000,0x02220aaa,536870912,32,"536870912/2^32","536870912"
FQ071692,2,0x8000b000,0x03330222,536870912,32,"536870912/2^32","536870912"
FQ071693,2,0x8000b000,0x03330aaa,-536870912,32,"-536870912/2^32","-536870912"
FQ071694,2,0x8000b000,0x04440222,-536870912,32,"-536870912/2^32","-536870912"
FQ071695,2,0x8000b000,0x04440aaa,536870912,32,"536870912/2^32","536870912"
FQ071696,2,0x8000b000,0x05550222,-536870912,32,"-536870912/2^32","-536870912"
FQ071697,2,0x8000b000,0x05550aaa,536870912,32,"536870912/2^32","536870912"
FQ071698,2,0x8000b000,0x06660111,-536870912,32,"-536870912/2^32","-536870912"
FQ071699,2,0x8000b000,0x06660222,-1073741824,32,"-1073741824/2^32","-1073741824"
FQ071700,2,0x8000b000,0x06660333,536870912,32,"536870912/2^32","536870912"
FQ071701,2,0x8000b000,0x06660444,536870912,32,"536870912/2^32","536870912"
FQ071702,2,0x8000b000,0x06660666,536870912,32,"536870912/2^32","536870912"
FQ071703,2,0x8000b000,0x06660999,-536870912,32,"-536870912/2^32","-536870912"
FQ071704,2,0x8000b000,0x06660aaa,1073741824,32,"1073741824/2^32","1073741824"
FQ071705,2,0x8000b000,0x06660bbb,536870912,32,"536870912/2^32","536870912"
FQ071706,2,0x8000b000,0x06660ccc,536870912,32,"536870912/2^32","536870912"
FQ071707,2,0x8000b000,0x06660eee,536870912,32,"536870912/2^32","536870912"
FQ071708,2,0x8000b000,0x0aaa0222,-536870912,32,"-536870912/2^32","-536870912"
FQ071709,2,0x8000b000,0x0aaa0aaa,536870912,32,"536870912/2^32","536870912"
FQ071710,2,0x8000b000,0x0bbb0222,536870912,32,"536870912/2^32","536870912"
FQ071711,2,0x8000b000,0x0bbb0aaa,-536870912,32,"-536870912/2^32","-536870912"
FQ071712,2,0x8000b000,0x0ccc0222,-536870912,32,"-536870912/2^32","-536870912"
FQ071713,2,0x8000b000,0x0ccc0aaa,536870912,32,"536870912/2^32","536870912"
FQ071714,2,0x8000b000,0x0ddd0222,-536870912,32,"-536870912/2^32","-536870912"
FQ071715,2,0x8000b000,0x0ddd0aaa,536870912,32,"536870912/2^32","536870912"
FQ071716,2,0x8000b000,0x0eee0111,536870912,32,"536870912/2^32","536870912"
FQ071717,2,0x8000b000,0x0eee0222,1073741824,32,"1073741824/2^32","1073741824"
FQ071718,2,0x8000b000,0x0eee0333,-536870912,32,"-536870912/2^32","-536870912"
FQ071719,2,0x8000b000,0x0eee0444,-536870912,32,"-536870912/2^32","-536870912"
FQ071720,2,0x8000b000,0x0eee0666,-536870912,32,"-536870912/2^32","-536870912"
FQ071721,2,0x8000b000,0x0eee0999,536870912,32,"536870912/2^32","536870912"
FQ071722,2,0x8000b000,0x0eee0aaa,-1073741824,32,"-1073741824/2^32","-1073741824"
FQ071723,2,0x8000b000,0x0eee0bbb,-536870912,32,"-536870912/2^32","-536870912"
FQ071724,2,0x8000b000,0x0eee0ccc,-536870912,32,"-536870912/2^32","-536870912"
FQ071725,2,0x8000b000,0x0eee0eee,-536870912,32,"-536870912/2^32","-536870912"
