row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ076961,2,0xa0000080,0x2aa80222,402653184,32,"402653184/2^32","402653184"
FQ076962,2,0xa0000080,0x2aa80aaa,-402653184,32,"-402653184/2^32","-402653184"
FQ076963,2,0xa0000080,0x2ffd0222,-335544320,32,"-335544320/2^32","-335544320"
FQ076964,2,0xa0000080,0x2ffd0aaa,335544320,32,"335544320/2^32","335544320"
FQ076965,2,0xa0000080,0x77700222,-536870912,32,"-536870912/2^32","-536870912"
FQ076966,2,0xa0000080,0x77700aaa,536870912,32,"536870912/2^32","536870912"
FQ076967,2,0xa0000080,0xa2280222,402653184,32,"402653184/2^32","402653184"
FQ076968,2,0xa0000080,0xa2280aaa,-402653184,32,"-402653184/2^32","-402653184"
FQ076969,2,0xa0000080,0xf22d0222,-335544320,32,"-335544320/2^32","-335544320"
FQ076970,2,0xa0000080,0xf22d0aaa,335544320,32,"335544320/2^32","335544320"
