row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ080197,2,0xb0800000,0x00001223,402653184,32,"402653184/2^32","402653184"
FQ080198,2,0xb0800000,0x00001554,-536870912,32,"-536870912/2^32","-536870912"
FQ080199,2,0xb0800000,0x0000299b,-402653184,32,"-402653184/2^32","-402653184"
FQ080200,2,0xb0800000,0x00002cce,1073741824,32,"1073741824/2^32","1073741824"
FQ080201,2,0xb0800000,0x00002ddf,-402653184,32,"-402653184/2^32","-402653184"
FQ080202,2,0xb0800000,0x00003221,-402653184,32,"-402653184/2^32","-402653184"
FQ080203,2,0xb0800000,0x0000399a,-402653184,32,"-402653184/2^32","-402653184"
FQ080204,2,0xb0800000,0x00003aa9,402653184,32,"402653184/2^32","402653184"
FQ080205,2,0xb0800000,0x00004226,-536870912,32,"-536870912/2^32","-536870912"
FQ080206,2,0xb0800000,0x0000499d,-536870912,32,"-536870912/2^32","-536870912"
FQ080207,2,0xb0800000,0x00005336,-402653184,32,"-402653184/2^32","-402653184"
FQ080208,2,0xb0800000,0x00005663,-402653184,32,"-402653184/2^32","-402653184"
FQ080209,2,0xb0800000,0x00006335,-402653184,32,"-402653184/2^32","-402653184"
FQ080210,2,0xb0800000,0x00006553,402653184,32,"402653184/2^32","402653184"
FQ080211,2,0xb0800000,0x00006660,-536870912,32,"-536870912/2^32","-536870912"
FQ080212,2,0xb0800000,0x00006771,402653184,32,"402653184/2^32","402653184"
FQ080213,2,0xb0800000,0x0000699f,-671088640,32,"-671088640/2^32","-671088640"
FQ080214,2,0xb0800000,0x00007334,-536870912,32,"-536870912/2^32","-536870912"
FQ080215,2,0xb0800000,0x00007552,-402653184,32,"-402653184/2^32","-402653184"
FQ080216,2,0xb0800000,0x0000799e,402653184,32,"402653184/2^32","402653184"
FQ080217,2,0xb0800000,0x00007aad,-402653184,32,"-402653184/2^32","-402653184"
FQ080218,2,0xb0800000,0x00007bbc,-536870912,32,"-536870912/2^32","-536870912"
FQ080219,2,0xb0800000,0x00007ccb,536870912,32,"536870912/2^32","536870912"
FQ080220,2,0xb0800000,0x00007dda,-671088640,32,"-671088640/2^32","-671088640"
FQ080221,2,0xb0800000,0x0000833b,536870912,32,"536870912/2^32","536870912"
FQ080222,2,0xb0800000,0x0000844c,536870912,32,"536870912/2^32","536870912"
FQ080223,2,0xb0800000,0x0000977e,-402653184,32,"-402653184/2^32","-402653184"
FQ080224,2,0xb0800000,0x00009bb2,-402653184,32,"-402653184/2^32","-402653184"
FQ080225,2,0xb0800000,0x00009ee7,402653184,32,"402653184/2^32","402653184"
FQ080226,2,0xb0800000,0x0000abb1,402653184,32,"402653184/2^32","402653184"
FQ080227,2,0xb0800000,0x0000acc6,-1073741824,32,"-1073741824/2^32","-1073741824"
FQ080228,2,0xb0800000,0x0000b229,-671088640,32,"-671088640/2^32","-671088640"
FQ080229,2,0xb0800000,0x0000bdd6,402653184,32,"402653184/2^32","402653184"
FQ080230,2,0xb0800000,0x0000c00c,-805306368,32,"-805306368/2^32","-805306368"
FQ080231,2,0xb0800000,0x0000d22f,402653184,32,"402653184/2^32","402653184"
FQ080232,2,0xb0800000,0x0000d77a,402653184,32,"402653184/2^32","402653184"
FQ080233,2,0xb0800000,0x0000f22d,-671088640,32,"-671088640/2^32","-671088640"
FQ080234,2,0xb0800000,0x0000f33c,-536870912,32,"-536870912/2^32","-536870912"
FQ080235,2,0xb0800000,0x0000f44b,-536870912,32,"-536870912/2^32","-536870912"
FQ080236,2,0xb0800000,0x0000f55a,-402653184,32,"-402653184/2^32","-402653184"
FQ080237,2,0xb0800000,0x0000faa5,-402653184,32,"-402653184/2^32","-402653184"
FQ080238,2,0xb0800000,0x0000fcc3,536870912,32,"536870912/2^32","536870912"
FQ080239,2,0xb0800000,0x0000fee1,-402653184,32,"-402653184/2^32","-402653184"
