row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ080794,2,0xc000000d,0x0300e33d,335544320,32,"335544320/2^32","335544320"
FQ080795,2,0xc000000d,0x0300e779,-335544320,32,"-335544320/2^32","-335544320"
FQ080796,2,0xc000000d,0x0300ebb5,-335544320,32,"-335544320/2^32","-335544320"
FQ080797,2,0xc000000d,0x0300eff1,-335544320,32,"-335544320/2^32","-335544320"
FQ080798,2,0xc000000d,0x04004337,-536870912,32,"-536870912/2^32","-536870912"
FQ080799,2,0xc000000d,0x04004773,536870912,32,"536870912/2^32","536870912"
FQ080800,2,0xc000000d,0x04004bbf,536870912,32,"536870912/2^32","536870912"
FQ080801,2,0xc000000d,0x04004ffb,536870912,32,"536870912/2^32","536870912"
FQ080802,2,0xc000000d,0x04006335,402653184,32,"402653184/2^32","402653184"
FQ080803,2,0xc000000d,0x04006771,-402653184,32,"-402653184/2^32","-402653184"
FQ080804,2,0xc000000d,0x04006bbd,-402653184,32,"-402653184/2^32","-402653184"
FQ080805,2,0xc000000d,0x04006ff9,-402653184,32,"-402653184/2^32","-402653184"
FQ080806,2,0xc000000d,0x05006335,335544320,32,"335544320/2^32","335544320"
FQ080807,2,0xc000000d,0x05006771,-335544320,32,"-335544320/2^32","-335544320"
FQ080808,2,0xc000000d,0x05006bbd,-335544320,32,"-335544320/2^32","-335544320"
FQ080809,2,0xc000000d,0x05006ff9,-335544320,32,"-335544320/2^32","-335544320"
FQ080810,2,0xc000000d,0x06004337,402653184,32,"402653184/2^32","402653184"
FQ080811,2,0xc000000d,0x06004773,-402653184,32,"-402653184/2^32","-402653184"
FQ080812,2,0xc000000d,0x06004bbf,-402653184,32,"-402653184/2^32","-402653184"
FQ080813,2,0xc000000d,0x06004ffb,-402653184,32,"-402653184/2^32","-402653184"
FQ080814,2,0xc000000d,0x06005336,335544320,32,"335544320/2^32","335544320"
FQ080815,2,0xc000000d,0x06005772,-335544320,32,"-335544320/2^32","-335544320"
FQ080816,2,0xc000000d,0x06005bbe,-335544320,32,"-335544320/2^32","-335544320"
FQ080817,2,0xc000000d,0x06005ffa,-335544320,32,"-335544320/2^32","-335544320"
FQ080818,2,0xc000000d,0x0600933a,-335544320,32,"-335544320/2^32","-335544320"
FQ080819,2,0xc000000d,0x0600977e,335544320,32,"335544320/2^32","335544320"
FQ080820,2,0xc000000d,0x06009bb2,335544320,32,"335544320/2^32","335544320"
FQ080821,2,0xc000000d,0x06009ff6,335544320,32,"335544320/2^32","335544320"
FQ080822,2,0xc000000d,0x09006335,-335544320,32,"-335544320/2^32","-335544320"
FQ080823,2,0xc000000d,0x09006771,335544320,32,"335544320/2^32","335544320"
FQ080824,2,0xc000000d,0x09006bbd,335544320,32,"335544320/2^32","335544320"
FQ080825,2,0xc000000d,0x09006ff9,335544320,32,"335544320/2^32","335544320"
FQ080826,2,0xc000000d,0x0b00b338,-402653184,32,"-402653184/2^32","-402653184"
FQ080827,2,0xc000000d,0x0b00b77c,402653184,32,"402653184/2^32","402653184"
FQ080828,2,0xc000000d,0x0b00bbb0,402653184,32,"402653184/2^32","402653184"
FQ080829,2,0xc000000d,0x0b00bff4,402653184,32,"402653184/2^32","402653184"
FQ080830,2,0xc000000d,0x0e003330,335544320,32,"335544320/2^32","335544320"
FQ080831,2,0xc000000d,0x0e003774,-335544320,32,"-335544320/2^32","-335544320"
FQ080832,2,0xc000000d,0x0e003bb8,-335544320,32,"-335544320/2^32","-335544320"
FQ080833,2,0xc000000d,0x0e003ffc,-335544320,32,"-335544320/2^32","-335544320"
FQ080834,2,0xc000000d,0x0e00e33d,-402653184,32,"-402653184/2^32","-402653184"
FQ080835,2,0xc000000d,0x0e00e779,402653184,32,"402653184/2^32","402653184"
FQ080836,2,0xc000000d,0x0e00ebb5,402653184,32,"402653184/2^32","402653184"
FQ080837,2,0xc000000d,0x0e00eff1,402653184,32,"402653184/2^32","402653184"
