row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ083218,2,0xd0000020,0x788f0777,-536870912,32,"-536870912/2^32","-536870912"
FQ083219,2,0xd0000020,0x788f0fff,536870912,32,"536870912/2^32","536870912"
FQ083220,2,0xd0000020,0x877f0777,-536870912,32,"-536870912/2^32","-536870912"
FQ083221,2,0xd0000020,0x877f0fff,536870912,32,"536870912/2^32","536870912"
FQ083222,2,0xd0000020,0x88800777,-536870912,32,"-536870912/2^32","-536870912"
FQ083223,2,0xd0000020,0x88800fff,536870912,32,"536870912/2^32","536870912"
FQ083224,2,0xd0000020,0xccc00777,-536870912,32,"-536870912/2^32","-536870912"
FQ083225,2,0xd0000020,0xccc00fff,536870912,32,"536870912/2^32","536870912"
FQ083226,2,0xd0000020,0xfff00777,-402653184,32,"-402653184/2^32","-402653184"
FQ083227,2,0xd0000020,0xfff00fff,402653184,32,"402653184/2^32","402653184"
