row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ085122,2,0xe0000007,0x06006335,-536870912,32,"-536870912/2^32","-536870912"
FQ085123,2,0xe0000007,0x06006771,-536870912,32,"-536870912/2^32","-536870912"
FQ085124,2,0xe0000007,0x06006bbd,536870912,32,"536870912/2^32","536870912"
FQ085125,2,0xe0000007,0x06006ff9,-536870912,32,"-536870912/2^32","-536870912"
FQ085126,2,0xe0000007,0x0900d33e,402653184,32,"402653184/2^32","402653184"
FQ085127,2,0xe0000007,0x0900d77a,402653184,32,"402653184/2^32","402653184"
FQ085128,2,0xe0000007,0x0900dbb6,-402653184,32,"-402653184/2^32","-402653184"
FQ085129,2,0xe0000007,0x0900dff2,402653184,32,"402653184/2^32","402653184"
FQ085130,2,0xe0000007,0x0d00933a,402653184,32,"402653184/2^32","402653184"
FQ085131,2,0xe0000007,0x0d00977e,402653184,32,"402653184/2^32","402653184"
FQ085132,2,0xe0000007,0x0d009bb2,-402653184,32,"-402653184/2^32","-402653184"
FQ085133,2,0xe0000007,0x0d009ff6,402653184,32,"402653184/2^32","402653184"
