row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ088645,2,0xf000700a,0x01ddc77b,402653184,32,"402653184/2^32","402653184"
FQ088646,2,0xf000700a,0x01ddcff3,-402653184,32,"-402653184/2^32","-402653184"
FQ088647,2,0xf000700a,0x02dd7770,301989888,32,"301989888/2^32","301989888"
FQ088648,2,0xf000700a,0x02dd7ff8,-301989888,32,"-301989888/2^32","-301989888"
FQ088649,2,0xf000700a,0x07dda77d,301989888,32,"301989888/2^32","301989888"
FQ088650,2,0xf000700a,0x07ddaff5,-301989888,32,"-301989888/2^32","-301989888"
FQ088651,2,0xf000700a,0x0add7770,301989888,32,"301989888/2^32","301989888"
FQ088652,2,0xf000700a,0x0add7ff8,-301989888,32,"-301989888/2^32","-301989888"
FQ088653,2,0xf000700a,0x0addf778,301989888,32,"301989888/2^32","301989888"
FQ088654,2,0xf000700a,0x0addfff0,-301989888,32,"-301989888/2^32","-301989888"
FQ088655,2,0xf000700a,0x0fdd2775,301989888,32,"301989888/2^32","301989888"
FQ088656,2,0xf000700a,0x0fdd2ffd,-301989888,32,"-301989888/2^32","-301989888"
