row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ089304,2,0xf000d060,0x53360777,-335544320,32,"-335544320/2^32","-335544320"
FQ089305,2,0xf000d060,0x53360fff,335544320,32,"335544320/2^32","335544320"
FQ089306,2,0xf000d060,0x56630777,-335544320,32,"-335544320/2^32","-335544320"
FQ089307,2,0xf000d060,0x56630fff,335544320,32,"335544320/2^32","335544320"
FQ089308,2,0xf000d060,0x5eeb0777,335544320,32,"335544320/2^32","335544320"
FQ089309,2,0xf000d060,0x5eeb0fff,-335544320,32,"-335544320/2^32","-335544320"
FQ089310,2,0xf000d060,0x933a0777,335544320,32,"335544320/2^32","335544320"
FQ089311,2,0xf000d060,0x933a0fff,-335544320,32,"-335544320/2^32","-335544320"
FQ089312,2,0xf000d060,0x944d0777,-402653184,32,"-402653184/2^32","-402653184"
FQ089313,2,0xf000d060,0x944d0fff,402653184,32,"402653184/2^32","402653184"
FQ089314,2,0xf000d060,0x966f0777,-335544320,32,"-335544320/2^32","-335544320"
FQ089315,2,0xf000d060,0x966f0fff,335544320,32,"335544320/2^32","335544320"
FQ089316,2,0xf000d060,0x9ee70777,335544320,32,"335544320/2^32","335544320"
FQ089317,2,0xf000d060,0x9ee70fff,-335544320,32,"-335544320/2^32","-335544320"
FQ089318,2,0xf000d060,0xd22f0777,-335544320,32,"-335544320/2^32","-335544320"
FQ089319,2,0xf000d060,0xd22f0fff,335544320,32,"335544320/2^32","335544320"
FQ089320,2,0xf000d060,0xd33e0777,-335544320,32,"-335544320/2^32","-335544320"
FQ089321,2,0xf000d060,0xd33e0fff,335544320,32,"335544320/2^32","335544320"
FQ089322,2,0xf000d060,0xdbb60777,-335544320,32,"-335544320/2^32","-335544320"
FQ089323,2,0xf000d060,0xdbb60fff,335544320,32,"335544320/2^32","335544320"
FQ089324,2,0xf000d060,0xdcc10777,-402653184,32,"-402653184/2^32","-402653184"
FQ089325,2,0xf000d060,0xdcc10fff,402653184,32,"402653184/2^32","402653184"
FQ089326,2,0xf000d060,0xe33d0777,-335544320,32,"-335544320/2^32","-335544320"
FQ089327,2,0xf000d060,0xe33d0fff,335544320,32,"335544320/2^32","335544320"
