row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ089344,2,0xf000d0a0,0x1ccd0777,335544320,32,"335544320/2^32","335544320"
FQ089345,2,0xf000d0a0,0x1ccd0fff,-335544320,32,"-335544320/2^32","-335544320"
FQ089346,2,0xf000d0a0,0x25570777,469762048,32,"469762048/2^32","469762048"
FQ089347,2,0xf000d0a0,0x25570fff,-469762048,32,"-469762048/2^32","-469762048"
FQ089348,2,0xf000d0a0,0x6ddb0777,335544320,32,"335544320/2^32","335544320"
FQ089349,2,0xf000d0a0,0x6ddb0fff,-335544320,32,"-335544320/2^32","-335544320"
FQ089350,2,0xf000d0a0,0x7aad0777,-402653184,32,"-402653184/2^32","-402653184"
FQ089351,2,0xf000d0a0,0x7aad0fff,402653184,32,"402653184/2^32","402653184"
FQ089352,2,0xf000d0a0,0xa55f0777,-469762048,32,"-469762048/2^32","-469762048"
FQ089353,2,0xf000d0a0,0xa55f0fff,469762048,32,"469762048/2^32","469762048"
FQ089354,2,0xf000d0a0,0xf55a0777,402653184,32,"402653184/2^32","402653184"
FQ089355,2,0xf000d0a0,0xf55a0fff,-402653184,32,"-402653184/2^32","-402653184"
