row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ092049,3,0x00000003,0x10010022,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092050,3,0x00000003,0x10010044,6597069766656,48,"6597069766656/2^48","100663296"
FQ092051,3,0x00000003,0x10010055,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ092052,3,0x00000003,0x10010066,6597069766656,48,"6597069766656/2^48","100663296"
FQ092053,3,0x00000003,0x10010077,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092054,3,0x00000003,0x10010088,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ092055,3,0x00000003,0x10010099,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092056,3,0x00000003,0x100100bb,9895604649984,48,"9895604649984/2^48","150994944"
FQ092057,3,0x00000003,0x100100cc,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092058,3,0x00000003,0x100100ff,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ092059,3,0x00000003,0x10010144,15393162788864,48,"15393162788864/2^48","234881024"
FQ092060,3,0x00000003,0x100101bb,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092061,3,0x00000003,0x10010233,6597069766656,48,"6597069766656/2^48","100663296"
FQ092062,3,0x00000003,0x10010244,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092063,3,0x00000003,0x10010266,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ092064,3,0x00000003,0x100102cc,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ092065,3,0x00000003,0x10010344,5497558138880,48,"5497558138880/2^48","83886080"
FQ092066,3,0x00000003,0x100103cc,6597069766656,48,"6597069766656/2^48","100663296"
FQ092067,3,0x00000003,0x100103ee,7696581394432,48,"7696581394432/2^48","117440512"
FQ092068,3,0x00000003,0x10010499,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092069,3,0x00000003,0x100104bb,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092070,3,0x00000003,0x10010511,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ092071,3,0x00000003,0x10010544,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ092072,3,0x00000003,0x100105bb,9895604649984,48,"9895604649984/2^48","150994944"
FQ092073,3,0x00000003,0x100105cc,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ092074,3,0x00000003,0x100105ff,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092075,3,0x00000003,0x10010655,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ092076,3,0x00000003,0x100106bb,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ092077,3,0x00000003,0x10010744,5497558138880,48,"5497558138880/2^48","83886080"
FQ092078,3,0x00000003,0x10010799,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ092079,3,0x00000003,0x100107aa,6597069766656,48,"6597069766656/2^48","100663296"
FQ092080,3,0x00000003,0x100107bb,7696581394432,48,"7696581394432/2^48","117440512"
FQ092081,3,0x00000003,0x100107ff,6597069766656,48,"6597069766656/2^48","100663296"
FQ092082,3,0x00000003,0x10010844,7696581394432,48,"7696581394432/2^48","117440512"
FQ092083,3,0x00000003,0x10010855,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ092084,3,0x00000003,0x10010899,10995116277760,48,"10995116277760/2^48","167772160"
FQ092085,3,0x00000003,0x100108dd,6597069766656,48,"6597069766656/2^48","100663296"
FQ092086,3,0x00000003,0x10010922,5497558138880,48,"5497558138880/2^48","83886080"
FQ092087,3,0x00000003,0x100109cc,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ092088,3,0x00000003,0x10010abb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ092089,3,0x00000003,0x10010b55,13194139533312,48,"13194139533312/2^48","201326592"
FQ092090,3,0x00000003,0x10010baa,8796093022208,48,"8796093022208/2^48","134217728"
FQ092091,3,0x00000003,0x10010bcc,-5497558138880,48,"-5497558138880/2^48","-83886080"
