row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ097405,3,0x0000000a,0x10010011,-32985348833280,48,"-32985348833280/2^48","-503316480"
FQ097406,3,0x0000000a,0x10010044,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097407,3,0x0000000a,0x10010066,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ097408,3,0x0000000a,0x10010077,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097409,3,0x0000000a,0x10010099,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097410,3,0x0000000a,0x100100dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097411,3,0x0000000a,0x10010122,5497558138880,48,"5497558138880/2^48","83886080"
FQ097412,3,0x0000000a,0x10010133,5497558138880,48,"5497558138880/2^48","83886080"
FQ097413,3,0x0000000a,0x10010144,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097414,3,0x0000000a,0x10010155,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097415,3,0x0000000a,0x100101ff,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097416,3,0x0000000a,0x10010244,7696581394432,48,"7696581394432/2^48","117440512"
FQ097417,3,0x0000000a,0x100102bb,6597069766656,48,"6597069766656/2^48","100663296"
FQ097418,3,0x0000000a,0x100102cc,7696581394432,48,"7696581394432/2^48","117440512"
FQ097419,3,0x0000000a,0x100102ff,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097420,3,0x0000000a,0x10010344,7696581394432,48,"7696581394432/2^48","117440512"
FQ097421,3,0x0000000a,0x100103ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097422,3,0x0000000a,0x100103ff,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097423,3,0x0000000a,0x100104dd,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ097424,3,0x0000000a,0x100104ff,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097425,3,0x0000000a,0x100105cc,6597069766656,48,"6597069766656/2^48","100663296"
FQ097426,3,0x0000000a,0x10010611,13194139533312,48,"13194139533312/2^48","201326592"
FQ097427,3,0x0000000a,0x10010633,8796093022208,48,"8796093022208/2^48","134217728"
FQ097428,3,0x0000000a,0x10010644,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097429,3,0x0000000a,0x100106bb,6597069766656,48,"6597069766656/2^48","100663296"
FQ097430,3,0x0000000a,0x10010711,6597069766656,48,"6597069766656/2^48","100663296"
FQ097431,3,0x0000000a,0x10010733,6597069766656,48,"6597069766656/2^48","100663296"
FQ097432,3,0x0000000a,0x10010766,6597069766656,48,"6597069766656/2^48","100663296"
FQ097433,3,0x0000000a,0x100107ee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097434,3,0x0000000a,0x10010811,19791209299968,48,"19791209299968/2^48","301989888"
FQ097435,3,0x0000000a,0x10010833,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097436,3,0x0000000a,0x100108dd,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ097437,3,0x0000000a,0x10010944,6597069766656,48,"6597069766656/2^48","100663296"
FQ097438,3,0x0000000a,0x100109aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ097439,3,0x0000000a,0x100109cc,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097440,3,0x0000000a,0x10010a33,6597069766656,48,"6597069766656/2^48","100663296"
FQ097441,3,0x0000000a,0x10010a77,8796093022208,48,"8796093022208/2^48","134217728"
FQ097442,3,0x0000000a,0x10010abb,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ097443,3,0x0000000a,0x10010acc,7696581394432,48,"7696581394432/2^48","117440512"
FQ097444,3,0x0000000a,0x10010aee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097445,3,0x0000000a,0x10010b44,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ097446,3,0x0000000a,0x10010b55,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ097447,3,0x0000000a,0x10010c11,13194139533312,48,"13194139533312/2^48","201326592"
FQ097448,3,0x0000000a,0x10010cbb,5497558138880,48,"5497558138880/2^48","83886080"
FQ097449,3,0x0000000a,0x10010d33,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ097450,3,0x0000000a,0x10010d44,6597069766656,48,"6597069766656/2^48","100663296"
FQ097451,3,0x0000000a,0x10010dcc,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ097452,3,0x0000000a,0x10010e11,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ097453,3,0x0000000a,0x10010e33,6597069766656,48,"6597069766656/2^48","100663296"
FQ097454,3,0x0000000a,0x10010e44,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097455,3,0x0000000a,0x10010edd,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097456,3,0x0000000a,0x10010eff,8796093022208,48,"8796093022208/2^48","134217728"
FQ097457,3,0x0000000a,0x10010f33,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097458,3,0x0000000a,0x10010f44,7696581394432,48,"7696581394432/2^48","117440512"
FQ097459,3,0x0000000a,0x10010f66,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097460,3,0x0000000a,0x10010f99,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097461,3,0x0000000a,0x10010fbb,6597069766656,48,"6597069766656/2^48","100663296"
FQ097462,3,0x0000000a,0x20020077,15393162788864,48,"15393162788864/2^48","234881024"
FQ097463,3,0x0000000a,0x200200bb,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ097464,3,0x0000000a,0x200200ff,6597069766656,48,"6597069766656/2^48","100663296"
FQ097465,3,0x0000000a,0x20020122,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097466,3,0x0000000a,0x20020133,13194139533312,48,"13194139533312/2^48","201326592"
FQ097467,3,0x0000000a,0x20020144,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097468,3,0x0000000a,0x200201aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ097469,3,0x0000000a,0x200201bb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097470,3,0x0000000a,0x200201ff,6597069766656,48,"6597069766656/2^48","100663296"
FQ097471,3,0x0000000a,0x20020211,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097472,3,0x0000000a,0x20020233,5497558138880,48,"5497558138880/2^48","83886080"
FQ097473,3,0x0000000a,0x200202cc,6597069766656,48,"6597069766656/2^48","100663296"
FQ097474,3,0x0000000a,0x200203bb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097475,3,0x0000000a,0x200203ff,8796093022208,48,"8796093022208/2^48","134217728"
FQ097476,3,0x0000000a,0x20020433,14293651161088,48,"14293651161088/2^48","218103808"
FQ097477,3,0x0000000a,0x20020466,6597069766656,48,"6597069766656/2^48","100663296"
FQ097478,3,0x0000000a,0x20020477,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ097479,3,0x0000000a,0x200204bb,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ097480,3,0x0000000a,0x200204ff,6597069766656,48,"6597069766656/2^48","100663296"
FQ097481,3,0x0000000a,0x20020544,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097482,3,0x0000000a,0x20020577,19791209299968,48,"19791209299968/2^48","301989888"
FQ097483,3,0x0000000a,0x200205dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097484,3,0x0000000a,0x20020633,5497558138880,48,"5497558138880/2^48","83886080"
FQ097485,3,0x0000000a,0x20020655,9895604649984,48,"9895604649984/2^48","150994944"
FQ097486,3,0x0000000a,0x200206dd,7696581394432,48,"7696581394432/2^48","117440512"
FQ097487,3,0x0000000a,0x20020755,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097488,3,0x0000000a,0x200207cc,12094627905536,48,"12094627905536/2^48","184549376"
FQ097489,3,0x0000000a,0x200207ff,8796093022208,48,"8796093022208/2^48","134217728"
FQ097490,3,0x0000000a,0x20020833,7696581394432,48,"7696581394432/2^48","117440512"
FQ097491,3,0x0000000a,0x20020877,10995116277760,48,"10995116277760/2^48","167772160"
FQ097492,3,0x0000000a,0x200208bb,5497558138880,48,"5497558138880/2^48","83886080"
FQ097493,3,0x0000000a,0x200208ff,10995116277760,48,"10995116277760/2^48","167772160"
FQ097494,3,0x0000000a,0x20020922,5497558138880,48,"5497558138880/2^48","83886080"
FQ097495,3,0x0000000a,0x200209aa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097496,3,0x0000000a,0x200209bb,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ097497,3,0x0000000a,0x20020a11,10995116277760,48,"10995116277760/2^48","167772160"
FQ097498,3,0x0000000a,0x20020a66,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097499,3,0x0000000a,0x20020c33,9895604649984,48,"9895604649984/2^48","150994944"
FQ097500,3,0x0000000a,0x20020c66,6597069766656,48,"6597069766656/2^48","100663296"
FQ097501,3,0x0000000a,0x20020c77,10995116277760,48,"10995116277760/2^48","167772160"
FQ097502,3,0x0000000a,0x20020cbb,-12094627905536,48,"-12094627905536/2^48","-184549376"
FQ097503,3,0x0000000a,0x20020d55,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097504,3,0x0000000a,0x20020d77,10995116277760,48,"10995116277760/2^48","167772160"
FQ097505,3,0x0000000a,0x20020dee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097506,3,0x0000000a,0x20020dff,15393162788864,48,"15393162788864/2^48","234881024"
FQ097507,3,0x0000000a,0x20020edd,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ097508,3,0x0000000a,0x20020f11,6597069766656,48,"6597069766656/2^48","100663296"
FQ097509,3,0x0000000a,0x20020f33,8796093022208,48,"8796093022208/2^48","134217728"
FQ097510,3,0x0000000a,0x30030022,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097511,3,0x0000000a,0x30030033,10995116277760,48,"10995116277760/2^48","167772160"
FQ097512,3,0x0000000a,0x300300aa,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ097513,3,0x0000000a,0x300300bb,15393162788864,48,"15393162788864/2^48","234881024"
FQ097514,3,0x0000000a,0x300300dd,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ097515,3,0x0000000a,0x300300ee,6597069766656,48,"6597069766656/2^48","100663296"
FQ097516,3,0x0000000a,0x30030144,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ097517,3,0x0000000a,0x300301bb,7696581394432,48,"7696581394432/2^48","117440512"
FQ097518,3,0x0000000a,0x300301ee,6597069766656,48,"6597069766656/2^48","100663296"
FQ097519,3,0x0000000a,0x30030244,7696581394432,48,"7696581394432/2^48","117440512"
FQ097520,3,0x0000000a,0x30030255,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097521,3,0x0000000a,0x30030266,6597069766656,48,"6597069766656/2^48","100663296"
FQ097522,3,0x0000000a,0x30030299,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097523,3,0x0000000a,0x300302ee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097524,3,0x0000000a,0x30030311,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097525,3,0x0000000a,0x30030322,5497558138880,48,"5497558138880/2^48","83886080"
FQ097526,3,0x0000000a,0x300303aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ097527,3,0x0000000a,0x300303cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097528,3,0x0000000a,0x300303ff,13194139533312,48,"13194139533312/2^48","201326592"
FQ097529,3,0x0000000a,0x30030411,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097530,3,0x0000000a,0x30030477,15393162788864,48,"15393162788864/2^48","234881024"
FQ097531,3,0x0000000a,0x300304cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ097532,3,0x0000000a,0x300304ff,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ097533,3,0x0000000a,0x30030511,10995116277760,48,"10995116277760/2^48","167772160"
FQ097534,3,0x0000000a,0x30030577,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ097535,3,0x0000000a,0x300305ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ097536,3,0x0000000a,0x30030611,6597069766656,48,"6597069766656/2^48","100663296"
FQ097537,3,0x0000000a,0x300306cc,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ097538,3,0x0000000a,0x30030744,8796093022208,48,"8796093022208/2^48","134217728"
FQ097539,3,0x0000000a,0x30030755,9895604649984,48,"9895604649984/2^48","150994944"
FQ097540,3,0x0000000a,0x300307bb,-8796093022208,48,"-8796093022208/2^48","-134217728"
