row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ098192,3,0x0000000b,0x10010011,10995116277760,48,"10995116277760/2^48","167772160"
FQ098193,3,0x0000000b,0x10010022,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098194,3,0x0000000b,0x10010077,5497558138880,48,"5497558138880/2^48","83886080"
FQ098195,3,0x0000000b,0x10010088,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098196,3,0x0000000b,0x10010099,7696581394432,48,"7696581394432/2^48","117440512"
FQ098197,3,0x0000000b,0x100100ff,7696581394432,48,"7696581394432/2^48","117440512"
FQ098198,3,0x0000000b,0x100101ee,5497558138880,48,"5497558138880/2^48","83886080"
FQ098199,3,0x0000000b,0x10010211,5497558138880,48,"5497558138880/2^48","83886080"
FQ098200,3,0x0000000b,0x10010266,13194139533312,48,"13194139533312/2^48","201326592"
FQ098201,3,0x0000000b,0x100102bb,5497558138880,48,"5497558138880/2^48","83886080"
FQ098202,3,0x0000000b,0x100102ff,13194139533312,48,"13194139533312/2^48","201326592"
FQ098203,3,0x0000000b,0x10010322,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098204,3,0x0000000b,0x10010355,5497558138880,48,"5497558138880/2^48","83886080"
FQ098205,3,0x0000000b,0x100103dd,5497558138880,48,"5497558138880/2^48","83886080"
FQ098206,3,0x0000000b,0x100103ee,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ098207,3,0x0000000b,0x10010422,6597069766656,48,"6597069766656/2^48","100663296"
FQ098208,3,0x0000000b,0x10010477,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ098209,3,0x0000000b,0x10010499,9895604649984,48,"9895604649984/2^48","150994944"
FQ098210,3,0x0000000b,0x100104dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ098211,3,0x0000000b,0x10010544,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098212,3,0x0000000b,0x100105cc,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ098213,3,0x0000000b,0x100105ee,5497558138880,48,"5497558138880/2^48","83886080"
FQ098214,3,0x0000000b,0x10010622,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098215,3,0x0000000b,0x10010633,13194139533312,48,"13194139533312/2^48","201326592"
FQ098216,3,0x0000000b,0x10010655,5497558138880,48,"5497558138880/2^48","83886080"
FQ098217,3,0x0000000b,0x100106bb,7696581394432,48,"7696581394432/2^48","117440512"
FQ098218,3,0x0000000b,0x100106ff,8796093022208,48,"8796093022208/2^48","134217728"
FQ098219,3,0x0000000b,0x10010722,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ098220,3,0x0000000b,0x10010766,15393162788864,48,"15393162788864/2^48","234881024"
FQ098221,3,0x0000000b,0x100107cc,5497558138880,48,"5497558138880/2^48","83886080"
FQ098222,3,0x0000000b,0x10010877,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ098223,3,0x0000000b,0x100108ee,13194139533312,48,"13194139533312/2^48","201326592"
FQ098224,3,0x0000000b,0x100108ff,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ098225,3,0x0000000b,0x10010922,6597069766656,48,"6597069766656/2^48","100663296"
FQ098226,3,0x0000000b,0x10010944,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ098227,3,0x0000000b,0x10010977,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ098228,3,0x0000000b,0x100109cc,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098229,3,0x0000000b,0x100109dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098230,3,0x0000000b,0x10010a33,5497558138880,48,"5497558138880/2^48","83886080"
FQ098231,3,0x0000000b,0x10010a77,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ098232,3,0x0000000b,0x10010acc,6597069766656,48,"6597069766656/2^48","100663296"
FQ098233,3,0x0000000b,0x10010b22,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098234,3,0x0000000b,0x10010b66,9895604649984,48,"9895604649984/2^48","150994944"
FQ098235,3,0x0000000b,0x10010b77,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098236,3,0x0000000b,0x10010bdd,9895604649984,48,"9895604649984/2^48","150994944"
FQ098237,3,0x0000000b,0x10010bee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098238,3,0x0000000b,0x10010c77,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ098239,3,0x0000000b,0x10010c99,10995116277760,48,"10995116277760/2^48","167772160"
FQ098240,3,0x0000000b,0x10010cff,5497558138880,48,"5497558138880/2^48","83886080"
FQ098241,3,0x0000000b,0x10010dee,10995116277760,48,"10995116277760/2^48","167772160"
FQ098242,3,0x0000000b,0x10010e33,7696581394432,48,"7696581394432/2^48","117440512"
FQ098243,3,0x0000000b,0x10010e77,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098244,3,0x0000000b,0x10010e99,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ098245,3,0x0000000b,0x10010eaa,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ098246,3,0x0000000b,0x10010ebb,8796093022208,48,"8796093022208/2^48","134217728"
FQ098247,3,0x0000000b,0x10010edd,5497558138880,48,"5497558138880/2^48","83886080"
FQ098248,3,0x0000000b,0x10010faa,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ098249,3,0x0000000b,0x20020033,5497558138880,48,"5497558138880/2^48","83886080"
FQ098250,3,0x0000000b,0x20020077,5497558138880,48,"5497558138880/2^48","83886080"
FQ098251,3,0x0000000b,0x20020088,8796093022208,48,"8796093022208/2^48","134217728"
FQ098252,3,0x0000000b,0x20020099,7696581394432,48,"7696581394432/2^48","117440512"
FQ098253,3,0x0000000b,0x200200bb,-12094627905536,48,"-12094627905536/2^48","-184549376"
FQ098254,3,0x0000000b,0x200200ff,7696581394432,48,"7696581394432/2^48","117440512"
FQ098255,3,0x0000000b,0x20020133,10995116277760,48,"10995116277760/2^48","167772160"
FQ098256,3,0x0000000b,0x200201bb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098257,3,0x0000000b,0x200201dd,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098258,3,0x0000000b,0x20020322,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098259,3,0x0000000b,0x20020433,7696581394432,48,"7696581394432/2^48","117440512"
FQ098260,3,0x0000000b,0x20020466,6597069766656,48,"6597069766656/2^48","100663296"
FQ098261,3,0x0000000b,0x20020477,7696581394432,48,"7696581394432/2^48","117440512"
FQ098262,3,0x0000000b,0x20020499,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ098263,3,0x0000000b,0x200204ff,7696581394432,48,"7696581394432/2^48","117440512"
FQ098264,3,0x0000000b,0x20020522,6597069766656,48,"6597069766656/2^48","100663296"
FQ098265,3,0x0000000b,0x20020566,8796093022208,48,"8796093022208/2^48","134217728"
FQ098266,3,0x0000000b,0x200205dd,6597069766656,48,"6597069766656/2^48","100663296"
FQ098267,3,0x0000000b,0x200205ff,10995116277760,48,"10995116277760/2^48","167772160"
FQ098268,3,0x0000000b,0x20020644,6597069766656,48,"6597069766656/2^48","100663296"
FQ098269,3,0x0000000b,0x20020655,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ098270,3,0x0000000b,0x200206dd,5497558138880,48,"5497558138880/2^48","83886080"
FQ098271,3,0x0000000b,0x20020722,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098272,3,0x0000000b,0x20020744,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098273,3,0x0000000b,0x20020788,8796093022208,48,"8796093022208/2^48","134217728"
FQ098274,3,0x0000000b,0x200208aa,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098275,3,0x0000000b,0x200208bb,9895604649984,48,"9895604649984/2^48","150994944"
FQ098276,3,0x0000000b,0x200208ff,7696581394432,48,"7696581394432/2^48","117440512"
FQ098277,3,0x0000000b,0x20020977,6597069766656,48,"6597069766656/2^48","100663296"
FQ098278,3,0x0000000b,0x200209bb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098279,3,0x0000000b,0x20020b77,8796093022208,48,"8796093022208/2^48","134217728"
FQ098280,3,0x0000000b,0x20020c33,5497558138880,48,"5497558138880/2^48","83886080"
FQ098281,3,0x0000000b,0x20020cbb,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ098282,3,0x0000000b,0x20020cff,-12094627905536,48,"-12094627905536/2^48","-184549376"
FQ098283,3,0x0000000b,0x20020d66,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098284,3,0x0000000b,0x20020d77,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ098285,3,0x0000000b,0x20020dee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ098286,3,0x0000000b,0x20020dff,13194139533312,48,"13194139533312/2^48","201326592"
