row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ098999,3,0x0000000c,0x10010011,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ099000,3,0x0000000c,0x10010033,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099001,3,0x0000000c,0x10010144,13194139533312,48,"13194139533312/2^48","201326592"
FQ099002,3,0x0000000c,0x10010166,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099003,3,0x0000000c,0x100101cc,17592186044416,48,"17592186044416/2^48","268435456"
FQ099004,3,0x0000000c,0x10010233,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ099005,3,0x0000000c,0x100102cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099006,3,0x0000000c,0x10010366,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099007,3,0x0000000c,0x10010411,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ099008,3,0x0000000c,0x10010499,13194139533312,48,"13194139533312/2^48","201326592"
FQ099009,3,0x0000000c,0x10010511,8796093022208,48,"8796093022208/2^48","134217728"
FQ099010,3,0x0000000c,0x10010533,6597069766656,48,"6597069766656/2^48","100663296"
FQ099011,3,0x0000000c,0x10010544,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ099012,3,0x0000000c,0x10010566,8796093022208,48,"8796093022208/2^48","134217728"
FQ099013,3,0x0000000c,0x100105cc,13194139533312,48,"13194139533312/2^48","201326592"
FQ099014,3,0x0000000c,0x10010611,6597069766656,48,"6597069766656/2^48","100663296"
FQ099015,3,0x0000000c,0x10010677,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099016,3,0x0000000c,0x10010699,10995116277760,48,"10995116277760/2^48","167772160"
FQ099017,3,0x0000000c,0x10010711,8796093022208,48,"8796093022208/2^48","134217728"
FQ099018,3,0x0000000c,0x10010766,8796093022208,48,"8796093022208/2^48","134217728"
FQ099019,3,0x0000000c,0x100107ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099020,3,0x0000000c,0x10010811,17592186044416,48,"17592186044416/2^48","268435456"
FQ099021,3,0x0000000c,0x100108bb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099022,3,0x0000000c,0x100108dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ099023,3,0x0000000c,0x100108ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099024,3,0x0000000c,0x10010944,8796093022208,48,"8796093022208/2^48","134217728"
FQ099025,3,0x0000000c,0x10010966,8796093022208,48,"8796093022208/2^48","134217728"
FQ099026,3,0x0000000c,0x100109cc,13194139533312,48,"13194139533312/2^48","201326592"
FQ099027,3,0x0000000c,0x100109dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ099028,3,0x0000000c,0x10010a99,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099029,3,0x0000000c,0x10010abb,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ099030,3,0x0000000c,0x10010b55,13194139533312,48,"13194139533312/2^48","201326592"
FQ099031,3,0x0000000c,0x10010b66,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099032,3,0x0000000c,0x10010bdd,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099033,3,0x0000000c,0x10010bee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099034,3,0x0000000c,0x10010c11,13194139533312,48,"13194139533312/2^48","201326592"
FQ099035,3,0x0000000c,0x10010c55,8796093022208,48,"8796093022208/2^48","134217728"
FQ099036,3,0x0000000c,0x10010c99,17592186044416,48,"17592186044416/2^48","268435456"
FQ099037,3,0x0000000c,0x10010d44,13194139533312,48,"13194139533312/2^48","201326592"
FQ099038,3,0x0000000c,0x10010d99,-8796093022208,48,"-8796093022208/2^48","-134217728"
