row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ099568,3,0x0000000d,0x10010055,6597069766656,48,"6597069766656/2^48","100663296"
FQ099569,3,0x0000000d,0x10010088,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099570,3,0x0000000d,0x10010099,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ099571,3,0x0000000d,0x100100aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ099572,3,0x0000000d,0x100100bb,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099573,3,0x0000000d,0x100100dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099574,3,0x0000000d,0x100100ff,5497558138880,48,"5497558138880/2^48","83886080"
FQ099575,3,0x0000000d,0x100101bb,7696581394432,48,"7696581394432/2^48","117440512"
FQ099576,3,0x0000000d,0x100101ff,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099577,3,0x0000000d,0x10010244,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099578,3,0x0000000d,0x10010277,8796093022208,48,"8796093022208/2^48","134217728"
FQ099579,3,0x0000000d,0x10010299,6597069766656,48,"6597069766656/2^48","100663296"
FQ099580,3,0x0000000d,0x100102aa,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099581,3,0x0000000d,0x10010366,6597069766656,48,"6597069766656/2^48","100663296"
FQ099582,3,0x0000000d,0x100103bb,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ099583,3,0x0000000d,0x10010499,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ099584,3,0x0000000d,0x100104ff,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099585,3,0x0000000d,0x10010522,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099586,3,0x0000000d,0x10010533,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099587,3,0x0000000d,0x100105aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ099588,3,0x0000000d,0x100105bb,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099589,3,0x0000000d,0x10010633,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099590,3,0x0000000d,0x10010644,5497558138880,48,"5497558138880/2^48","83886080"
FQ099591,3,0x0000000d,0x10010677,13194139533312,48,"13194139533312/2^48","201326592"
FQ099592,3,0x0000000d,0x10010711,7696581394432,48,"7696581394432/2^48","117440512"
FQ099593,3,0x0000000d,0x10010744,5497558138880,48,"5497558138880/2^48","83886080"
FQ099594,3,0x0000000d,0x10010822,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099595,3,0x0000000d,0x10010899,8796093022208,48,"8796093022208/2^48","134217728"
FQ099596,3,0x0000000d,0x100108cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099597,3,0x0000000d,0x10010977,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ099598,3,0x0000000d,0x100109dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ099599,3,0x0000000d,0x10010a22,6597069766656,48,"6597069766656/2^48","100663296"
FQ099600,3,0x0000000d,0x10010abb,8796093022208,48,"8796093022208/2^48","134217728"
FQ099601,3,0x0000000d,0x10010b33,5497558138880,48,"5497558138880/2^48","83886080"
FQ099602,3,0x0000000d,0x10010b77,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099603,3,0x0000000d,0x10010c33,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099604,3,0x0000000d,0x10010c66,5497558138880,48,"5497558138880/2^48","83886080"
FQ099605,3,0x0000000d,0x10010c77,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ099606,3,0x0000000d,0x10010c99,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ099607,3,0x0000000d,0x10010caa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099608,3,0x0000000d,0x10010d44,7696581394432,48,"7696581394432/2^48","117440512"
FQ099609,3,0x0000000d,0x10010d66,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ099610,3,0x0000000d,0x10010d77,5497558138880,48,"5497558138880/2^48","83886080"
FQ099611,3,0x0000000d,0x10010d99,6597069766656,48,"6597069766656/2^48","100663296"
FQ099612,3,0x0000000d,0x10010dbb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099613,3,0x0000000d,0x10010dcc,8796093022208,48,"8796093022208/2^48","134217728"
FQ099614,3,0x0000000d,0x10010e44,6597069766656,48,"6597069766656/2^48","100663296"
FQ099615,3,0x0000000d,0x10010f44,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099616,3,0x0000000d,0x10010f66,5497558138880,48,"5497558138880/2^48","83886080"
FQ099617,3,0x0000000d,0x10010f99,5497558138880,48,"5497558138880/2^48","83886080"
FQ099618,3,0x0000000d,0x10010fee,8796093022208,48,"8796093022208/2^48","134217728"
FQ099619,3,0x0000000d,0x20020022,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ099620,3,0x0000000d,0x20020077,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ099621,3,0x0000000d,0x20020088,8796093022208,48,"8796093022208/2^48","134217728"
FQ099622,3,0x0000000d,0x200200aa,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ099623,3,0x0000000d,0x200200bb,8796093022208,48,"8796093022208/2^48","134217728"
FQ099624,3,0x0000000d,0x20020133,6597069766656,48,"6597069766656/2^48","100663296"
FQ099625,3,0x0000000d,0x20020144,5497558138880,48,"5497558138880/2^48","83886080"
FQ099626,3,0x0000000d,0x20020177,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099627,3,0x0000000d,0x200201bb,13194139533312,48,"13194139533312/2^48","201326592"
FQ099628,3,0x0000000d,0x20020211,5497558138880,48,"5497558138880/2^48","83886080"
FQ099629,3,0x0000000d,0x20020299,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ099630,3,0x0000000d,0x200202aa,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ099631,3,0x0000000d,0x200202ff,5497558138880,48,"5497558138880/2^48","83886080"
FQ099632,3,0x0000000d,0x200203bb,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099633,3,0x0000000d,0x20020422,6597069766656,48,"6597069766656/2^48","100663296"
FQ099634,3,0x0000000d,0x20020433,19791209299968,48,"19791209299968/2^48","301989888"
FQ099635,3,0x0000000d,0x200204aa,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ099636,3,0x0000000d,0x200204bb,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ099637,3,0x0000000d,0x200204ff,14293651161088,48,"14293651161088/2^48","218103808"
FQ099638,3,0x0000000d,0x20020544,5497558138880,48,"5497558138880/2^48","83886080"
FQ099639,3,0x0000000d,0x20020577,13194139533312,48,"13194139533312/2^48","201326592"
FQ099640,3,0x0000000d,0x200205aa,16492674416640,48,"16492674416640/2^48","251658240"
FQ099641,3,0x0000000d,0x200205ff,24189255811072,48,"24189255811072/2^48","369098752"
FQ099642,3,0x0000000d,0x20020699,-5497558138880,48,"-5497558138880/2^48","-83886080"
