row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ100322,3,0x0000000e,0x10010011,-28587302322176,48,"-28587302322176/2^48","-436207616"
FQ100323,3,0x0000000e,0x10010044,8796093022208,48,"8796093022208/2^48","134217728"
FQ100324,3,0x0000000e,0x10010055,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100325,3,0x0000000e,0x10010099,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ100326,3,0x0000000e,0x100100dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ100327,3,0x0000000e,0x10010122,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100328,3,0x0000000e,0x10010144,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ100329,3,0x0000000e,0x100101ee,8796093022208,48,"8796093022208/2^48","134217728"
FQ100330,3,0x0000000e,0x10010233,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100331,3,0x0000000e,0x100102bb,6597069766656,48,"6597069766656/2^48","100663296"
FQ100332,3,0x0000000e,0x100102ff,8796093022208,48,"8796093022208/2^48","134217728"
FQ100333,3,0x0000000e,0x10010399,6597069766656,48,"6597069766656/2^48","100663296"
FQ100334,3,0x0000000e,0x100103cc,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100335,3,0x0000000e,0x10010455,8796093022208,48,"8796093022208/2^48","134217728"
FQ100336,3,0x0000000e,0x10010499,-19791209299968,48,"-19791209299968/2^48","-301989888"
FQ100337,3,0x0000000e,0x100104aa,6597069766656,48,"6597069766656/2^48","100663296"
FQ100338,3,0x0000000e,0x100104dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ100339,3,0x0000000e,0x10010511,8796093022208,48,"8796093022208/2^48","134217728"
FQ100340,3,0x0000000e,0x10010533,6597069766656,48,"6597069766656/2^48","100663296"
FQ100341,3,0x0000000e,0x10010599,8796093022208,48,"8796093022208/2^48","134217728"
FQ100342,3,0x0000000e,0x100105cc,6597069766656,48,"6597069766656/2^48","100663296"
FQ100343,3,0x0000000e,0x100105ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100344,3,0x0000000e,0x10010611,6597069766656,48,"6597069766656/2^48","100663296"
FQ100345,3,0x0000000e,0x10010633,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ100346,3,0x0000000e,0x10010655,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100347,3,0x0000000e,0x10010711,13194139533312,48,"13194139533312/2^48","201326592"
FQ100348,3,0x0000000e,0x10010766,6597069766656,48,"6597069766656/2^48","100663296"
FQ100349,3,0x0000000e,0x10010811,24189255811072,48,"24189255811072/2^48","369098752"
FQ100350,3,0x0000000e,0x10010899,24189255811072,48,"24189255811072/2^48","369098752"
FQ100351,3,0x0000000e,0x100108cc,8796093022208,48,"8796093022208/2^48","134217728"
FQ100352,3,0x0000000e,0x100108dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ100353,3,0x0000000e,0x100109aa,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100354,3,0x0000000e,0x100109ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100355,3,0x0000000e,0x10010a33,6597069766656,48,"6597069766656/2^48","100663296"
FQ100356,3,0x0000000e,0x10010a44,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100357,3,0x0000000e,0x10010a77,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100358,3,0x0000000e,0x10010a99,13194139533312,48,"13194139533312/2^48","201326592"
FQ100359,3,0x0000000e,0x10010abb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100360,3,0x0000000e,0x10010b55,6597069766656,48,"6597069766656/2^48","100663296"
FQ100361,3,0x0000000e,0x10010b66,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100362,3,0x0000000e,0x10010b99,6597069766656,48,"6597069766656/2^48","100663296"
FQ100363,3,0x0000000e,0x10010bcc,8796093022208,48,"8796093022208/2^48","134217728"
FQ100364,3,0x0000000e,0x10010bee,19791209299968,48,"19791209299968/2^48","301989888"
FQ100365,3,0x0000000e,0x10010c11,15393162788864,48,"15393162788864/2^48","234881024"
FQ100366,3,0x0000000e,0x10010c22,6597069766656,48,"6597069766656/2^48","100663296"
FQ100367,3,0x0000000e,0x10010c99,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ100368,3,0x0000000e,0x10010cdd,8796093022208,48,"8796093022208/2^48","134217728"
FQ100369,3,0x0000000e,0x10010d11,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100370,3,0x0000000e,0x10010d99,8796093022208,48,"8796093022208/2^48","134217728"
FQ100371,3,0x0000000e,0x10010dbb,6597069766656,48,"6597069766656/2^48","100663296"
FQ100372,3,0x0000000e,0x10010dcc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100373,3,0x0000000e,0x10010e11,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100374,3,0x0000000e,0x10010ebb,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ100375,3,0x0000000e,0x10010f66,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100376,3,0x0000000e,0x10010fee,6597069766656,48,"6597069766656/2^48","100663296"
FQ100377,3,0x0000000e,0x20020066,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100378,3,0x0000000e,0x20020099,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100379,3,0x0000000e,0x200200cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100380,3,0x0000000e,0x200202bb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100381,3,0x0000000e,0x20020311,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100382,3,0x0000000e,0x20020477,6597069766656,48,"6597069766656/2^48","100663296"
FQ100383,3,0x0000000e,0x20020499,8796093022208,48,"8796093022208/2^48","134217728"
FQ100384,3,0x0000000e,0x20020599,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ100385,3,0x0000000e,0x200205ee,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100386,3,0x0000000e,0x200205ff,6597069766656,48,"6597069766656/2^48","100663296"
FQ100387,3,0x0000000e,0x20020644,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ100388,3,0x0000000e,0x20020655,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ100389,3,0x0000000e,0x200206bb,6597069766656,48,"6597069766656/2^48","100663296"
FQ100390,3,0x0000000e,0x200206dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
