row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ101022,3,0x0000000f,0x10010033,6597069766656,48,"6597069766656/2^48","100663296"
FQ101023,3,0x0000000f,0x10010044,6597069766656,48,"6597069766656/2^48","100663296"
FQ101024,3,0x0000000f,0x10010055,24189255811072,48,"24189255811072/2^48","369098752"
FQ101025,3,0x0000000f,0x10010088,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101026,3,0x0000000f,0x10010099,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101027,3,0x0000000f,0x10010144,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ101028,3,0x0000000f,0x100101aa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101029,3,0x0000000f,0x100101ee,7696581394432,48,"7696581394432/2^48","117440512"
FQ101030,3,0x0000000f,0x10010244,5497558138880,48,"5497558138880/2^48","83886080"
FQ101031,3,0x0000000f,0x100102dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101032,3,0x0000000f,0x10010355,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101033,3,0x0000000f,0x10010366,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101034,3,0x0000000f,0x100103cc,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101035,3,0x0000000f,0x10010499,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101036,3,0x0000000f,0x100104aa,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ101037,3,0x0000000f,0x10010566,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101038,3,0x0000000f,0x100105bb,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ101039,3,0x0000000f,0x10010611,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101040,3,0x0000000f,0x10010622,6597069766656,48,"6597069766656/2^48","100663296"
FQ101041,3,0x0000000f,0x10010655,13194139533312,48,"13194139533312/2^48","201326592"
FQ101042,3,0x0000000f,0x10010677,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101043,3,0x0000000f,0x100106cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101044,3,0x0000000f,0x10010744,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101045,3,0x0000000f,0x100107cc,10995116277760,48,"10995116277760/2^48","167772160"
FQ101046,3,0x0000000f,0x10010855,10995116277760,48,"10995116277760/2^48","167772160"
FQ101047,3,0x0000000f,0x10010899,6597069766656,48,"6597069766656/2^48","100663296"
FQ101048,3,0x0000000f,0x100108aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ101049,3,0x0000000f,0x100108bb,6597069766656,48,"6597069766656/2^48","100663296"
FQ101050,3,0x0000000f,0x100108cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101051,3,0x0000000f,0x100108dd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101052,3,0x0000000f,0x10010944,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ101053,3,0x0000000f,0x100109cc,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101054,3,0x0000000f,0x100109ee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101055,3,0x0000000f,0x10010a44,13194139533312,48,"13194139533312/2^48","201326592"
FQ101056,3,0x0000000f,0x10010add,6597069766656,48,"6597069766656/2^48","100663296"
FQ101057,3,0x0000000f,0x10010b22,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101058,3,0x0000000f,0x10010b55,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ101059,3,0x0000000f,0x10010baa,8796093022208,48,"8796093022208/2^48","134217728"
FQ101060,3,0x0000000f,0x10010bcc,9895604649984,48,"9895604649984/2^48","150994944"
FQ101061,3,0x0000000f,0x10010c22,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ101062,3,0x0000000f,0x10010c99,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ101063,3,0x0000000f,0x10010d22,5497558138880,48,"5497558138880/2^48","83886080"
FQ101064,3,0x0000000f,0x10010d33,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101065,3,0x0000000f,0x10010daa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101066,3,0x0000000f,0x10010dcc,6597069766656,48,"6597069766656/2^48","100663296"
FQ101067,3,0x0000000f,0x10010ebb,6597069766656,48,"6597069766656/2^48","100663296"
FQ101068,3,0x0000000f,0x10010ecc,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ101069,3,0x0000000f,0x10010f66,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101070,3,0x0000000f,0x10010fee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101071,3,0x0000000f,0x20020088,8796093022208,48,"8796093022208/2^48","134217728"
FQ101072,3,0x0000000f,0x20020099,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101073,3,0x0000000f,0x200200ff,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101074,3,0x0000000f,0x20020122,9895604649984,48,"9895604649984/2^48","150994944"
FQ101075,3,0x0000000f,0x20020133,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101076,3,0x0000000f,0x200202ee,6597069766656,48,"6597069766656/2^48","100663296"
FQ101077,3,0x0000000f,0x20020311,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101078,3,0x0000000f,0x20020422,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101079,3,0x0000000f,0x20020499,5497558138880,48,"5497558138880/2^48","83886080"
FQ101080,3,0x0000000f,0x200204bb,8796093022208,48,"8796093022208/2^48","134217728"
FQ101081,3,0x0000000f,0x200204ff,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101082,3,0x0000000f,0x20020577,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101083,3,0x0000000f,0x200205ff,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101084,3,0x0000000f,0x20020655,8796093022208,48,"8796093022208/2^48","134217728"
FQ101085,3,0x0000000f,0x200206dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ101086,3,0x0000000f,0x200206ee,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101087,3,0x0000000f,0x20020788,8796093022208,48,"8796093022208/2^48","134217728"
FQ101088,3,0x0000000f,0x200207dd,8796093022208,48,"8796093022208/2^48","134217728"
FQ101089,3,0x0000000f,0x20020822,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101090,3,0x0000000f,0x20020833,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101091,3,0x0000000f,0x20020844,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101092,3,0x0000000f,0x200208aa,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ101093,3,0x0000000f,0x200208ff,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ101094,3,0x0000000f,0x20020944,5497558138880,48,"5497558138880/2^48","83886080"
FQ101095,3,0x0000000f,0x20020955,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ101096,3,0x0000000f,0x200209aa,7696581394432,48,"7696581394432/2^48","117440512"
FQ101097,3,0x0000000f,0x200209bb,8796093022208,48,"8796093022208/2^48","134217728"
FQ101098,3,0x0000000f,0x200209cc,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ101099,3,0x0000000f,0x20020a22,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101100,3,0x0000000f,0x20020a44,6597069766656,48,"6597069766656/2^48","100663296"
FQ101101,3,0x0000000f,0x20020acc,6597069766656,48,"6597069766656/2^48","100663296"
FQ101102,3,0x0000000f,0x20020b33,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101103,3,0x0000000f,0x20020b99,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101104,3,0x0000000f,0x20020baa,5497558138880,48,"5497558138880/2^48","83886080"
FQ101105,3,0x0000000f,0x20020caa,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101106,3,0x0000000f,0x20020cbb,8796093022208,48,"8796093022208/2^48","134217728"
FQ101107,3,0x0000000f,0x20020cff,5497558138880,48,"5497558138880/2^48","83886080"
FQ101108,3,0x0000000f,0x20020d22,7696581394432,48,"7696581394432/2^48","117440512"
FQ101109,3,0x0000000f,0x20020d44,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101110,3,0x0000000f,0x20020dcc,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ101111,3,0x0000000f,0x20020dff,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101112,3,0x0000000f,0x20020e44,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101113,3,0x0000000f,0x20020e66,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101114,3,0x0000000f,0x20020ecc,13194139533312,48,"13194139533312/2^48","201326592"
FQ101115,3,0x0000000f,0x20020edd,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ101116,3,0x0000000f,0x20020f44,7696581394432,48,"7696581394432/2^48","117440512"
FQ101117,3,0x0000000f,0x20020f77,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101118,3,0x0000000f,0x20020faa,5497558138880,48,"5497558138880/2^48","83886080"
FQ101119,3,0x0000000f,0x20020fcc,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101120,3,0x0000000f,0x20020fdd,8796093022208,48,"8796093022208/2^48","134217728"
FQ101121,3,0x0000000f,0x30030022,9895604649984,48,"9895604649984/2^48","150994944"
FQ101122,3,0x0000000f,0x30030033,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ101123,3,0x0000000f,0x30030044,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ101124,3,0x0000000f,0x30030099,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101125,3,0x0000000f,0x300300bb,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ101126,3,0x0000000f,0x30030155,10995116277760,48,"10995116277760/2^48","167772160"
FQ101127,3,0x0000000f,0x30030233,6597069766656,48,"6597069766656/2^48","100663296"
FQ101128,3,0x0000000f,0x30030255,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101129,3,0x0000000f,0x300303aa,5497558138880,48,"5497558138880/2^48","83886080"
FQ101130,3,0x0000000f,0x30030422,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ101131,3,0x0000000f,0x30030455,13194139533312,48,"13194139533312/2^48","201326592"
FQ101132,3,0x0000000f,0x30030477,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101133,3,0x0000000f,0x30030488,8796093022208,48,"8796093022208/2^48","134217728"
FQ101134,3,0x0000000f,0x30030499,6597069766656,48,"6597069766656/2^48","100663296"
FQ101135,3,0x0000000f,0x300304aa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101136,3,0x0000000f,0x300304cc,5497558138880,48,"5497558138880/2^48","83886080"
FQ101137,3,0x0000000f,0x300304ee,7696581394432,48,"7696581394432/2^48","117440512"
FQ101138,3,0x0000000f,0x300304ff,8796093022208,48,"8796093022208/2^48","134217728"
FQ101139,3,0x0000000f,0x30030544,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101140,3,0x0000000f,0x30030566,6597069766656,48,"6597069766656/2^48","100663296"
FQ101141,3,0x0000000f,0x30030599,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101142,3,0x0000000f,0x300305ff,5497558138880,48,"5497558138880/2^48","83886080"
FQ101143,3,0x0000000f,0x300306bb,5497558138880,48,"5497558138880/2^48","83886080"
FQ101144,3,0x0000000f,0x300306dd,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ101145,3,0x0000000f,0x30030722,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ101146,3,0x0000000f,0x30030755,8796093022208,48,"8796093022208/2^48","134217728"
FQ101147,3,0x0000000f,0x30030766,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101148,3,0x0000000f,0x30030799,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ101149,3,0x0000000f,0x300307dd,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ101150,3,0x0000000f,0x30030822,5497558138880,48,"5497558138880/2^48","83886080"
FQ101151,3,0x0000000f,0x30030833,5497558138880,48,"5497558138880/2^48","83886080"
