row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ104265,3,0x000000b0,0x00020aaa,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104266,3,0x000000b0,0x00030333,7146825580544,48,"7146825580544/2^48","109051904"
FQ104267,3,0x000000b0,0x00040444,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ104268,3,0x000000b0,0x00042113,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104269,3,0x000000b0,0x00042446,6597069766656,48,"6597069766656/2^48","100663296"
FQ104270,3,0x000000b0,0x00042557,6597069766656,48,"6597069766656/2^48","100663296"
FQ104271,3,0x000000b0,0x00042775,6597069766656,48,"6597069766656/2^48","100663296"
FQ104272,3,0x000000b0,0x0004299b,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104273,3,0x000000b0,0x00042ddf,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104274,3,0x000000b0,0x00042eec,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ104275,3,0x000000b0,0x00042ffd,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104276,3,0x000000b0,0x00047ee9,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104277,3,0x000000b0,0x0004fee1,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104278,3,0x000000b0,0x00060444,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104279,3,0x000000b0,0x00070222,6597069766656,48,"6597069766656/2^48","100663296"
FQ104280,3,0x000000b0,0x00070aaa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104281,3,0x000000b0,0x0008f778,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104282,3,0x000000b0,0x0008f887,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104283,3,0x000000b0,0x00090999,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104284,3,0x000000b0,0x00092eec,4810363371520,48,"4810363371520/2^48","73400320"
FQ104285,3,0x000000b0,0x0009b992,6047313952768,48,"6047313952768/2^48","92274688"
FQ104286,3,0x000000b0,0x0009f996,4672924418048,48,"4672924418048/2^48","71303168"
FQ104287,3,0x000000b0,0x000a0aaa,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104288,3,0x000000b0,0x000cf887,4947802324992,48,"4947802324992/2^48","75497472"
FQ104289,3,0x000000b0,0x000d0999,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104290,3,0x000000b0,0x000d299b,4947802324992,48,"4947802324992/2^48","75497472"
FQ104291,3,0x000000b0,0x000d699f,5772436045824,48,"5772436045824/2^48","88080384"
FQ104292,3,0x000000b0,0x000f0fff,6047313952768,48,"6047313952768/2^48","92274688"
FQ104293,3,0x000000b0,0x01042eec,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104294,3,0x000000b0,0x0104f44b,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ104295,3,0x000000b0,0x01052446,6597069766656,48,"6597069766656/2^48","100663296"
FQ104296,3,0x000000b0,0x01052eec,5772436045824,48,"5772436045824/2^48","88080384"
FQ104297,3,0x000000b0,0x01053556,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104298,3,0x000000b0,0x0107aee4,5497558138880,48,"5497558138880/2^48","83886080"
FQ104299,3,0x000000b0,0x010ea339,4535485464576,48,"4535485464576/2^48","69206016"
FQ104300,3,0x000000b0,0x0203fbb4,5085241278464,48,"5085241278464/2^48","77594624"
FQ104301,3,0x000000b0,0x02040666,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104302,3,0x000000b0,0x0204a44e,-12094627905536,48,"-12094627905536/2^48","-184549376"
FQ104303,3,0x000000b0,0x02060666,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104304,3,0x000000b0,0x02062331,5497558138880,48,"5497558138880/2^48","83886080"
FQ104305,3,0x000000b0,0x02062664,9345848836096,48,"9345848836096/2^48","142606336"
FQ104306,3,0x000000b0,0x02062775,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104307,3,0x000000b0,0x02062bb9,4947802324992,48,"4947802324992/2^48","75497472"
FQ104308,3,0x000000b0,0x02062ffd,5497558138880,48,"5497558138880/2^48","83886080"
FQ104309,3,0x000000b0,0x02063665,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104310,3,0x000000b0,0x0206f669,5497558138880,48,"5497558138880/2^48","83886080"
FQ104311,3,0x000000b0,0x0304a44e,5497558138880,48,"5497558138880/2^48","83886080"
FQ104312,3,0x000000b0,0x0304f44b,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104313,3,0x000000b0,0x03054115,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104314,3,0x000000b0,0x0305c559,5497558138880,48,"5497558138880/2^48","83886080"
FQ104315,3,0x000000b0,0x03066660,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104316,3,0x000000b0,0x03072446,6597069766656,48,"6597069766656/2^48","100663296"
FQ104317,3,0x000000b0,0x03072664,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104318,3,0x000000b0,0x030cacc6,4947802324992,48,"4947802324992/2^48","75497472"
FQ104319,3,0x000000b0,0x030da66c,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104320,3,0x000000b0,0x030dadd7,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ104321,3,0x000000b0,0x0403933a,-5222680231936,48,"-5222680231936/2^48","-79691776"
FQ104322,3,0x000000b0,0x0407a44e,5222680231936,48,"5222680231936/2^48","79691776"
FQ104323,3,0x000000b0,0x0408fcc3,4947802324992,48,"4947802324992/2^48","75497472"
FQ104324,3,0x000000b0,0x04090ddd,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104325,3,0x000000b0,0x04092ddf,4947802324992,48,"4947802324992/2^48","75497472"
FQ104326,3,0x000000b0,0x04096ddb,5772436045824,48,"5772436045824/2^48","88080384"
FQ104327,3,0x000000b0,0x040c2cce,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104328,3,0x000000b0,0x040cfcc3,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104329,3,0x000000b0,0x040d0ddd,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104330,3,0x000000b0,0x040dbdd6,6047313952768,48,"6047313952768/2^48","92274688"
FQ104331,3,0x000000b0,0x040dfdd2,4672924418048,48,"4672924418048/2^48","71303168"
FQ104332,3,0x000000b0,0x05012446,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104333,3,0x000000b0,0x05013112,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104334,3,0x000000b0,0x05020777,6597069766656,48,"6597069766656/2^48","100663296"
FQ104335,3,0x000000b0,0x05042446,8796093022208,48,"8796093022208/2^48","134217728"
FQ104336,3,0x000000b0,0x0504f44b,5497558138880,48,"5497558138880/2^48","83886080"
FQ104337,3,0x000000b0,0x0506a44e,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104338,3,0x000000b0,0x05070777,6597069766656,48,"6597069766656/2^48","100663296"
FQ104339,3,0x000000b0,0x05075772,4947802324992,48,"4947802324992/2^48","75497472"
FQ104340,3,0x000000b0,0x050a0222,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104341,3,0x000000b0,0x050a0777,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104342,3,0x000000b0,0x050ba44e,6047313952768,48,"6047313952768/2^48","92274688"
FQ104343,3,0x000000b0,0x050e3eed,4672924418048,48,"4672924418048/2^48","71303168"
FQ104344,3,0x000000b0,0x050f0222,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104345,3,0x000000b0,0x050f0777,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104346,3,0x000000b0,0x06023221,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104347,3,0x000000b0,0x06023aa9,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ104348,3,0x000000b0,0x060b7bbc,6597069766656,48,"6597069766656/2^48","100663296"
FQ104349,3,0x000000b0,0x07014551,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104350,3,0x000000b0,0x0701c11d,5497558138880,48,"5497558138880/2^48","83886080"
FQ104351,3,0x000000b0,0x07032664,5497558138880,48,"5497558138880/2^48","83886080"
FQ104352,3,0x000000b0,0x07033330,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ104353,3,0x000000b0,0x07036aac,4672924418048,48,"4672924418048/2^48","71303168"
FQ104354,3,0x000000b0,0x0704a66c,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104355,3,0x000000b0,0x0704a77d,5222680231936,48,"5222680231936/2^48","79691776"
FQ104356,3,0x000000b0,0x0704aff5,-5222680231936,48,"-5222680231936/2^48","-79691776"
FQ104357,3,0x000000b0,0x07062664,6047313952768,48,"6047313952768/2^48","92274688"
FQ104358,3,0x000000b0,0x0708788f,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104359,3,0x000000b0,0x0708a882,5497558138880,48,"5497558138880/2^48","83886080"
FQ104360,3,0x000000b0,0x0709a993,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ104361,3,0x000000b0,0x070e2446,5497558138880,48,"5497558138880/2^48","83886080"
FQ104362,3,0x000000b0,0x070e299b,4810363371520,48,"4810363371520/2^48","73400320"
FQ104363,3,0x000000b0,0x08020222,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104364,3,0x000000b0,0x08020fff,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104365,3,0x000000b0,0x08043447,4947802324992,48,"4947802324992/2^48","75497472"
FQ104366,3,0x000000b0,0x08067443,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104367,3,0x000000b0,0x0806a11b,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104368,3,0x000000b0,0x0806a44e,9895604649984,48,"9895604649984/2^48","150994944"
FQ104369,3,0x000000b0,0x0806add7,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104370,3,0x000000b0,0x0806b44f,5497558138880,48,"5497558138880/2^48","83886080"
FQ104371,3,0x000000b0,0x0806f669,4672924418048,48,"4672924418048/2^48","71303168"
FQ104372,3,0x000000b0,0x08070aaa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104373,3,0x000000b0,0x080a0222,-6047313952768,48,"-6047313952768/2^48","-92274688"
FQ104374,3,0x000000b0,0x080a0fff,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104375,3,0x000000b0,0x080c3ccf,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104376,3,0x000000b0,0x080cacc6,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104377,3,0x000000b0,0x080cccc0,5497558138880,48,"5497558138880/2^48","83886080"
FQ104378,3,0x000000b0,0x080d6ddb,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ104379,3,0x000000b0,0x080e3eed,5222680231936,48,"5222680231936/2^48","79691776"
FQ104380,3,0x000000b0,0x080e7ee9,6322191859712,48,"6322191859712/2^48","96468992"
FQ104381,3,0x000000b0,0x080ea77d,5497558138880,48,"5497558138880/2^48","83886080"
FQ104382,3,0x000000b0,0x080eabb1,5497558138880,48,"5497558138880/2^48","83886080"
FQ104383,3,0x000000b0,0x080eaee4,-10445360463872,48,"-10445360463872/2^48","-159383552"
FQ104384,3,0x000000b0,0x080ebee5,-5772436045824,48,"-5772436045824/2^48","-88080384"
FQ104385,3,0x000000b0,0x080efee1,4672924418048,48,"4672924418048/2^48","71303168"
FQ104386,3,0x000000b0,0x080f0aaa,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104387,3,0x000000b0,0x080f288a,-4810363371520,48,"-4810363371520/2^48","-73400320"
FQ104388,3,0x000000b0,0x09042446,5497558138880,48,"5497558138880/2^48","83886080"
FQ104389,3,0x000000b0,0x09043447,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104390,3,0x000000b0,0x09047443,8246337208320,48,"8246337208320/2^48","125829120"
FQ104391,3,0x000000b0,0x0904944d,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104392,3,0x000000b0,0x0906a44e,4947802324992,48,"4947802324992/2^48","75497472"
FQ104393,3,0x000000b0,0x090d2446,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ104394,3,0x000000b0,0x090d2eec,-5222680231936,48,"-5222680231936/2^48","-79691776"
FQ104395,3,0x000000b0,0x090d3dde,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104396,3,0x000000b0,0x090d699f,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ104397,3,0x000000b0,0x0a047661,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104398,3,0x000000b0,0x0a04a339,6047313952768,48,"6047313952768/2^48","92274688"
FQ104399,3,0x000000b0,0x0a04a66c,9895604649984,48,"9895604649984/2^48","150994944"
FQ104400,3,0x000000b0,0x0a04abb1,6047313952768,48,"6047313952768/2^48","92274688"
FQ104401,3,0x000000b0,0x0a04b66d,5497558138880,48,"5497558138880/2^48","83886080"
FQ104402,3,0x000000b0,0x0a04c448,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ104403,3,0x000000b0,0x0a04f44b,4947802324992,48,"4947802324992/2^48","75497472"
FQ104404,3,0x000000b0,0x0a0bf33c,5085241278464,48,"5085241278464/2^48","77594624"
FQ104405,3,0x000000b0,0x0a0e2446,-9895604649984,48,"-9895604649984/2^48","-150994944"
FQ104406,3,0x000000b0,0x0a0e2557,5772436045824,48,"5772436045824/2^48","88080384"
FQ104407,3,0x000000b0,0x0a0e299b,-4672924418048,48,"-4672924418048/2^48","-71303168"
FQ104408,3,0x000000b0,0x0a0e2ddf,-5222680231936,48,"-5222680231936/2^48","-79691776"
FQ104409,3,0x000000b0,0x0a0e7443,-5497558138880,48,"-5497558138880/2^48","-83886080"
