row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ105319,3,0x000000f0,0x00010111,4947802324992,48,"4947802324992/2^48","75497472"
FQ105320,3,0x000000f0,0x00010666,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ105321,3,0x000000f0,0x00040111,6597069766656,48,"6597069766656/2^48","100663296"
FQ105322,3,0x000000f0,0x00040333,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105323,3,0x000000f0,0x00040555,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105324,3,0x000000f0,0x00040999,6597069766656,48,"6597069766656/2^48","100663296"
FQ105325,3,0x000000f0,0x00040bbb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105326,3,0x000000f0,0x00040ddd,6597069766656,48,"6597069766656/2^48","100663296"
FQ105327,3,0x000000f0,0x00040eee,8796093022208,48,"8796093022208/2^48","134217728"
FQ105328,3,0x000000f0,0x00050111,4947802324992,48,"4947802324992/2^48","75497472"
FQ105329,3,0x000000f0,0x00050666,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ105330,3,0x000000f0,0x00060666,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ105331,3,0x000000f0,0x00070666,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ105332,3,0x000000f0,0x00070777,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ105333,3,0x000000f0,0x00070888,5497558138880,48,"5497558138880/2^48","83886080"
FQ105334,3,0x000000f0,0x00080111,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105335,3,0x000000f0,0x00080555,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105336,3,0x000000f0,0x00080666,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105337,3,0x000000f0,0x00080777,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ105338,3,0x000000f0,0x00080999,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ105339,3,0x000000f0,0x00080ddd,6597069766656,48,"6597069766656/2^48","100663296"
