row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ110977,3,0x0000a000,0x01011110,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ110978,3,0x0000a000,0x01011554,21990232555520,48,"21990232555520/2^48","335544320"
FQ110979,3,0x0000a000,0x01011998,10995116277760,48,"10995116277760/2^48","167772160"
FQ110980,3,0x0000a000,0x01011ddc,15393162788864,48,"15393162788864/2^48","234881024"
FQ110981,3,0x0000a000,0x01013665,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ110982,3,0x0000a000,0x01013eed,6597069766656,48,"6597069766656/2^48","100663296"
FQ110983,3,0x0000a000,0x01014440,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ110984,3,0x0000a000,0x01014eea,8796093022208,48,"8796093022208/2^48","134217728"
FQ110985,3,0x0000a000,0x01015114,21990232555520,48,"21990232555520/2^48","335544320"
FQ110986,3,0x0000a000,0x01015550,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ110987,3,0x0000a000,0x0101599c,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ110988,3,0x0000a000,0x01015dd8,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ110989,3,0x0000a000,0x01015eeb,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ110990,3,0x0000a000,0x01016335,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ110991,3,0x0000a000,0x01016660,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ110992,3,0x0000a000,0x01017770,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ110993,3,0x0000a000,0x01019118,10995116277760,48,"10995116277760/2^48","167772160"
FQ110994,3,0x0000a000,0x0101955c,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ110995,3,0x0000a000,0x01019990,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ110996,3,0x0000a000,0x01019dd4,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ110997,3,0x0000a000,0x0101d11c,15393162788864,48,"15393162788864/2^48","234881024"
FQ110998,3,0x0000a000,0x0101d558,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ110999,3,0x0000a000,0x0101d994,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ111000,3,0x0000a000,0x0101ddd0,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ111001,3,0x0000a000,0x0101e33d,6597069766656,48,"6597069766656/2^48","100663296"
FQ111002,3,0x0000a000,0x0101e44a,8796093022208,48,"8796093022208/2^48","134217728"
