row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ111998,3,0x0000c000,0x01011110,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ111999,3,0x0000c000,0x01011554,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ112000,3,0x0000c000,0x01011667,8796093022208,48,"8796093022208/2^48","134217728"
FQ112001,3,0x0000c000,0x01011776,8796093022208,48,"8796093022208/2^48","134217728"
FQ112002,3,0x0000c000,0x01011eef,8796093022208,48,"8796093022208/2^48","134217728"
FQ112003,3,0x0000c000,0x01011ffe,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112004,3,0x0000c000,0x01012220,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112005,3,0x0000c000,0x01012331,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112006,3,0x0000c000,0x01012aa8,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112007,3,0x0000c000,0x01012bb9,8796093022208,48,"8796093022208/2^48","134217728"
FQ112008,3,0x0000c000,0x01013221,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112009,3,0x0000c000,0x01013330,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112010,3,0x0000c000,0x01013665,8796093022208,48,"8796093022208/2^48","134217728"
FQ112011,3,0x0000c000,0x01013aa9,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112012,3,0x0000c000,0x01013ccf,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112013,3,0x0000c000,0x01015114,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ112014,3,0x0000c000,0x01015550,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ112015,3,0x0000c000,0x01015663,8796093022208,48,"8796093022208/2^48","134217728"
FQ112016,3,0x0000c000,0x01015772,8796093022208,48,"8796093022208/2^48","134217728"
FQ112017,3,0x0000c000,0x01015eeb,8796093022208,48,"8796093022208/2^48","134217728"
FQ112018,3,0x0000c000,0x01015ffa,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112019,3,0x0000c000,0x01016117,8796093022208,48,"8796093022208/2^48","134217728"
FQ112020,3,0x0000c000,0x01016335,8796093022208,48,"8796093022208/2^48","134217728"
FQ112021,3,0x0000c000,0x01016553,8796093022208,48,"8796093022208/2^48","134217728"
FQ112022,3,0x0000c000,0x01016660,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112023,3,0x0000c000,0x01016cca,8796093022208,48,"8796093022208/2^48","134217728"
FQ112024,3,0x0000c000,0x01017116,8796093022208,48,"8796093022208/2^48","134217728"
FQ112025,3,0x0000c000,0x01017552,8796093022208,48,"8796093022208/2^48","134217728"
FQ112026,3,0x0000c000,0x0101a228,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112027,3,0x0000c000,0x0101a339,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112028,3,0x0000c000,0x0101aaa0,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112029,3,0x0000c000,0x0101abb1,8796093022208,48,"8796093022208/2^48","134217728"
FQ112030,3,0x0000c000,0x0101b229,8796093022208,48,"8796093022208/2^48","134217728"
FQ112031,3,0x0000c000,0x0101baa1,8796093022208,48,"8796093022208/2^48","134217728"
FQ112032,3,0x0000c000,0x0101bbb0,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ112033,3,0x0000c000,0x0101bcc7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112034,3,0x0000c000,0x0101bee5,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112035,3,0x0000c000,0x0101c33f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112036,3,0x0000c000,0x0101c66a,8796093022208,48,"8796093022208/2^48","134217728"
FQ112037,3,0x0000c000,0x0101cbb7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112038,3,0x0000c000,0x0101ccc0,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ112039,3,0x0000c000,0x0101cee2,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112040,3,0x0000c000,0x0101e11f,8796093022208,48,"8796093022208/2^48","134217728"
FQ112041,3,0x0000c000,0x0101e55b,8796093022208,48,"8796093022208/2^48","134217728"
FQ112042,3,0x0000c000,0x0101ebb5,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112043,3,0x0000c000,0x0101ecc2,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112044,3,0x0000c000,0x0101eee0,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112045,3,0x0000c000,0x0101f11e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112046,3,0x0000c000,0x0101f55a,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112047,3,0x0000c000,0x02021223,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112048,3,0x0000c000,0x02021332,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112049,3,0x0000c000,0x02021aab,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112050,3,0x0000c000,0x02021bba,8796093022208,48,"8796093022208/2^48","134217728"
FQ112051,3,0x0000c000,0x02022113,-8796093022208,48,"-8796093022208/2^48","-134217728"
