row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ129226,3,0x00f00000,0x01110001,4947802324992,48,"4947802324992/2^48","75497472"
FQ129227,3,0x00f00000,0x01110004,6597069766656,48,"6597069766656/2^48","100663296"
FQ129228,3,0x00f00000,0x01110005,4947802324992,48,"4947802324992/2^48","75497472"
FQ129229,3,0x00f00000,0x01110008,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129230,3,0x00f00000,0x0111000b,4947802324992,48,"4947802324992/2^48","75497472"
FQ129231,3,0x00f00000,0x01110701,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129232,3,0x00f00000,0x01110706,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129233,3,0x00f00000,0x01110b05,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129234,3,0x00f00000,0x01110b0e,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129235,3,0x00f00000,0x03330004,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129236,3,0x00f00000,0x0444000e,8796093022208,48,"8796093022208/2^48","134217728"
FQ129237,3,0x00f00000,0x04440104,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129238,3,0x00f00000,0x04440105,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129239,3,0x00f00000,0x04440501,6597069766656,48,"6597069766656/2^48","100663296"
FQ129240,3,0x00f00000,0x04440504,6597069766656,48,"6597069766656/2^48","100663296"
FQ129241,3,0x00f00000,0x04440703,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129242,3,0x00f00000,0x04440704,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129243,3,0x00f00000,0x04440904,6597069766656,48,"6597069766656/2^48","100663296"
FQ129244,3,0x00f00000,0x0444090d,6597069766656,48,"6597069766656/2^48","100663296"
FQ129245,3,0x00f00000,0x04440a04,8796093022208,48,"8796093022208/2^48","134217728"
FQ129246,3,0x00f00000,0x04440a0e,8796093022208,48,"8796093022208/2^48","134217728"
FQ129247,3,0x00f00000,0x04440d04,6597069766656,48,"6597069766656/2^48","100663296"
FQ129248,3,0x00f00000,0x04440d09,6597069766656,48,"6597069766656/2^48","100663296"
FQ129249,3,0x00f00000,0x04440f04,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129250,3,0x00f00000,0x04440f0b,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129251,3,0x00f00000,0x05550004,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129252,3,0x00f00000,0x05550008,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129253,3,0x00f00000,0x05550305,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129254,3,0x00f00000,0x05550306,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129255,3,0x00f00000,0x05550401,4947802324992,48,"4947802324992/2^48","75497472"
FQ129256,3,0x00f00000,0x05550405,4947802324992,48,"4947802324992/2^48","75497472"
FQ129257,3,0x00f00000,0x05550f01,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129258,3,0x00f00000,0x05550f0e,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129259,3,0x00f00000,0x06660001,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129260,3,0x00f00000,0x06660005,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129261,3,0x00f00000,0x06660006,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129262,3,0x00f00000,0x06660007,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129263,3,0x00f00000,0x06660008,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129264,3,0x00f00000,0x06660009,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129265,3,0x00f00000,0x0666000d,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129266,3,0x00f00000,0x0666000f,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129267,3,0x00f00000,0x07770007,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ129268,3,0x00f00000,0x07770008,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ129269,3,0x00f00000,0x0777000e,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129270,3,0x00f00000,0x07770106,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129271,3,0x00f00000,0x07770107,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129272,3,0x00f00000,0x07770f07,5497558138880,48,"5497558138880/2^48","83886080"
