row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ131710,3,0x50000000,0x11100505,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ131711,3,0x50000000,0x11100606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131712,3,0x50000000,0x11100808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131713,3,0x50000000,0x11100909,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ131714,3,0x50000000,0x11100d0d,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131715,3,0x50000000,0x11100f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131716,3,0x50000000,0x12230808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131717,3,0x50000000,0x12230f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131718,3,0x50000000,0x13320303,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131719,3,0x50000000,0x14450404,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131720,3,0x50000000,0x15540101,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ131721,3,0x50000000,0x15540808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131722,3,0x50000000,0x15540909,8796093022208,48,"8796093022208/2^48","134217728"
FQ131723,3,0x50000000,0x15540d0d,13194139533312,48,"13194139533312/2^48","201326592"
FQ131724,3,0x50000000,0x15540f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131725,3,0x50000000,0x16670101,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131726,3,0x50000000,0x16670606,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131727,3,0x50000000,0x16670808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131728,3,0x50000000,0x18890101,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131729,3,0x50000000,0x18890202,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131730,3,0x50000000,0x18890505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131731,3,0x50000000,0x18890606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131732,3,0x50000000,0x18890808,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ131733,3,0x50000000,0x18890909,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131734,3,0x50000000,0x18890a0a,6597069766656,48,"6597069766656/2^48","100663296"
FQ131735,3,0x50000000,0x18890d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ131736,3,0x50000000,0x18890e0e,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131737,3,0x50000000,0x18890f0f,13194139533312,48,"13194139533312/2^48","201326592"
FQ131738,3,0x50000000,0x19980101,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ131739,3,0x50000000,0x19980505,8796093022208,48,"8796093022208/2^48","134217728"
FQ131740,3,0x50000000,0x19980808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131741,3,0x50000000,0x19980d0d,10995116277760,48,"10995116277760/2^48","167772160"
FQ131742,3,0x50000000,0x19980f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131743,3,0x50000000,0x1aab0808,6597069766656,48,"6597069766656/2^48","100663296"
FQ131744,3,0x50000000,0x1aab0f0f,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131745,3,0x50000000,0x1ddc0101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131746,3,0x50000000,0x1ddc0505,13194139533312,48,"13194139533312/2^48","201326592"
FQ131747,3,0x50000000,0x1ddc0808,6597069766656,48,"6597069766656/2^48","100663296"
FQ131748,3,0x50000000,0x1ddc0909,10995116277760,48,"10995116277760/2^48","167772160"
FQ131749,3,0x50000000,0x1ddc0e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ131750,3,0x50000000,0x1ddc0f0f,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131751,3,0x50000000,0x1eef0808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131752,3,0x50000000,0x1eef0d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ131753,3,0x50000000,0x1eef0e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131754,3,0x50000000,0x1ffe0101,6597069766656,48,"6597069766656/2^48","100663296"
FQ131755,3,0x50000000,0x1ffe0202,6597069766656,48,"6597069766656/2^48","100663296"
FQ131756,3,0x50000000,0x1ffe0505,6597069766656,48,"6597069766656/2^48","100663296"
FQ131757,3,0x50000000,0x1ffe0808,13194139533312,48,"13194139533312/2^48","201326592"
FQ131758,3,0x50000000,0x1ffe0909,6597069766656,48,"6597069766656/2^48","100663296"
FQ131759,3,0x50000000,0x1ffe0a0a,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131760,3,0x50000000,0x1ffe0d0d,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131761,3,0x50000000,0x1ffe0f0f,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ131762,3,0x50000000,0x21130808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131763,3,0x50000000,0x21130f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131764,3,0x50000000,0x22200202,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ131765,3,0x50000000,0x22200707,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131766,3,0x50000000,0x22200a0a,15393162788864,48,"15393162788864/2^48","234881024"
FQ131767,3,0x50000000,0x23310c0c,6597069766656,48,"6597069766656/2^48","100663296"
FQ131768,3,0x50000000,0x25570808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131769,3,0x50000000,0x25570f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131770,3,0x50000000,0x26640808,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131771,3,0x50000000,0x26640909,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131772,3,0x50000000,0x26640d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ131773,3,0x50000000,0x27750202,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131774,3,0x50000000,0x27750707,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131775,3,0x50000000,0x27750a0a,8796093022208,48,"8796093022208/2^48","134217728"
FQ131776,3,0x50000000,0x27750f0f,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ131777,3,0x50000000,0x288a0101,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131778,3,0x50000000,0x288a0505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131779,3,0x50000000,0x288a0606,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131780,3,0x50000000,0x288a0808,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ131781,3,0x50000000,0x288a0909,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131782,3,0x50000000,0x288a0d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ131783,3,0x50000000,0x288a0f0f,10995116277760,48,"10995116277760/2^48","167772160"
FQ131784,3,0x50000000,0x299b0606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131785,3,0x50000000,0x299b0808,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ131786,3,0x50000000,0x299b0f0f,8796093022208,48,"8796093022208/2^48","134217728"
FQ131787,3,0x50000000,0x2aa80202,15393162788864,48,"15393162788864/2^48","234881024"
FQ131788,3,0x50000000,0x2aa80707,8796093022208,48,"8796093022208/2^48","134217728"
FQ131789,3,0x50000000,0x2aa80a0a,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ131790,3,0x50000000,0x2aa80e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ131791,3,0x50000000,0x2cce0303,6597069766656,48,"6597069766656/2^48","100663296"
FQ131792,3,0x50000000,0x2ddf0606,6597069766656,48,"6597069766656/2^48","100663296"
FQ131793,3,0x50000000,0x2ddf0808,6597069766656,48,"6597069766656/2^48","100663296"
FQ131794,3,0x50000000,0x2ddf0f0f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ131795,3,0x50000000,0x2eec0a0a,6597069766656,48,"6597069766656/2^48","100663296"
FQ131796,3,0x50000000,0x2eec0f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ131797,3,0x50000000,0x2ffd0101,6597069766656,48,"6597069766656/2^48","100663296"
FQ131798,3,0x50000000,0x2ffd0505,6597069766656,48,"6597069766656/2^48","100663296"
FQ131799,3,0x50000000,0x2ffd0707,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ131800,3,0x50000000,0x2ffd0808,10995116277760,48,"10995116277760/2^48","167772160"
FQ131801,3,0x50000000,0x2ffd0909,8796093022208,48,"8796093022208/2^48","134217728"
