row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ134884,3,0xa0000000,0x11100101,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ134885,3,0xa0000000,0x11100505,21990232555520,48,"21990232555520/2^48","335544320"
FQ134886,3,0xa0000000,0x11100909,10995116277760,48,"10995116277760/2^48","167772160"
FQ134887,3,0xa0000000,0x11100d0d,15393162788864,48,"15393162788864/2^48","234881024"
FQ134888,3,0xa0000000,0x13320606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134889,3,0xa0000000,0x13320e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ134890,3,0xa0000000,0x14450404,-17592186044416,48,"-17592186044416/2^48","-268435456"
FQ134891,3,0xa0000000,0x14450e0e,8796093022208,48,"8796093022208/2^48","134217728"
FQ134892,3,0xa0000000,0x15540101,21990232555520,48,"21990232555520/2^48","335544320"
FQ134893,3,0xa0000000,0x15540505,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ134894,3,0xa0000000,0x15540909,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ134895,3,0xa0000000,0x15540d0d,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ134896,3,0xa0000000,0x15540e0e,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134897,3,0xa0000000,0x16670303,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134898,3,0xa0000000,0x16670606,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ134899,3,0xa0000000,0x17760707,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ134900,3,0xa0000000,0x19980101,10995116277760,48,"10995116277760/2^48","167772160"
FQ134901,3,0xa0000000,0x19980505,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ134902,3,0xa0000000,0x19980909,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ134903,3,0xa0000000,0x19980d0d,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ134904,3,0xa0000000,0x1ddc0101,15393162788864,48,"15393162788864/2^48","234881024"
FQ134905,3,0xa0000000,0x1ddc0505,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ134906,3,0xa0000000,0x1ddc0909,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ134907,3,0xa0000000,0x1ddc0d0d,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ134908,3,0xa0000000,0x1eef0303,6597069766656,48,"6597069766656/2^48","100663296"
FQ134909,3,0xa0000000,0x1eef0404,8796093022208,48,"8796093022208/2^48","134217728"
FQ134910,3,0xa0000000,0x1eef0505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134911,3,0xa0000000,0x1eef0e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ134912,3,0xa0000000,0x22200303,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ134913,3,0xa0000000,0x22200707,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ134914,3,0xa0000000,0x22200a0a,13194139533312,48,"13194139533312/2^48","201326592"
FQ134915,3,0xa0000000,0x22200b0b,8796093022208,48,"8796093022208/2^48","134217728"
FQ134916,3,0xa0000000,0x22200f0f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ134917,3,0xa0000000,0x23310202,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ134918,3,0xa0000000,0x23310a0a,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ134919,3,0xa0000000,0x23310b0b,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134920,3,0xa0000000,0x23310c0c,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134921,3,0xa0000000,0x27750202,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ134922,3,0xa0000000,0x27750a0a,10995116277760,48,"10995116277760/2^48","167772160"
FQ134923,3,0xa0000000,0x27750f0f,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ134924,3,0xa0000000,0x288a0808,8796093022208,48,"8796093022208/2^48","134217728"
FQ134925,3,0xa0000000,0x2aa80202,13194139533312,48,"13194139533312/2^48","201326592"
FQ134926,3,0xa0000000,0x2aa80303,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ134927,3,0xa0000000,0x2aa80707,10995116277760,48,"10995116277760/2^48","167772160"
FQ134928,3,0xa0000000,0x2aa80b0b,10995116277760,48,"10995116277760/2^48","167772160"
FQ134929,3,0xa0000000,0x2aa80f0f,10995116277760,48,"10995116277760/2^48","167772160"
FQ134930,3,0xa0000000,0x2bb90202,8796093022208,48,"8796093022208/2^48","134217728"
