row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ135905,3,0xc0000000,0x11100101,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ135906,3,0xc0000000,0x11100505,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ135907,3,0xc0000000,0x11100606,8796093022208,48,"8796093022208/2^48","134217728"
FQ135908,3,0xc0000000,0x11100707,8796093022208,48,"8796093022208/2^48","134217728"
FQ135909,3,0xc0000000,0x11100e0e,8796093022208,48,"8796093022208/2^48","134217728"
FQ135910,3,0xc0000000,0x11100f0f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135911,3,0xc0000000,0x12230202,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135912,3,0xc0000000,0x12230303,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135913,3,0xc0000000,0x12230a0a,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135914,3,0xc0000000,0x12230b0b,8796093022208,48,"8796093022208/2^48","134217728"
FQ135915,3,0xc0000000,0x13320202,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135916,3,0xc0000000,0x13320303,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ135917,3,0xc0000000,0x13320606,8796093022208,48,"8796093022208/2^48","134217728"
FQ135918,3,0xc0000000,0x13320a0a,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135919,3,0xc0000000,0x13320c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135920,3,0xc0000000,0x15540101,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ135921,3,0xc0000000,0x15540505,-21990232555520,48,"-21990232555520/2^48","-335544320"
FQ135922,3,0xc0000000,0x15540606,8796093022208,48,"8796093022208/2^48","134217728"
FQ135923,3,0xc0000000,0x15540707,8796093022208,48,"8796093022208/2^48","134217728"
FQ135924,3,0xc0000000,0x15540e0e,8796093022208,48,"8796093022208/2^48","134217728"
FQ135925,3,0xc0000000,0x15540f0f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135926,3,0xc0000000,0x16670101,8796093022208,48,"8796093022208/2^48","134217728"
FQ135927,3,0xc0000000,0x16670303,8796093022208,48,"8796093022208/2^48","134217728"
FQ135928,3,0xc0000000,0x16670505,8796093022208,48,"8796093022208/2^48","134217728"
FQ135929,3,0xc0000000,0x16670606,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135930,3,0xc0000000,0x16670c0c,8796093022208,48,"8796093022208/2^48","134217728"
FQ135931,3,0xc0000000,0x17760101,8796093022208,48,"8796093022208/2^48","134217728"
FQ135932,3,0xc0000000,0x17760505,8796093022208,48,"8796093022208/2^48","134217728"
FQ135933,3,0xc0000000,0x1aab0202,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ135934,3,0xc0000000,0x1aab0303,-8796093022208,48,"-8796093022208/2^48","-134217728"
