row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ136493,3,0xd0000000,0x11100101,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ136494,3,0xd0000000,0x11100202,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136495,3,0xd0000000,0x11100303,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ136496,3,0xd0000000,0x11100505,-19791209299968,48,"-19791209299968/2^48","-301989888"
FQ136497,3,0xd0000000,0x11100606,10995116277760,48,"10995116277760/2^48","167772160"
FQ136498,3,0xd0000000,0x11100707,8796093022208,48,"8796093022208/2^48","134217728"
FQ136499,3,0xd0000000,0x11100909,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136500,3,0xd0000000,0x11100a0a,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136501,3,0xd0000000,0x11100b0b,13194139533312,48,"13194139533312/2^48","201326592"
FQ136502,3,0xd0000000,0x11100d0d,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136503,3,0xd0000000,0x11100e0e,15393162788864,48,"15393162788864/2^48","234881024"
FQ136504,3,0xd0000000,0x11100f0f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ136505,3,0xd0000000,0x12230101,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136506,3,0xd0000000,0x12230505,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136507,3,0xd0000000,0x12230606,6597069766656,48,"6597069766656/2^48","100663296"
FQ136508,3,0xd0000000,0x12230f0f,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ136509,3,0xd0000000,0x13320101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ136510,3,0xd0000000,0x13320303,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ136511,3,0xd0000000,0x13320505,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ136512,3,0xd0000000,0x13320e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ136513,3,0xd0000000,0x14450404,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ136514,3,0xd0000000,0x15540101,-19791209299968,48,"-19791209299968/2^48","-301989888"
FQ136515,3,0xd0000000,0x15540202,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ136516,3,0xd0000000,0x15540303,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ136517,3,0xd0000000,0x15540505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ136518,3,0xd0000000,0x15540606,6597069766656,48,"6597069766656/2^48","100663296"
