row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ137696,3,0xf0000000,0x11100101,24189255811072,48,"24189255811072/2^48","369098752"
FQ137697,3,0xf0000000,0x11100202,10995116277760,48,"10995116277760/2^48","167772160"
FQ137698,3,0xf0000000,0x11100303,8796093022208,48,"8796093022208/2^48","134217728"
FQ137699,3,0xf0000000,0x11100505,10995116277760,48,"10995116277760/2^48","167772160"
FQ137700,3,0xf0000000,0x11100707,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ137701,3,0xf0000000,0x11100909,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137702,3,0xf0000000,0x11100a0a,10995116277760,48,"10995116277760/2^48","167772160"
FQ137703,3,0xf0000000,0x11100b0b,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ137704,3,0xf0000000,0x11100d0d,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ137705,3,0xf0000000,0x11100e0e,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137706,3,0xf0000000,0x11100f0f,8796093022208,48,"8796093022208/2^48","134217728"
FQ137707,3,0xf0000000,0x12230101,10995116277760,48,"10995116277760/2^48","167772160"
FQ137708,3,0xf0000000,0x12230505,10995116277760,48,"10995116277760/2^48","167772160"
FQ137709,3,0xf0000000,0x12230606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137710,3,0xf0000000,0x12230707,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137711,3,0xf0000000,0x13320101,8796093022208,48,"8796093022208/2^48","134217728"
FQ137712,3,0xf0000000,0x13320505,8796093022208,48,"8796093022208/2^48","134217728"
FQ137713,3,0xf0000000,0x13320606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137714,3,0xf0000000,0x13320b0b,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137715,3,0xf0000000,0x14450404,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ137716,3,0xf0000000,0x15540101,10995116277760,48,"10995116277760/2^48","167772160"
FQ137717,3,0xf0000000,0x15540202,10995116277760,48,"10995116277760/2^48","167772160"
FQ137718,3,0xf0000000,0x15540303,8796093022208,48,"8796093022208/2^48","134217728"
FQ137719,3,0xf0000000,0x15540505,24189255811072,48,"24189255811072/2^48","369098752"
FQ137720,3,0xf0000000,0x15540606,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137721,3,0xf0000000,0x15540909,15393162788864,48,"15393162788864/2^48","234881024"
FQ137722,3,0xf0000000,0x15540a0a,10995116277760,48,"10995116277760/2^48","167772160"
FQ137723,3,0xf0000000,0x15540b0b,-13194139533312,48,"-13194139533312/2^48","-201326592"
FQ137724,3,0xf0000000,0x15540d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ137725,3,0xf0000000,0x15540e0e,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ137726,3,0xf0000000,0x16670202,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137727,3,0xf0000000,0x16670303,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137728,3,0xf0000000,0x16670505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137729,3,0xf0000000,0x16670707,8796093022208,48,"8796093022208/2^48","134217728"
FQ137730,3,0xf0000000,0x16670a0a,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ137731,3,0xf0000000,0x16670b0b,6597069766656,48,"6597069766656/2^48","100663296"
FQ137732,3,0xf0000000,0x16670e0e,8796093022208,48,"8796093022208/2^48","134217728"
