run_id,implementation,r,Q,unique_u,unique_v,domain_start,domain_end,plaintext_count,threads,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,logical_query_updates,query_updates_per_second,plaintexts_per_second,u_parity_evaluations,v_parity_evaluations,permutation_evaluations,program_commit,program_sha256,input_sha256,output_sha256,exit_status
r1-q8-n65536-current-rep1,current,1,8,8,8,0,65536,65536,2,0.004029307,0.00,0.00,3968,524288,130118653.462816641,16264831.682852080,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,5b5153579f42a389e6560b136e55843aac81c2939be3571b0a5f421f7005d9de,0
r1-q8-n65536-grouped_u-rep1,grouped_u,1,8,8,8,0,65536,65536,2,0.003680331,0.00,0.00,3840,524288,142456752.153446138,17807094.019180767,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,a3f13faaabb4ec307b5105db15673b5a2752510abae3cc46f14cb1ff8a8a6ff5,0
r1-q8-n65536-grouped_uv-rep1,grouped_uv,1,8,8,8,0,65536,65536,2,0.005052049,0.00,0.00,3968,524288,103777298.989806071,12972162.373725759,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,d8acd3d3f05507363ed474a947037028be1125652c0bf73b030a66c852221507,0
r1-q8-n65536-current-rep2,current,1,8,8,8,0,65536,65536,2,0.003662753,0.00,0.00,3840,524288,143140417.861942828,17892552.232742853,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,5b5153579f42a389e6560b136e55843aac81c2939be3571b0a5f421f7005d9de,0
r1-q8-n65536-grouped_u-rep2,grouped_u,1,8,8,8,0,65536,65536,2,0.003695108,0.00,0.00,3840,524288,141887057.293520093,17735882.161690012,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,a3f13faaabb4ec307b5105db15673b5a2752510abae3cc46f14cb1ff8a8a6ff5,0
r1-q8-n65536-grouped_uv-rep2,grouped_uv,1,8,8,8,0,65536,65536,2,0.005329281,0.00,0.00,3968,524288,98378748.785444632,12297343.598180579,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,d8acd3d3f05507363ed474a947037028be1125652c0bf73b030a66c852221507,0
r1-q8-n65536-current-rep3,current,1,8,8,8,0,65536,65536,2,0.003739985,0.00,0.00,3840,524288,140184519.565984398,17523064.945748050,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,5b5153579f42a389e6560b136e55843aac81c2939be3571b0a5f421f7005d9de,0
r1-q8-n65536-grouped_u-rep3,grouped_u,1,8,8,8,0,65536,65536,2,0.003782426,0.00,0.00,3840,524288,138611568.082750827,17326446.010343853,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,73eb22745e9e2b2df67d7dfae8509a3cb7231ef8099d203f43d2467da86df566,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,a3f13faaabb4ec307b5105db15673b5a2752510abae3cc46f14cb1ff8a8a6ff5,0
r1-q8-n65536-grouped_uv-rep3,grouped_uv,1,8,8,8,0,65536,65536,2,0.005411684,0.00,0.00,3968,524288,96880749.327579886,12110093.665947486,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,3db8471c84fdf4eae24dc456329f9c987ab3358b102163c77825d99db674dcf7,f4ea423072a85ef992db5ec2019164e5095fad93e75a9615262bdd47ebad15e8,d8acd3d3f05507363ed474a947037028be1125652c0bf73b030a66c852221507,0
r2-q8-n65536-current-rep1,current,2,8,8,8,0,65536,65536,2,0.005889796,0.00,0.00,3840,524288,89016325.687006295,11127040.710875787,524288,524288,65536,a8d2065f4621aac48943a70afff5496775055097,6cc285f46ebfc01ec13b264ce3e7423656cd17d58f72a83dfbf9647dea0e3bb4,686ba922985525f9f7853f0bba05fc8995814f0a54237d72d41105a0613b5065,4cc39b87f29316dc286d9e4050fffd822175ea3178109191a0634d37452d3827,0
