# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=a4d2a83412a1a4ccb55935046d67bf0a8b7ba5c1aaa9b7a808933c31be922a77
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=13959168
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=213
# unique_v=213
# threads=8
r,u,v,numerator,denominator
1,0x4a14191d,0xa876d50f,-512,65536
1,0xf12576f9,0xb4fd61b7,0,65536
1,0x4a14191d,0x77c1b813,0,65536
1,0x297e21b9,0x7123a5d7,0,65536
1,0x022922c6,0x6ff6d0e8,0,65536
1,0x9d24e034,0x289a6698,0,65536
1,0x9d24e034,0xa2808dbd,0,65536
1,0x9e3bf38a,0x8b2f94e3,0,65536
1,0x3efb98c2,0xcf7a12ab,0,65536
1,0x6d28fa82,0x2bf5d1ff,0,65536
1,0x85c16715,0x453e607e,0,65536
1,0xf89204f3,0x7ed3dcd6,0,65536
1,0x0ddeb708,0x6ff6d0e8,0,65536
1,0xaa5b4be0,0xf1a93e9d,0,65536
1,0xd5db8d5f,0x2b4fe0a3,0,65536
1,0xc60e9225,0x7ed3dcd6,0,65536
1,0x0a58dd05,0xa3825a15,0,65536
1,0xa1bff953,0x825dc5bc,0,65536
1,0xd6fe0c58,0x638a4a2c,0,65536
1,0xf681f63f,0xa2808dbd,0,65536
1,0x29f9308e,0x8471ff03,0,65536
1,0x3fd495e3,0xe5546980,0,65536
1,0x95d05cd5,0xda9ac11e,0,65536
1,0x7fb1efc1,0xaea619b6,0,65536
1,0x199750d2,0x96e9d505,0,65536
1,0x0ec63670,0x0bd397a9,0,65536
1,0xb0fe61a2,0x45660ae7,0,65536
1,0xf833f957,0xc1772428,1024,65536
1,0xb01fcf68,0xd126f882,0,65536
1,0x23ccf507,0x1b6fe369,0,65536
1,0x0b9cfcc6,0xc1772428,0,65536
1,0xa81b5dcf,0x540f01b5,0,65536
1,0x57579607,0x65ddbf35,0,65536
1,0xb770322e,0x27aa2068,0,65536
1,0xbb259e64,0x41f2dab5,0,65536
1,0xf31ed2b7,0xf49a3400,0,65536
1,0x7fb1efc1,0x4b26dbac,0,65536
1,0x3cdc217c,0x3a825d7e,0,65536
1,0x8dfe9640,0x57cabded,0,65536
1,0x833860bc,0xb7c1e2f4,0,65536
1,0xb10b67ea,0xf4ed8e07,0,65536
1,0x662f5ccb,0x797cb6e4,-256,65536
1,0xbf0176a8,0x191a375b,0,65536
1,0x8584d0f8,0x17a02705,0,65536
1,0x46cb8331,0x715ce44e,0,65536
1,0xd64f33a1,0x518a587f,0,65536
1,0x2aad6de9,0x776eb893,0,65536
1,0x684833d9,0x9bea2647,0,65536
1,0x66d54d56,0x5dd37df4,0,65536
1,0xcf21667c,0x94e2d3cf,0,65536
1,0x4a9a62f6,0x3ba63b84,0,65536
1,0xf85de3b4,0x1c772ae0,0,65536
1,0xbf0176a8,0x071e9a49,0,65536
1,0xfa915098,0xbdb755cf,0,65536
1,0xee8f0b06,0xff16ab4c,0,65536
1,0x38e3b3c8,0x797cb6e4,0,65536
1,0x38f08298,0x54d4609d,512,65536
1,0x6a0bb20a,0xb98c2e24,0,65536
1,0xffa53dff,0xa6aee614,512,65536
1,0xa81b5dcf,0x46a43dd5,0,65536
1,0xad7d0389,0xf628f23f,0,65536
1,0x68e94295,0x0ea38144,0,65536
1,0xcf21667c,0x4dbcba1a,0,65536
1,0xa157573c,0x8ff1b4ab,0,65536
1,0x6a60e96e,0xcdf9f191,0,65536
1,0x17d856ce,0xaffa8f8f,0,65536
1,0x40ad0c96,0x06a7a932,0,65536
1,0x89fa345a,0x1c9efb36,0,65536
1,0x684833d9,0xb02bb50c,-256,65536
1,0x8584d0f8,0xeb66ad14,0,65536
1,0xf31ed2b7,0x72baece9,0,65536
1,0xfd0e0dca,0xe4997e1b,0,65536
1,0xe827e4d2,0xce56d2d9,0,65536
1,0xbec991da,0x798d1f55,0,65536
1,0x6fa2fee2,0x51e3655d,0,65536
1,0x18e635de,0x776eb893,0,65536
1,0x4e7646c7,0x88f4cfa8,0,65536
1,0x7aecdc16,0x8134a200,0,65536
1,0x3fd495e3,0x9346615d,0,65536
1,0x5c358d37,0x8ff1b4ab,0,65536
1,0x9b615f75,0x5c14f94d,0,65536
1,0x900fb3c2,0x777ef3fe,0,65536
1,0x6b5c4f2a,0x1c9efb36,0,65536
1,0xc3c24080,0xe2da67cb,0,65536
1,0x7c02d7d6,0x45660ae7,0,65536
1,0xd0d7a796,0x518a587f,0,65536
1,0x602eb311,0xdda28695,0,65536
1,0x7e4117d5,0xe526f7a3,0,65536
1,0x37617df0,0xcc5cd4cd,0,65536
1,0x9f9fdb9d,0xce56d2d9,0,65536
1,0x0a58dd05,0x715ce44e,0,65536
1,0x2f340770,0xd226e851,0,65536
1,0x38e3b3c8,0xb4abc3e6,-1024,65536
1,0xb370acd3,0x72baece9,0,65536
1,0x833860bc,0x656efb75,0,65536
1,0x18244bd7,0x8471ff03,0,65536
1,0x640eba68,0xf5e757fa,0,65536
1,0x8584d0f8,0xd4ebb39e,0,65536
1,0x96ee6f2d,0x825dc5bc,0,65536
1,0xcf31c0d8,0x86f36c49,0,65536
1,0x640eba68,0x5d884c9e,0,65536
1,0x3cdc217c,0xd4ebb39e,0,65536
1,0xb01fcf68,0x57cabded,0,65536
1,0x1d1a6be4,0xd226e851,0,65536
1,0xc28a3c26,0x191a375b,0,65536
1,0xaf36976c,0x3f6ea914,0,65536
1,0x5d9add5d,0x5a29ba88,0,65536
1,0xb7d451cc,0xfa7e6c79,0,65536
1,0x4799cd2e,0xf4ed8e07,0,65536
1,0x9c4ecadf,0x894c5185,0,65536
1,0x3db25d88,0x1e85431c,0,65536
1,0x188df209,0xcea7b20e,0,65536
1,0xb24bfe75,0x4002402f,0,65536
1,0x2c70a615,0x99615dcf,0,65536
1,0x644d0567,0x4352748f,0,65536
1,0x24621dcb,0x796ea739,0,65536
1,0xb01fcf68,0x70aa7015,0,65536
1,0xd99d00f0,0x4372f72c,0,65536
1,0x38e3b3c8,0x4352748f,0,65536
1,0xc2e58c2e,0x8ea7f221,0,65536
1,0x9cfc0732,0x7ae38e59,0,65536
1,0x2c9e5c41,0x2b11c797,0,65536
1,0x7988558d,0xec0de761,0,65536
1,0x08a87425,0x41f2dab5,0,65536
1,0x4d696eed,0x8471ff03,0,65536
1,0x0f755453,0x8aff6d3e,0,65536
1,0xa1ef0bcf,0x5c9d40cf,0,65536
1,0x85c16715,0x6fab6fe7,0,65536
1,0x1d1a6be4,0xda9ac11e,0,65536
1,0xf34039e8,0xbcba4189,512,65536
1,0x38b93122,0xc353004b,0,65536
1,0x68e94295,0x787499e9,0,65536
1,0xc3c24080,0x50c4a25f,0,65536
1,0xe36fb123,0x4ee2a670,0,65536
1,0x6700bbda,0xee81e576,0,65536
