# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=b7bca23bb42d5ab9ef8de92a57b1d0bc3b0cd986994f70db26138777b8821ccf
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=33554432
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=512
# unique_v=512
# threads=8
r,u,v,numerator,denominator
1,0x0c4d4f6e,0xe1873821,0,65536
1,0x6d3761d6,0x383340b4,0,65536
1,0xfc933c42,0x60a9a9c5,0,65536
1,0x5337a769,0x981be923,0,65536
1,0xca952c89,0x77f246dc,0,65536
1,0x71ff1c77,0xdd20d20f,0,65536
1,0x31d1e676,0x97a2bf0f,0,65536
1,0x63ccc6dc,0xf50af07d,0,65536
1,0x64353741,0xbd81f3e1,0,65536
1,0xd7391e79,0x71af10e5,0,65536
1,0x81deac97,0x38e1374e,0,65536
1,0xcdfa13a7,0x5e15723c,0,65536
1,0x004e2bda,0x0bf496d3,0,65536
1,0xac084075,0x9b803134,0,65536
1,0x6b412a80,0x620870e6,0,65536
1,0x423419a5,0xf56562b3,-2048,65536
1,0xb358f492,0x3899cc39,0,65536
1,0x53f52fdb,0xbc4e2efd,0,65536
1,0x019b848c,0xd041a6bf,0,65536
1,0x58d9cdb9,0xe9662630,0,65536
1,0x1b282ab7,0xbbe356d4,0,65536
1,0x895e42c0,0xd83de93b,0,65536
1,0x0b6ecf28,0xf8f80bb4,0,65536
1,0x0b93f8ec,0xf9a78f71,0,65536
1,0x488c1ba8,0xa44f8f7a,0,65536
1,0x7ae0ce67,0x34e83e1d,0,65536
1,0x7b9807d8,0x426f7cce,0,65536
1,0x69ae2966,0x2117e02b,0,65536
1,0xf9c49982,0xd7abea80,0,65536
1,0xc9c41dc5,0x9ad4c838,0,65536
1,0x1134f80b,0xfc188c72,0,65536
1,0xd321fa75,0x164e66bf,-512,65536
1,0xc8c9cec2,0x2f75d1a8,0,65536
1,0xdf866772,0x43d522eb,0,65536
1,0x6be88442,0xadf7f588,0,65536
1,0xee995ae6,0xa20e612d,0,65536
1,0x681405c8,0xd1a823f1,0,65536
1,0xdb242808,0x41253e97,0,65536
1,0x43d66f37,0x74a2e1e5,0,65536
1,0x944d807f,0x19088232,0,65536
1,0x391c6634,0x183165a3,0,65536
1,0x707a5d9c,0x8684b298,0,65536
1,0xd4fa588b,0x07f6c228,0,65536
1,0xff2e83b1,0xeb6e167b,0,65536
1,0xd8de7489,0xff0e3f7c,0,65536
1,0x15a21312,0x98889e1c,0,65536
1,0x6010b6a7,0x5fe5b9ca,0,65536
1,0x4ef49169,0x161ad95c,0,65536
1,0x8abc1a9b,0x9527f526,0,65536
1,0x76a2041c,0x6fd2f50b,0,65536
1,0x3745a41a,0x6e122e98,0,65536
1,0x0ffafff0,0x325cbd41,0,65536
1,0xeb8fbd5d,0xec84ec15,512,65536
1,0xf62d5747,0xfaacf93e,0,65536
1,0xc1d15618,0x931db4c4,0,65536
1,0x7e5b0ca6,0xdec87207,0,65536
1,0xb2208298,0x3b9c984b,0,65536
1,0xfcb5203f,0xcfd8486b,0,65536
1,0xbaf7e2f6,0xf294032d,0,65536
1,0x81079e98,0x7ec181b0,0,65536
1,0x159c2410,0x46620516,0,65536
1,0x3a3ecb7f,0xf6db75f8,0,65536
1,0x877df625,0x8a569bef,0,65536
1,0xdd9de16b,0x7833ce06,0,65536
1,0xd04b65af,0x5d22bf87,2048,65536
1,0x8a3d2625,0x7e76fea3,0,65536
1,0x6d825493,0xa9948981,0,65536
1,0xfb7fc9bf,0xe3577e85,0,65536
1,0x731a247f,0x02be9eb8,0,65536
1,0xc800231b,0x82c47f8d,0,65536
1,0x505f0271,0x411f9fe6,0,65536
1,0x8e14301b,0xcdab617f,0,65536
1,0x013486f3,0xcfd66f7e,0,65536
1,0x21de1f53,0xe732429b,256,65536
1,0x56d8a735,0x704e719a,0,65536
1,0x4035ddac,0xb2cb25af,1024,65536
1,0xb9323a15,0x2fbdebdc,0,65536
1,0x8a220f8a,0xaf9e2e9d,0,65536
1,0xf880cded,0x486819a5,0,65536
1,0x6b82fa84,0xeb75bb07,0,65536
1,0x2e0d329f,0x8dff8ea7,0,65536
1,0x47bd5c57,0x9cc0bdbc,0,65536
1,0xe3a950c5,0x997b6f42,0,65536
1,0x5b086993,0x4d4848d1,0,65536
1,0x7151cdf8,0x9b7c955d,-512,65536
1,0xf7621b06,0xfff1477d,0,65536
1,0xdc5c6722,0x7b34b9b1,0,65536
1,0xe05fc8bc,0x6dc80042,0,65536
1,0x49f65317,0x592520fa,-1024,65536
1,0x3acb210e,0x0ea0ed09,0,65536
1,0xd03a90df,0xe5e9903d,0,65536
1,0x148c36ea,0xa95eb6b6,0,65536
1,0xda85c704,0xb9eb5146,0,65536
1,0xff6038ae,0x21e5e653,0,65536
1,0x498a7d53,0x2708c3c6,0,65536
1,0x46becedd,0x251e6dff,512,65536
1,0xd290bfbb,0x0b90dda9,0,65536
1,0x852f40e6,0x62f29c57,0,65536
1,0x7c071672,0xe52c0e1e,0,65536
1,0x68ff7d9f,0x242e7919,0,65536
1,0x6a9b6980,0x02abcf37,0,65536
1,0xd70625ae,0x09ea1e3b,0,65536
1,0x34b73abd,0x9b123270,0,65536
1,0xb754d279,0x5340a967,0,65536
1,0x2f585992,0x3346f9b6,0,65536
1,0x7698735e,0xc17b4533,0,65536
1,0xc2ed9c8b,0x412313d6,0,65536
1,0x1de7e0f1,0x6f1d6bba,0,65536
1,0xa9de7b9a,0xaf388ef5,0,65536
1,0x4ea58944,0x6acdbd4d,0,65536
1,0x37dbcc1c,0x8677ab5c,0,65536
1,0x86ff12d3,0xaadeda3b,0,65536
1,0x0dcc02d7,0xd6f43920,0,65536
1,0xdfca7c3d,0xb3db8034,0,65536
1,0x7a3419aa,0x16983add,0,65536
1,0xa3d6c284,0x07e51cfd,0,65536
1,0x8d8a03fb,0x2cbbc490,0,65536
1,0x30962d59,0x344d8740,0,65536
1,0x602d94e9,0x1415e981,0,65536
1,0x1f5abf8f,0x80a64786,0,65536
1,0x621bfdf8,0x766348a1,0,65536
1,0x577d61c4,0xb192ff8b,0,65536
1,0xcedd2427,0x35313293,0,65536
1,0x36ed1272,0x2b790195,0,65536
1,0xaea3044c,0x72a36696,0,65536
1,0xcf8e85fb,0x2c1b1099,0,65536
1,0xe5c06577,0xca2d47f8,0,65536
1,0x66b6ff7c,0x57c6d552,0,65536
1,0xfbf9e293,0xd14ecfa0,0,65536
1,0x17385727,0xa31438ac,0,65536
1,0x6576fd1d,0x98f225a5,0,65536
1,0x0c10ec25,0xe019f172,0,65536
1,0x4cf96227,0xbcfe02df,0,65536
1,0x79aeeedf,0x4ad572fb,0,65536
1,0x9e935ae2,0x559c6c7e,0,65536
1,0x7632405c,0x8bbcec9b,0,65536
1,0x54bf6e04,0x6c24a14d,0,65536
1,0xdda5845a,0xae5d9c0b,0,65536
1,0x55b078ce,0x27833414,0,65536
1,0x72b5db26,0xeae59a9f,0,65536
1,0xb41d0aa9,0xb05bba0b,0,65536
1,0x13b49c04,0x2cb63fdf,0,65536
1,0xefec3475,0x67e6b43a,0,65536
1,0x49778416,0x1fc9ea90,0,65536
1,0x16e0b631,0x2b04acb4,0,65536
1,0x2f0dfa6b,0xdb1e2f6d,0,65536
1,0x3b80a13d,0x341e352c,0,65536
1,0x869a40e9,0x4cc7f013,0,65536
1,0x582cb115,0x3cb77913,0,65536
1,0x93e08bc3,0xe46470e8,-256,65536
1,0x634979a9,0x0636c673,0,65536
1,0x3e483d99,0x851495a1,0,65536
1,0xb05afcff,0x146e63a2,1024,65536
1,0x1a3d98d7,0x13d2cfc2,0,65536
1,0x73286f46,0x47b1dea5,0,65536
1,0x5edb3e53,0x4da53099,0,65536
1,0xc978d65e,0x81427cb7,0,65536
1,0x24c09e16,0x75feddd4,0,65536
1,0x673944af,0xbce17772,0,65536
1,0x5288486e,0x12815ed1,0,65536
1,0xffa5ca7a,0x39d975c5,-256,65536
1,0x622c09be,0x17a86e94,0,65536
1,0xbcf1ec7f,0xaa1b4283,0,65536
1,0x3c45970f,0x72bb751f,0,65536
1,0xd69d66fc,0x5b65b771,0,65536
1,0x95fa4e05,0xbc335444,0,65536
1,0x359d2b4e,0xba041f8e,0,65536
1,0x6da1566e,0xa3252194,0,65536
1,0x251aad74,0xcee41e50,0,65536
1,0xe6d763b2,0x400ff57d,0,65536
1,0xf0380f12,0x36fe312a,0,65536
1,0x94b446dd,0xe11d64b4,0,65536
1,0xcad39a3f,0x96b68fa1,0,65536
1,0x70d44397,0x7909c07a,0,65536
1,0xdaaa479a,0xbaf0f183,0,65536
1,0x6cab346a,0x66002d62,0,65536
1,0x6d8f8ef7,0xdc2b8a64,0,65536
1,0xb0254d2e,0xae922ccf,0,65536
1,0x47dcbcf5,0x943491ca,-256,65536
1,0xaab972a7,0x296b0ea5,0,65536
1,0x56aa0995,0x815218a2,0,65536
1,0x13e15b13,0x12d22057,0,65536
1,0xc82c1e1a,0xb7330614,256,65536
1,0xc81cfe56,0xf5d8fe0c,0,65536
1,0xb3732b5b,0x61df2564,0,65536
1,0x0894fb44,0x8008eed1,0,65536
1,0xab4f3c8a,0xe90a94fe,0,65536
1,0xaed89d3e,0x688eed28,0,65536
1,0xbecb5fe9,0x5fd5a027,0,65536
1,0x945faed7,0xf1e27518,0,65536
1,0x8cb0bba3,0x67b15d32,512,65536
1,0xb6839bb2,0x16328f88,0,65536
1,0xf9bb46c2,0xefab580a,0,65536
1,0x3fd931f9,0x64264bee,0,65536
1,0xd9b067c2,0x9318e368,0,65536
1,0x759919ec,0xcd2c5606,0,65536
1,0x895389e2,0x705d7737,0,65536
1,0x0cb44629,0x129521df,0,65536
1,0x7a7cecc0,0xe3eea0c5,0,65536
1,0x7318b796,0xf1361f11,0,65536
1,0xfbba3fab,0x66390e8a,0,65536
1,0x4815cc4d,0xe2d250ac,0,65536
1,0xce270aa3,0x930cf519,0,65536
1,0x7177b781,0x22c881f3,-1024,65536
1,0xd8d02fed,0x04d54cf6,0,65536
1,0x5944e607,0x81bc6ef6,0,65536
1,0x323e7b0e,0x94e4898e,0,65536
1,0xfe3036ea,0xe6a8ec5c,1024,65536
1,0x355cce15,0x9ce87712,0,65536
1,0xa0cacd8e,0x3ed6f278,0,65536
1,0x7872e68e,0xa1d90552,0,65536
