# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=f7a055334e58c86c7d643057ca96d882f4ce7efc051a603ec91cba6d9c89b951
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=4194304
# v_parity_evaluations=4194304
# logical_query_updates=4194304
# unique_u=46
# unique_v=47
# threads=1
r,u,v,numerator,denominator
1,0x0000000e,0x60060000,-32768,65536
1,0x00000040,0x00000f0f,32768,65536
1,0x00010000,0x00007007,-65536,65536
1,0x02000000,0x00000999,-65536,65536
1,0x0c000000,0x00000666,-65536,65536
1,0x0000000b,0xd00d0000,32768,65536
1,0x02000000,0x00000555,-65536,65536
1,0x09000000,0x00000888,-65536,65536
1,0x00000d00,0x0ccc0000,-32768,65536
1,0x00000040,0x00000a0a,-32768,65536
1,0x00000b00,0x09990000,-32768,65536
1,0x00500000,0x08080000,-65536,65536
1,0x07000000,0x00000bbb,-65536,65536
1,0x06000000,0x00000bbb,-65536,65536
1,0x00000300,0x0ccc0000,32768,65536
1,0x00d00000,0x08080000,-65536,65536
1,0x000000b0,0x00000909,-32768,65536
1,0x0000000f,0x50050000,32768,65536
1,0x00000800,0x04440000,32768,65536
1,0x02000000,0x00000ddd,65536,65536
1,0x06000000,0x00000aaa,-65536,65536
1,0x00000008,0x40040000,32768,65536
1,0x50000000,0x08000000,-65536,65536
1,0x07000000,0x00000ccc,65536,65536
1,0x0a000000,0x00000eee,65536,65536
1,0x00000040,0x00000707,32768,65536
1,0x06000000,0x00000333,65536,65536
1,0x00000800,0x0eee0000,32768,65536
1,0x0c000000,0x00000444,-65536,65536
1,0xd0000000,0x08000000,-65536,65536
1,0x0000a000,0x00000400,-32768,65536
1,0x00800000,0x04040000,-65536,65536
1,0x00008000,0x00000400,32768,65536
1,0x00000900,0x0ccc0000,32768,65536
1,0x90000000,0x08000000,-65536,65536
1,0x00050000,0x00008008,-65536,65536
1,0x00000b00,0x0ddd0000,32768,65536
1,0x02000000,0x00000111,65536,65536
1,0x03000000,0x00000333,65536,65536
1,0x00000200,0x09990000,-32768,65536
1,0x0000000a,0x40040000,-32768,65536
1,0x00000020,0x00000505,-32768,65536
1,0x20000000,0x09000000,-65536,65536
1,0x00000010,0x00000808,32768,65536
1,0x10000000,0x08000000,-65536,65536
1,0x0000e000,0x00000600,-32768,65536
1,0x00000005,0xf00f0000,32768,65536
1,0x0000000c,0x40040000,-32768,65536
1,0x00006000,0x00000b00,-32768,65536
1,0x0000e000,0x00000400,-32768,65536
1,0x00000700,0x0ccc0000,32768,65536
1,0x00000007,0xc00c0000,32768,65536
1,0x06000000,0x00000222,65536,65536
1,0x0000c000,0x00000400,-32768,65536
1,0x00d00000,0x0c0c0000,65536,65536
1,0x00000400,0x0aaa0000,-32768,65536
1,0x0000000b,0x90090000,-32768,65536
1,0x0000000e,0x40040000,-32768,65536
1,0x0000d000,0x00000c00,-32768,65536
1,0x00000040,0x00000202,32768,65536
1,0x09000000,0x00000ccc,65536,65536
1,0x000c0000,0x00004004,-65536,65536
1,0x00040000,0x00002002,65536,65536
1,0x00400000,0x0f0f0000,65536,65536
