# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=ed4cf2383f2dd012721235db716ce6e7b32a5b6f1393871804e61e017f16b0a3
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=4194304
# v_parity_evaluations=4194304
# logical_query_updates=4194304
# unique_u=27
# unique_v=27
# threads=1
r,u,v,numerator,denominator
1,0x192acba3,0x1e57c657,0,65536
1,0xc37ead06,0xc49c4200,0,65536
1,0xda134ce8,0x9be2a0f3,0,65536
1,0xf205cdbc,0x0e7dba18,0,65536
1,0x4b3be2aa,0x720b50ac,0,65536
1,0xfe816c44,0xcf8989e3,0,65536
1,0xb01b6b33,0xf65b1a57,0,65536
1,0x9fd00b0b,0x1e57c657,0,65536
1,0x3f4a3a48,0xa40361cb,0,65536
1,0x3f4a3a48,0x1646f04e,0,65536
1,0xda134ce8,0x7828cfc2,0,65536
1,0xdce226a5,0x720b50ac,0,65536
1,0x6b73c88c,0x9bfb3e5c,0,65536
1,0x8b179d92,0xfce06b4c,0,65536
1,0xeb253909,0x878fa9d5,0,65536
1,0x4b3be2aa,0xa40361cb,0,65536
1,0xbc193210,0xfce06b4c,0,65536
1,0xf205cdbc,0xa40361cb,0,65536
1,0x6b73c88c,0xcf8989e3,0,65536
1,0x2e6517a4,0xa40361cb,0,65536
1,0xc37ead06,0xc41a60c3,0,65536
1,0x39b4b59f,0xca4fa134,0,65536
1,0x21ac2f51,0xa734e86f,0,65536
1,0x192acba3,0x403ad932,0,65536
1,0x6eda381a,0x8e7f0c6c,0,65536
1,0x9b9e89d2,0x4aeb3005,0,65536
1,0xa201a353,0x7828cfc2,0,65536
1,0x9fd00b0b,0xb8526e9d,0,65536
1,0x14989bb0,0x349e75c2,0,65536
1,0x02c01f57,0xc49c4200,0,65536
1,0xa201a353,0x0e7dba18,0,65536
1,0xf205cdbc,0x8e7f0c6c,0,65536
1,0xf76e5533,0x349e75c2,0,65536
1,0xf76e5533,0x9bfb3e5c,-512,65536
1,0x9fd00b0b,0x8e7f0c6c,0,65536
1,0x21ac2f51,0x720b50ac,0,65536
1,0x1767fe3a,0x0363f5b0,0,65536
1,0x9b9e89d2,0x9be2a0f3,-512,65536
1,0xda134ce8,0xf65b1a57,0,65536
1,0x39b4b59f,0xb8526e9d,0,65536
1,0xc37ead06,0x0e7dba18,0,65536
1,0x0f0fded9,0xa6ce2da1,0,65536
1,0x9fd00b0b,0x2b02658a,0,65536
1,0x6eda381a,0xebc348f1,0,65536
1,0xeb253909,0x4aeb3005,0,65536
1,0xf205cdbc,0xfce06b4c,256,65536
1,0xd0256280,0xf65b1a57,0,65536
1,0x6b73c88c,0xa6ce2da1,0,65536
1,0xda134ce8,0x720b50ac,0,65536
1,0x4b3be2aa,0x0e7dba18,0,65536
1,0x2e6517a4,0x1646f04e,0,65536
1,0x04a3318e,0x403ad932,0,65536
1,0xd0256280,0x97289abe,0,65536
1,0xfe816c44,0x13cccf31,0,65536
1,0x0f0fded9,0xc41a60c3,0,65536
1,0x02c01f57,0x878fa9d5,0,65536
1,0xb01b6b33,0xa734e86f,0,65536
1,0x8b179d92,0x13cccf31,1024,65536
1,0x4b3be2aa,0xf65b1a57,0,65536
1,0xbc193210,0x97289abe,0,65536
1,0xdce226a5,0xca4fa134,0,65536
1,0x14989bb0,0x0363f5b0,0,65536
1,0x04a3318e,0xebc348f1,0,65536
1,0x1767fe3a,0x2b02658a,0,65536
