# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=e4dc98d804d86339e92ed842186c35a85ccdc313a2fd38feb9b43a2b74925db4
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=4194304
# v_parity_evaluations=4194304
# logical_query_updates=4194304
# unique_u=64
# unique_v=64
# threads=1
r,u,v,numerator,denominator
1,0x5638876d,0x7bed3d5a,0,65536
1,0x543a09d1,0x304ab7a2,0,65536
1,0x6f52ddb3,0x453b11c2,0,65536
1,0xe438b831,0xa6719c02,0,65536
1,0x31504b55,0xe55224bd,0,65536
1,0x63a5b66b,0x6355299b,0,65536
1,0xaa7d1751,0x0b54b9f4,0,65536
1,0x2a5706f9,0x53375c13,0,65536
1,0x00481ebb,0xa79a2fc6,0,65536
1,0xe3dc4226,0x76be8ee8,0,65536
1,0x6f5bafd9,0x6a7ed5d9,0,65536
1,0xd79df812,0x8d1729d3,0,65536
1,0x87cd21e1,0x824d9e48,0,65536
1,0xbc74f7c3,0x2bc2b78d,0,65536
1,0xba45ac2a,0x1daf7f89,0,65536
1,0xa1019eb9,0x8ed1e365,-2048,65536
1,0xc434a4d0,0x83397293,0,65536
1,0x7792aa9c,0xa052438b,0,65536
1,0x79f7c40e,0x160ea5be,0,65536
1,0xcdd01f9f,0x01603a63,0,65536
1,0xf9b1730f,0xeb57994e,0,65536
1,0x33222fc5,0x1decff4c,0,65536
1,0x33ed7fa5,0x6be59d25,512,65536
1,0x389b827e,0x2115e0a1,0,65536
1,0xc9c78c06,0x6611f727,0,65536
1,0xbdfe87de,0x4b28ff4d,-512,65536
1,0xd514bb50,0x19818f01,0,65536
1,0x5bb66691,0x021f757f,0,65536
1,0xa8cc7629,0x8cab3f2d,0,65536
1,0x4cc4cb63,0x15aa01ba,0,65536
1,0xd4f2e095,0x50f928f9,0,65536
1,0x9cca281a,0x18d0459a,0,65536
1,0xd48c0777,0xfdc7c848,0,65536
1,0x9ad2c11f,0x3e82bd6b,512,65536
1,0x4d0cbcb9,0xa8d4cdcd,0,65536
1,0x762d8574,0x664bc388,0,65536
1,0x48c58c90,0x853546a3,0,65536
1,0xa69fee97,0xfa6aed1b,0,65536
1,0x1413a658,0xc388220b,0,65536
1,0x54b7ab11,0x5cd8b2bf,0,65536
1,0xdad620e2,0x3fcbae0d,0,65536
1,0xb7884e53,0x49b7eda2,0,65536
1,0xfa68f4e7,0xd93c9b7d,0,65536
1,0x4bc0e794,0x2a707e2e,0,65536
1,0xd76b56a4,0xfbf00dad,0,65536
1,0x48f76946,0x2887fb53,0,65536
1,0xb28d382e,0xc2a161f1,0,65536
1,0x2ac92abd,0x580ec617,0,65536
1,0xb55e1c1c,0x1d1603cc,0,65536
1,0x38c433ae,0x592390c3,0,65536
1,0x5ea74843,0x049937ce,0,65536
1,0x86793d34,0x3ab19031,0,65536
1,0x853f69ff,0x88595804,0,65536
1,0x3d812553,0x94b86322,0,65536
1,0xe194d269,0xd9bb31d4,0,65536
1,0xe081b975,0xcbf15034,0,65536
1,0x3ca99081,0x7dc1852a,0,65536
1,0x514ca6d4,0xafee5bf5,0,65536
1,0x8d8aaa1f,0x5437efaf,0,65536
1,0x95461b66,0x0e5a43df,0,65536
1,0xb026e3d5,0x000b159a,0,65536
1,0xe3b7762a,0xd19fefde,0,65536
1,0x88e4cef0,0x2a7f6056,0,65536
1,0x32b0f0c6,0x8e3125c1,0,65536
