# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=f5042449087496cc0dfb8bb4b5a9985d342c9410af154b4fed8a8cd99761fc0c
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=7995392
# v_parity_evaluations=27918336
# logical_query_updates=33554432
# unique_u=122
# unique_v=426
# threads=1
r,u,v,numerator,denominator
2,0xa0006000,0x0eee0222,-16384,65536
2,0x00b00200,0x0b0b0000,-16384,65536
2,0x10000000,0x00000222,65536,65536
2,0x6b000000,0xcbb70595,0,65536
2,0xa0006000,0x09990bbb,49152,65536
2,0xe0d00000,0x0000b883,-65536,65536
2,0x00005b00,0x0959c33f,0,65536
2,0xf0007a00,0x0ada7dda,24576,65536
2,0x02005000,0xcdd10c0c,0,65536
2,0x00009080,0xb55e0000,6144,65536
2,0x0600b000,0x977e0909,4096,65536
2,0xb000e000,0x03330555,32768,65536
2,0x1000a000,0x02220111,-32768,65536
2,0xa0006000,0x09990444,-49152,65536
2,0x00600004,0x0d00833b,0,65536
2,0x1000a000,0x02220aaa,-32768,65536
2,0xa0006000,0x09990666,-49152,65536
2,0x10000090,0x46620444,12288,65536
2,0x00047000,0x1ddc0900,-12288,65536
2,0x200040e0,0xa44e0888,12288,65536
2,0x00507000,0x0ddd6553,49152,65536
2,0x20c00006,0x0500aaa0,0,65536
2,0x00005090,0x50050000,-8192,65536
2,0x20905000,0x05555114,-49152,65536
2,0x20905000,0x0555499d,-49152,65536
2,0x00004050,0x50050000,10240,65536
2,0x00700900,0x0b0b0000,16384,65536
2,0xf0007a00,0x0fdf7dda,12288,65536
2,0x20905000,0x05551554,-49152,65536
2,0x0010f000,0x0fffbbb0,-32768,65536
2,0x00010050,0x5eeb0b00,10240,65536
2,0xf0007a00,0x02d2fdd2,0,65536
2,0x00d00700,0x0b0b0000,0,65536
2,0xc0f00000,0x0000b00b,-65536,65536
2,0x00006090,0x588d0000,-8192,65536
2,0x1000a000,0x02220444,32768,65536
2,0xb000e000,0x0bbb0aaa,32768,65536
2,0xb000e000,0x07770666,32768,65536
2,0x1000a000,0x01110444,-16384,65536
2,0x700000d0,0x1ffe0ddd,6144,65536
2,0x00003010,0x1bba0000,-10240,65536
2,0xd0000002,0x08007770,65536,65536
2,0x0e000010,0x00000b0b,16384,65536
2,0x00600900,0x05050000,-16384,65536
2,0x200040e0,0xbbb00888,-6144,65536
2,0x80b00000,0x0000b883,-65536,65536
2,0x00007080,0x588d0000,6144,65536
2,0x70700000,0x00005005,-65536,65536
2,0x1000a000,0x09990ccc,-16384,65536
2,0x0000f007,0x0a779009,24576,65536
2,0x2d000080,0x00000b8b,0,65536
2,0x0600b000,0x9ff60d0d,12288,65536
2,0x00009080,0x8bb30000,8192,65536
2,0x10000000,0x00000111,65536,65536
2,0x00047000,0x5dd80e00,-12288,65536
2,0xa0006000,0x09990999,49152,65536
2,0x00600100,0x05050000,16384,65536
2,0x90000002,0x0f00f669,0,65536
2,0x00600004,0x01006ddb,49152,65536
2,0x00005060,0x50050000,-6144,65536
2,0x90500000,0x00005005,-65536,65536
2,0xb000e000,0x03330aaa,-32768,65536
2,0x0d000040,0x00000505,0,65536
2,0x6b000000,0xc8840191,-16384,65536
2,0x10000090,0x46620ccc,12288,65536
2,0x00600004,0x01002ddf,-49152,65536
2,0x700000d0,0xdbb60ddd,6144,65536
2,0x10000000,0x00000aaa,65536,65536
2,0x200040e0,0xa11b0888,-12288,65536
2,0x00007060,0x588d0000,-6144,65536
2,0x00047000,0xedd30500,-12288,65536
2,0x1000a000,0x02220ccc,32768,65536
2,0x00100005,0x0e005bbe,0,65536
2,0x00009080,0x966f0000,6144,65536
2,0xd0000002,0x0f00f778,0,65536
2,0x10000000,0x00000ddd,-65536,65536
2,0x00600004,0x09000555,16384,65536
2,0x6b000000,0xccc00a9a,16384,65536
2,0xf0007a00,0x02d22ddf,0,65536
2,0xf0007a00,0x0adaadd7,24576,65536
2,0x00f00e00,0x0b0b0000,-16384,65536
2,0x00600004,0x09000111,-16384,65536
2,0xd0000002,0x08007ff8,65536,65536
2,0x200040e0,0x7ccb0888,-6144,65536
2,0x200040e0,0xfbb40888,6144,65536
2,0x00047000,0xedd30b00,12288,65536
2,0x00003010,0x17760000,-6144,65536
2,0x00009080,0xfbb40000,-8192,65536
2,0x2b001000,0xcaa60484,8192,65536
2,0x00047000,0xddd00100,-12288,65536
2,0x00600004,0x01000999,49152,65536
2,0x200040e0,0xacc60888,8192,65536
2,0x1000a000,0x0aaa0666,-32768,65536
2,0x200040e0,0x1ffe0888,6144,65536
2,0x000060d0,0x588d0000,-8192,65536
2,0x20c00006,0x0900abb1,-49152,65536
2,0x00600004,0x0d000555,0,65536
2,0x00600004,0x0d000111,0,65536
2,0x0f000080,0x00000505,0,65536
2,0x20c00006,0x0d007aad,0,65536
2,0x800e00c0,0x022200aa,-16384,65536
2,0x20905000,0x05551ddc,-49152,65536
2,0x00507000,0x0ddd5ffa,49152,65536
2,0x00600004,0x05007dda,0,65536
2,0x00507000,0x0ddd8880,-49152,65536
2,0x20c00006,0x0d001223,0,65536
2,0x0000e0f0,0xb8830000,6144,65536
2,0x00009080,0x21130000,-6144,65536
2,0xa0006000,0x09990ccc,-49152,65536
2,0x000080f0,0x50050000,6144,65536
2,0x1000a000,0x0ccc0ccc,16384,65536
2,0xf0007a00,0x0adafdd2,-24576,65536
2,0x70f00000,0x0000b883,-65536,65536
2,0x800e00c0,0x02220822,-16384,65536
2,0x0000e080,0x50050000,-6144,65536
2,0x00507000,0x0ddd7443,49152,65536
2,0x2b001000,0x8ee60484,-16384,65536
2,0x0600b000,0x5ffa0d0d,12288,65536
2,0x00003010,0x933a0000,6144,65536
2,0xa0006000,0x09990333,49152,65536
2,0x200040e0,0x32210888,-10240,65536
2,0x40900000,0x00005005,-65536,65536
2,0x00507000,0x0ddde997,49152,65536
2,0x00400d00,0x05050000,-16384,65536
2,0x70000300,0x0c0c3112,16384,65536
2,0x90000002,0x07008ee6,0,65536
2,0x00600004,0x0500399a,0,65536
2,0x1000a000,0x06660444,16384,65536
2,0x00002900,0x06864440,32768,65536
2,0x00003010,0xe33d0000,6144,65536
2,0x6b000000,0xccc00292,0,65536
2,0x700000d0,0x34470ddd,-8192,65536
2,0x2d000080,0x88800989,-8192,65536
2,0x6b000000,0xecc20595,8192,65536
