# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=9dbe71b53f4220dba336bc96c1c337ba8d095fb3fa7ef98e838acd4182f8c5e2
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=33554432
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=26
# unique_v=124
# threads=1
r,u,v,numerator,denominator
2,0xacdc435c,0x49cd8c5b,0,65536
2,0xe56f4afc,0x821c50a7,0,65536
2,0x48878ca8,0x1e79d920,-1024,65536
2,0xc0c98f16,0x20fc9ecc,-256,65536
2,0x8338f743,0x28890c16,0,65536
2,0x1029cefc,0x28890c16,0,65536
2,0x6aad176b,0x097cde0f,0,65536
2,0x1029cefc,0x49cd8c5b,0,65536
2,0xacdc435c,0xeb4eb8be,512,65536
2,0x8338f743,0x61448d09,0,65536
2,0xc0c98f16,0x088c6fc7,128,65536
2,0x48878ca8,0x021b8144,0,65536
2,0xffc57843,0xb9ef6078,-128,65536
2,0xffc57843,0xa8d17e74,0,65536
2,0x1029cefc,0x6b858c8b,0,65536
2,0x7dce5c25,0x20fc9ecc,0,65536
2,0x95302906,0xca267008,0,65536
2,0x48878ca8,0xa2183de1,0,65536
2,0x6aad176b,0xcdcb1d0c,0,65536
2,0xffc57843,0x3696e7ab,0,65536
2,0x48878ca8,0xb5b2a9f7,-768,65536
2,0xacdc435c,0x7baa1677,0,65536
2,0xc0c98f16,0xb6e19f13,128,65536
2,0xffc57843,0xc1f8dd0a,0,65536
2,0x48878ca8,0x6c9ded2f,0,65536
2,0xdaddc285,0x20fc9ecc,0,65536
2,0xacdc435c,0xa510eabc,0,65536
2,0xffc57843,0x28890c16,0,65536
2,0x5a1bdd6c,0x0da3c0b7,0,65536
2,0x1a2d0f13,0x420e6325,0,65536
2,0xacdc435c,0x7525ca8d,0,65536
2,0xacdc435c,0xa9e1a9db,0,65536
2,0x1029cefc,0x1e79d920,0,65536
2,0xffc57843,0x7b3a345a,0,65536
2,0xacdc435c,0x7012f9da,0,65536
2,0x95302906,0x49b7fe80,0,65536
2,0x8338f743,0x3295b423,0,65536
2,0xa3ec4538,0x6b858c8b,0,65536
2,0xffc57843,0x21850ae3,-256,65536
2,0x6aad176b,0x3295b423,0,65536
2,0x0f4f05f0,0x8dcbe1cd,0,65536
2,0xacdc435c,0xf5bf22ef,0,65536
2,0xacdc435c,0x045d7ba9,0,65536
2,0x3585554d,0x412baf4e,256,65536
2,0x3585554d,0xb34a811c,-128,65536
2,0x3585554d,0x418904bf,0,65536
2,0x15c67f6e,0x20fc9ecc,0,65536
2,0x7dce5c25,0x454dbc02,0,65536
2,0x5a1bdd6c,0x20fc9ecc,0,65536
2,0xa3ec4538,0x0da3c0b7,-384,65536
2,0x95302906,0x1e79d920,256,65536
2,0xa8613a0e,0xba573ee7,0,65536
2,0x1029cefc,0x916b5732,0,65536
2,0x3be0607c,0xb9493724,0,65536
2,0x3585554d,0x1db9114e,512,65536
2,0x48878ca8,0x045d7ba9,0,65536
2,0x1029cefc,0x088c6fc7,0,65536
2,0x98119d2d,0x07b30baf,0,65536
2,0x95302906,0x3295b423,0,65536
2,0x1029cefc,0x7f545a69,0,65536
2,0x48878ca8,0x9ae2279b,0,65536
2,0x98119d2d,0xba197a19,0,65536
2,0x6aad176b,0xba197a19,0,65536
2,0x8338f743,0x8dcbe1cd,0,65536
2,0xacdc435c,0xe83314ac,0,65536
2,0xc0c98f16,0x3295b423,768,65536
2,0xfa6bde57,0x20fc9ecc,0,65536
2,0x6aad176b,0x0da3c0b7,0,65536
2,0x48878ca8,0x708be0d7,0,65536
2,0x8338f743,0xe2bfd05b,0,65536
2,0xacdc435c,0x0da3c0b7,0,65536
2,0x48878ca8,0x01881c37,0,65536
2,0x8338f743,0xe32f4398,0,65536
2,0xa11ab6e0,0xcbdb1476,0,65536
2,0x1029cefc,0x90ffec11,0,65536
2,0xa11ab6e0,0x3295b423,0,65536
2,0x48878ca8,0xcd49ed47,0,65536
2,0x1029cefc,0x045d7ba9,0,65536
2,0x15c67f6e,0x21850ae3,0,65536
2,0xbed922d7,0x49cd8c5b,0,65536
2,0x1029cefc,0x8dcbe1cd,0,65536
2,0x95302906,0xd307013c,0,65536
2,0xc0c98f16,0xf1d3326a,0,65536
2,0xa3ec4538,0x20fc9ecc,0,65536
2,0x6aad176b,0xb6f5d457,0,65536
2,0x6aad176b,0x622625ba,0,65536
2,0x3585554d,0x819230fc,0,65536
2,0x8338f743,0x90ffec11,-512,65536
2,0x5a1bdd6c,0x097cde0f,0,65536
2,0x0f4f05f0,0x708be0d7,0,65536
2,0xffc57843,0x8836f88f,0,65536
2,0xfa6bde57,0x3295b423,128,65536
2,0xffc57843,0x0da3c0b7,-256,65536
2,0x48878ca8,0xb34a811c,0,65536
2,0x0f4f05f0,0x821c50a7,0,65536
2,0x0f4f05f0,0xe2bfd05b,0,65536
2,0x48878ca8,0xd307013c,0,65536
2,0xe56f4afc,0x7baa1677,0,65536
2,0x98119d2d,0x1e79d920,0,65536
2,0x8338f743,0x821c50a7,0,65536
2,0x0f4f05f0,0xa5ae06a2,0,65536
2,0xe56f4afc,0xe2bfd05b,768,65536
2,0x3be0607c,0x3295b423,0,65536
2,0xffc57843,0x3295b423,256,65536
2,0xe56f4afc,0x8dcbe1cd,0,65536
2,0x7dce5c25,0x420e6325,0,65536
2,0x8338f743,0x49cd8c5b,0,65536
2,0x6aad176b,0x90ffec11,0,65536
2,0x48878ca8,0x3696e7ab,0,65536
2,0x1029cefc,0x20fc9ecc,0,65536
2,0x8338f743,0x3e17353c,0,65536
2,0xc0c98f16,0x49cd8c5b,0,65536
2,0xc0c98f16,0xfc031850,0,65536
2,0xa8613a0e,0x3295b423,0,65536
2,0xe56f4afc,0xa91a3c46,0,65536
2,0xacdc435c,0x7f545a69,0,65536
2,0x6aad176b,0x20fc9ecc,0,65536
2,0xa11ab6e0,0x49cd8c5b,-1536,65536
2,0x12239f2a,0x20fc9ecc,-128,65536
2,0x7dce5c25,0x3e17353c,0,65536
2,0x48878ca8,0x28890c16,0,65536
2,0xacdc435c,0xe32f4398,0,65536
2,0x6aad176b,0xf0f2a717,0,65536
2,0x1029cefc,0xb6f5d457,0,65536
2,0xacdc435c,0xe2bfd05b,768,65536
2,0x98119d2d,0x9fb7a99b,0,65536
2,0x0f4f05f0,0x0da3c0b7,0,65536
2,0x1029cefc,0xa9e1a9db,0,65536
2,0xa8613a0e,0x63b4026d,0,65536
2,0x98119d2d,0xcb675883,0,65536
2,0x95302906,0x819230fc,0,65536
2,0x0f4f05f0,0x7d897026,0,65536
2,0x1029cefc,0xb9493724,0,65536
2,0x1a2d0f13,0x20fc9ecc,384,65536
2,0x8338f743,0x7f545a69,0,65536
2,0xacdc435c,0x2b7b4a14,0,65536
2,0xbed922d7,0x021b8144,0,65536
2,0x1029cefc,0x2f8876ce,0,65536
2,0xacdc435c,0xfc031850,0,65536
2,0x2facc849,0xe32f4398,0,65536
2,0xacdc435c,0x01881c37,0,65536
2,0x8338f743,0x412baf4e,0,65536
2,0xc0c98f16,0x916b5732,-128,65536
2,0x7dce5c25,0xa9e1a9db,0,65536
2,0x5a1bdd6c,0x49cd8c5b,0,65536
2,0x95302906,0xfcff2496,0,65536
2,0x1a2d0f13,0xb4069e1b,0,65536
2,0x6aad176b,0x045d7ba9,0,65536
2,0x1029cefc,0x7baa1677,0,65536
2,0xbe0d3c3e,0xc109e1fb,0,65536
2,0x48878ca8,0x46c55665,0,65536
2,0x0f4f05f0,0xc1790ad6,0,65536
2,0x1029cefc,0x097cde0f,0,65536
2,0x8338f743,0xa9e1a9db,0,65536
2,0x48878ca8,0xf1bd1d30,0,65536
2,0xbe0d3c3e,0x3295b423,0,65536
2,0x3be0607c,0x722daeaa,0,65536
2,0x2facc849,0x0da3c0b7,1536,65536
2,0x0f4f05f0,0x4ab79da7,0,65536
2,0x48878ca8,0x1db9114e,0,65536
2,0x1029cefc,0xcb675883,0,65536
2,0x48878ca8,0x648a60e8,0,65536
2,0x8338f743,0x420e6325,0,65536
2,0xffc57843,0x40057c1e,-128,65536
2,0x95302906,0xd97bfe65,0,65536
2,0x6aad176b,0x412baf4e,0,65536
2,0x6aad176b,0x46c55665,0,65536
2,0x6aad176b,0x6c9ded2f,0,65536
2,0xa3ec4538,0x6c9ded2f,0,65536
2,0x95302906,0xe75c9092,0,65536
2,0xffc57843,0xb569198e,0,65536
2,0x8338f743,0x7b3a345a,0,65536
2,0x1029cefc,0x648a60e8,0,65536
2,0x95302906,0xf5bf22ef,0,65536
2,0x95302906,0xb9493724,-512,65536
2,0xe56f4afc,0xdaa898b5,0,65536
2,0x1029cefc,0xcdcb1d0c,0,65536
2,0xffc57843,0xe2bfd05b,0,65536
2,0x8338f743,0x46c55665,0,65536
2,0x0f4f05f0,0x3696e7ab,0,65536
2,0x15c67f6e,0x3295b423,0,65536
2,0xfa6bde57,0x0da3c0b7,0,65536
2,0x98119d2d,0x46c55665,1024,65536
2,0x15c67f6e,0x40057c1e,0,65536
2,0x8338f743,0x4ab79da7,0,65536
2,0x0f4f05f0,0xa2183de1,512,65536
2,0x6aad176b,0x44d31be7,768,65536
2,0xe56f4afc,0x187f8b70,0,65536
2,0x98119d2d,0xb9ef6078,128,65536
2,0x95302906,0xb6e19f13,0,65536
2,0x48878ca8,0x8480c6b5,0,65536
2,0x12239f2a,0x3295b423,-384,65536
2,0x8338f743,0x37d68e59,0,65536
2,0xa8613a0e,0x49b7fe80,0,65536
2,0x6aad176b,0xa09df231,0,65536
2,0x95302906,0xc1790ad6,0,65536
2,0x48878ca8,0x49cd8c5b,0,65536
2,0x7dce5c25,0x49cd8c5b,0,65536
2,0x8338f743,0x1e79d920,0,65536
2,0x6aad176b,0x1c6c635e,0,65536
2,0xffc57843,0x9ae2279b,0,65536
2,0x48878ca8,0xab3ec3fa,0,65536
2,0xa3ec4538,0x90ffec11,-384,65536
2,0xacdc435c,0x0ca2a127,0,65536
2,0xa11ab6e0,0x2b7b4a14,0,65536
2,0x15c67f6e,0xa09df231,0,65536
2,0x8338f743,0x0da3c0b7,-256,65536
2,0xacdc435c,0x90ffec11,0,65536
2,0xa3ec4538,0x640d1cfe,0,65536
2,0x6aad176b,0xe2bfd05b,256,65536
2,0x1029cefc,0xa5ae06a2,0,65536
2,0xbed922d7,0x393ca223,0,65536
