# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=68dcd634166b573a5e96ac36676feb0987d99be2b7660648d2c58ef2e0f453ab
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=33554432
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=512
# unique_v=512
# threads=8
r,u,v,numerator,denominator
2,0x947ae254,0xe48cf7d8,0,65536
2,0x09a60854,0x03620e58,768,65536
2,0x21fffa2c,0x4ce06a3e,0,65536
2,0xdc3dd5df,0x076d01f9,256,65536
2,0x970ac70d,0x675f43d9,0,65536
2,0x4e7137cc,0xac62ea9f,0,65536
2,0x7636113f,0x9cf17d40,0,65536
2,0xbb6c7b68,0x981096fb,-768,65536
2,0xa0de3e85,0x3c34efeb,0,65536
2,0xf497e4ef,0x68e59fbd,0,65536
2,0x22ed737b,0x13490b33,-256,65536
2,0x8ff4918e,0xdd0cd220,0,65536
2,0x0709edeb,0x8812f6f6,512,65536
2,0x5f271aa8,0xd0bed14e,0,65536
2,0x7c9edb46,0x9deb948e,0,65536
2,0x47fc2a47,0x7414ac75,0,65536
2,0xfbe2532c,0x46fdaf60,0,65536
2,0x8a045204,0xff18db0e,0,65536
2,0xe50c38c7,0xb18cd4e2,0,65536
2,0xfc81194d,0x46c10039,0,65536
2,0x955c4261,0x0244f9e0,0,65536
2,0x8ff55cc2,0x6ef9ef2c,0,65536
2,0x5913d858,0xace32041,0,65536
2,0xf3d0813a,0x07d56bad,0,65536
2,0xd677667d,0x377c89e2,0,65536
2,0x8a94e95c,0x3e8582b7,0,65536
2,0x51707ac5,0x9feb2fea,-256,65536
2,0x65243de7,0xd4163ca8,0,65536
2,0xa8917756,0xc3fcc72e,0,65536
2,0x964982b5,0xe020ea14,0,65536
2,0x088eced4,0xc80694f8,0,65536
2,0x6db2d33f,0x797a3106,0,65536
2,0xa9d5241f,0x396e12f5,0,65536
2,0x5143f2f7,0x3beaed9e,-128,65536
2,0xf3156e2e,0x9a274b32,0,65536
2,0x0a428dd2,0x6847ecfa,0,65536
2,0x20f2271e,0x2b22cca8,0,65536
2,0x8448b205,0x9e284963,0,65536
2,0x939710f7,0x8b67b57c,0,65536
2,0x00dd6fe0,0x4ca5ca00,0,65536
2,0xada0b2aa,0x703526d3,-256,65536
2,0x3f6bc508,0xd03cb6c3,0,65536
2,0x642ef633,0x34791622,-384,65536
2,0x52601fc8,0x31bb046f,512,65536
2,0x6ca15a83,0x58a7f42b,0,65536
2,0xe679b984,0x55fe1dbe,0,65536
2,0x4cc8ce51,0x94ddec53,0,65536
2,0x871c5832,0xf8d95db7,0,65536
2,0xee3a656d,0x6478a841,256,65536
2,0xad823a4d,0x816708a4,0,65536
2,0x714f3fbb,0x95886218,-256,65536
2,0xabb7d933,0xa50b9e46,-768,65536
2,0xad30f816,0x405d8af6,0,65536
2,0x21459e3b,0x9353d9b9,0,65536
2,0xa05d91cf,0xe051cbdd,1536,65536
2,0x097b43d4,0x22cbd5ca,-512,65536
2,0xc032fcf8,0xd3804248,0,65536
2,0x18cde8b2,0xc08c628f,0,65536
2,0xf34b86d2,0x16d444d2,0,65536
2,0xa7355c18,0x2542ab3a,0,65536
2,0xdd565eef,0x017a3773,0,65536
2,0xd8e7e811,0xac68d04a,0,65536
2,0xa1441761,0xab3dd237,-1536,65536
2,0x455877e6,0x8ad88f9e,0,65536
2,0x1709df08,0xe7442f8d,0,65536
2,0xd62dd6dd,0xa4f29fa5,0,65536
2,0xba4be75c,0x1efa0e9a,0,65536
2,0xab4d6d9b,0x6f1b6e12,384,65536
2,0x009c4efe,0x4d9699a5,-256,65536
2,0x8b4cf349,0xdd11b2c8,0,65536
2,0x19591243,0x6f423654,0,65536
2,0xe42af927,0x73e18b3d,0,65536
2,0xcb71492b,0x628d30d1,0,65536
2,0xfd9a46c3,0x85fb1fd7,256,65536
2,0x31292a82,0xf678f416,0,65536
2,0x0d98f6c3,0x053259e6,0,65536
2,0x7f1c4b43,0x74abe333,0,65536
2,0x39936959,0xc45f7f9e,0,65536
