# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=36e21124d8a328e4ae76f3c70c17f74756ea14c6c88d17ded60e0fd0df4e29d7
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=524288
# v_parity_evaluations=1048576
# logical_query_updates=4194304
# unique_u=8
# unique_v=16
# threads=8
r,u,v,numerator,denominator
2,0x62d0b7a3,0xdbdfd503,0,65536
2,0x62d0b7a3,0x4907110b,0,65536
2,0x62d0b7a3,0x2bc37c91,0,65536
2,0x62d0b7a3,0x5960db17,0,65536
2,0x62d0b7a3,0x4dfb349b,0,65536
2,0x62d0b7a3,0x85f39760,256,65536
2,0x62d0b7a3,0xbd3040f9,0,65536
2,0x62d0b7a3,0xbe83413b,0,65536
2,0x62d0b7a3,0x5d4f5729,0,65536
2,0x62d0b7a3,0xed8ac9b7,0,65536
2,0x62d0b7a3,0x49ea83d8,0,65536
2,0x62d0b7a3,0xceddcaa6,0,65536
2,0x62d0b7a3,0xfb5428dc,0,65536
2,0x62d0b7a3,0x867cc39a,0,65536
2,0x62d0b7a3,0x6cb2a65d,0,65536
2,0x62d0b7a3,0xffd793dc,0,65536
2,0xd7a2c4b6,0xdbdfd503,-768,65536
2,0xd7a2c4b6,0x4907110b,0,65536
2,0xd7a2c4b6,0x2bc37c91,0,65536
2,0xd7a2c4b6,0x5960db17,0,65536
2,0xd7a2c4b6,0x4dfb349b,0,65536
2,0xd7a2c4b6,0x85f39760,-640,65536
2,0xd7a2c4b6,0xbe83413b,0,65536
2,0xd7a2c4b6,0xbd3040f9,0,65536
2,0xd7a2c4b6,0x5d4f5729,0,65536
2,0xd7a2c4b6,0xed8ac9b7,-1536,65536
2,0xd7a2c4b6,0x49ea83d8,0,65536
2,0xd7a2c4b6,0xfb5428dc,0,65536
2,0xd7a2c4b6,0xceddcaa6,0,65536
2,0xd7a2c4b6,0x867cc39a,0,65536
2,0xd7a2c4b6,0xffd793dc,0,65536
2,0x6da24467,0xdbdfd503,0,65536
2,0x6da24467,0x4907110b,0,65536
2,0x6da24467,0x2bc37c91,0,65536
2,0x6da24467,0x85f39760,0,65536
2,0x6da24467,0x5960db17,0,65536
2,0x6da24467,0x4dfb349b,0,65536
2,0x6da24467,0xbd3040f9,0,65536
2,0x6da24467,0xbe83413b,0,65536
2,0x6da24467,0x49ea83d8,0,65536
2,0x6da24467,0x6cb2a65d,0,65536
2,0x6da24467,0x5d4f5729,0,65536
2,0x6f5e1ac9,0x4907110b,-128,65536
2,0x6f5e1ac9,0xdbdfd503,0,65536
2,0x6f5e1ac9,0x2bc37c91,-640,65536
2,0x6f5e1ac9,0x85f39760,-256,65536
2,0x6f5e1ac9,0x4dfb349b,0,65536
2,0x6f5e1ac9,0x5960db17,-256,65536
2,0x6f5e1ac9,0xbe83413b,0,65536
2,0x6f5e1ac9,0xbd3040f9,0,65536
2,0xc4adcc7f,0x4907110b,0,65536
2,0xc4adcc7f,0xdbdfd503,512,65536
2,0xc4adcc7f,0x2bc37c91,0,65536
2,0xc4adcc7f,0x4dfb349b,0,65536
2,0xc4adcc7f,0xed8ac9b7,0,65536
2,0xe3a81698,0xdbdfd503,0,65536
2,0xe3a81698,0x4907110b,512,65536
2,0xe3a81698,0x85f39760,0,65536
2,0xe3a81698,0x2bc37c91,256,65536
2,0x0875a0ab,0x4907110b,0,65536
2,0x0875a0ab,0xdbdfd503,0,65536
2,0x0875a0ab,0x5960db17,0,65536
2,0xd9df59dc,0xdbdfd503,0,65536
2,0xd9df59dc,0x4907110b,0,65536
