# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=b16776e3e9eb89428f684537a71cefc3c108ccc14180ad1ae66b1b30fb0da0ef
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=524288
# v_parity_evaluations=4194304
# logical_query_updates=4194304
# unique_u=8
# unique_v=16
# threads=8
r,u,v,numerator,denominator
2,0x0875a0ab,0xdbdfd503,0,65536
2,0x6da24467,0x5960db17,0,65536
2,0x62d0b7a3,0xbe83413b,0,65536
2,0x6f5e1ac9,0x5960db17,-256,65536
2,0x6f5e1ac9,0xbe83413b,0,65536
2,0x62d0b7a3,0x4dfb349b,0,65536
2,0xd9df59dc,0x4907110b,0,65536
2,0x62d0b7a3,0x5960db17,0,65536
2,0x6da24467,0xdbdfd503,0,65536
2,0x6f5e1ac9,0xdbdfd503,0,65536
2,0x62d0b7a3,0xbd3040f9,0,65536
2,0xd7a2c4b6,0x5d4f5729,0,65536
2,0x6da24467,0x4907110b,0,65536
2,0x62d0b7a3,0x867cc39a,0,65536
2,0xd7a2c4b6,0x85f39760,-640,65536
2,0xd7a2c4b6,0xdbdfd503,-768,65536
2,0x62d0b7a3,0xceddcaa6,0,65536
2,0xd7a2c4b6,0x867cc39a,0,65536
2,0xd7a2c4b6,0xed8ac9b7,-1536,65536
2,0x0875a0ab,0x4907110b,0,65536
2,0xe3a81698,0x2bc37c91,256,65536
2,0xd7a2c4b6,0xbd3040f9,0,65536
2,0x6da24467,0x5d4f5729,0,65536
2,0x6f5e1ac9,0xbd3040f9,0,65536
2,0xc4adcc7f,0xed8ac9b7,0,65536
2,0xc4adcc7f,0xdbdfd503,512,65536
2,0x6da24467,0x6cb2a65d,0,65536
2,0x6da24467,0x49ea83d8,0,65536
2,0x62d0b7a3,0xfb5428dc,0,65536
2,0x6da24467,0x4dfb349b,0,65536
2,0xc4adcc7f,0x2bc37c91,0,65536
2,0x0875a0ab,0x5960db17,0,65536
2,0x62d0b7a3,0x6cb2a65d,0,65536
2,0xd7a2c4b6,0xceddcaa6,0,65536
2,0xd7a2c4b6,0xbe83413b,0,65536
2,0x6da24467,0x2bc37c91,0,65536
2,0xd7a2c4b6,0x49ea83d8,0,65536
2,0x62d0b7a3,0xdbdfd503,0,65536
2,0xd7a2c4b6,0x5960db17,0,65536
2,0x62d0b7a3,0x5d4f5729,0,65536
2,0x6da24467,0xbd3040f9,0,65536
2,0xe3a81698,0xdbdfd503,0,65536
2,0x6f5e1ac9,0x2bc37c91,-640,65536
2,0x62d0b7a3,0xffd793dc,0,65536
2,0x6f5e1ac9,0x4907110b,-128,65536
2,0xd7a2c4b6,0xffd793dc,0,65536
2,0x62d0b7a3,0x4907110b,0,65536
2,0xc4adcc7f,0x4dfb349b,0,65536
2,0x62d0b7a3,0xed8ac9b7,0,65536
2,0xd9df59dc,0xdbdfd503,0,65536
2,0xe3a81698,0x4907110b,512,65536
2,0xd7a2c4b6,0x2bc37c91,0,65536
2,0x6f5e1ac9,0x85f39760,-256,65536
2,0x62d0b7a3,0x2bc37c91,0,65536
2,0x62d0b7a3,0x85f39760,256,65536
2,0x6da24467,0xbe83413b,0,65536
2,0xd7a2c4b6,0x4907110b,0,65536
2,0x62d0b7a3,0x49ea83d8,0,65536
2,0xd7a2c4b6,0x4dfb349b,0,65536
2,0xc4adcc7f,0x4907110b,0,65536
2,0x6f5e1ac9,0x4dfb349b,0,65536
2,0x6da24467,0x85f39760,0,65536
2,0xe3a81698,0x85f39760,0,65536
2,0xd7a2c4b6,0xfb5428dc,0,65536
