# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=e7752bb8812b737de279c9a4a4baf32db0f20d84b26ff7889abf848819761577
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=33554432
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=57
# unique_v=443
# threads=1
r,u,v,numerator,denominator
3,0x00000002,0x10010355,0,65536
3,0x00000002,0x10010fee,16384,65536
3,0x00000002,0x200205ee,0,65536
3,0x00000002,0x20020755,8192,65536
3,0x00000002,0x300300aa,0,65536
3,0x00000002,0x400401aa,0,65536
3,0x00000002,0x400402dd,0,65536
3,0x00000002,0x40040bcc,0,65536
3,0x00000002,0x50050266,0,65536
3,0x00000002,0x50050c55,-4096,65536
3,0x00000002,0x50050f55,-4096,65536
3,0x00000002,0x80080a55,-4096,65536
3,0x00000002,0x90090eff,-4096,65536
3,0x00000002,0xa00a0255,-4096,65536
3,0x00000002,0xa00a0455,-4096,65536
3,0x00000002,0xb00b05ee,-16384,65536
3,0x00000002,0xb00b08aa,0,65536
3,0x00000002,0xc00c0299,-4096,65536
3,0x00000002,0xd00d03aa,0,65536
3,0x00000002,0xd00d0c77,0,65536
3,0x00000002,0xe00e04dd,4096,65536
3,0x00000002,0xe00e05cc,0,65536
3,0x00000002,0xe00e0d55,8192,65536
3,0x00000005,0x90090099,0,65536
3,0x00000007,0x90090099,0,65536
3,0x00000008,0x90090099,0,65536
3,0x00000009,0x90090099,0,65536
3,0x0000000a,0x100104ff,0,65536
3,0x0000000a,0x20020755,-16384,65536
3,0x0000000a,0x20020f11,0,65536
3,0x0000000a,0x300300aa,0,65536
3,0x0000000a,0x30030b11,-8192,65536
3,0x0000000a,0x30030d44,0,65536
3,0x0000000a,0x400406bb,0,65536
3,0x0000000a,0x60060acc,0,65536
3,0x0000000a,0x60060dcc,0,65536
3,0x0000000a,0x70070211,16384,65536
3,0x0000000a,0x800800cc,0,65536
3,0x0000000a,0x800805dd,0,65536
3,0x0000000a,0x90090aee,0,65536
3,0x0000000a,0x90090f11,-8192,65536
3,0x0000000a,0xa00a0433,-8192,65536
3,0x0000000a,0xa00a0a33,-8192,65536
3,0x0000000a,0xb00b07aa,0,65536
3,0x0000000a,0xb00b0b44,0,65536
3,0x0000000a,0xb00b0c77,16384,65536
3,0x0000000a,0xb00b0d33,-8192,65536
3,0x0000000a,0xb00b0d77,8192,65536
3,0x0000000a,0xd00d0edd,0,65536
3,0x0000000a,0xe00e07cc,0,65536
3,0x0000000b,0x90090099,0,65536
3,0x0000000c,0x20020811,0,65536
3,0x0000000c,0x30030233,0,65536
3,0x0000000c,0x40040377,0,65536
3,0x0000000c,0x50050144,0,65536
3,0x0000000c,0x500505cc,0,65536
3,0x0000000c,0x800800cc,0,65536
3,0x0000000c,0x90090455,8192,65536
3,0x0000000c,0xa00a0644,0,65536
3,0x0000000c,0xa00a0844,0,65536
3,0x0000000c,0xe00e0a99,8192,65536
3,0x0000000c,0xe00e0d44,0,65536
3,0x0000000f,0x90090099,0,65536
3,0x00000090,0x00060555,1536,65536
3,0x00000090,0x000ad33e,1152,65536
3,0x00000090,0x02040333,1536,65536
3,0x00000090,0x040f3221,1056,65536
3,0x00000090,0x060ac22e,-1280,65536
3,0x00000090,0x07030666,1536,65536
3,0x00000090,0x0b07c77b,1216,65536
3,0x00000090,0x0b07caa6,-1280,65536
3,0x00000090,0x0c079aa3,1216,65536
3,0x00000090,0x0d077ff8,-1120,65536
3,0x00000090,0x0f08ccc0,-1152,65536
3,0x000000a0,0x01040eee,1280,65536
3,0x000000a0,0x0401855d,-1152,65536
3,0x000000a0,0x050e0bbb,-1408,65536
3,0x000000a0,0x08050999,2048,65536
3,0x000000a0,0x0d040eee,-1280,65536
3,0x000000c0,0x000c0333,2048,65536
3,0x000000c0,0x05030ddd,1152,65536
3,0x000000c0,0x07094dd9,1664,65536
3,0x000000c0,0x070ee44a,1152,65536
3,0x000000c0,0x09043eed,-1152,65536
3,0x000000c0,0x0905e11f,-1152,65536
3,0x000000c0,0x0c01e11f,-1088,65536
3,0x000000c0,0x0c057116,-1472,65536
3,0x000000c0,0x0c05b55e,1216,65536
3,0x000000c0,0x0d09e55b,-1152,65536
3,0x000000c0,0x0f01e997,-1216,65536
3,0x000000c0,0x0f030ccc,2048,65536
3,0x00001000,0x01011554,-1536,65536
3,0x00001000,0x05055550,-1536,65536
3,0x00001000,0x0b0bbbb0,-3584,65536
3,0x00001000,0x0d0d9990,-2560,65536
3,0x00001000,0x0d0d9dd4,-2560,65536
3,0x00002000,0x01014eea,4096,65536
3,0x00002000,0x04041ddc,2048,65536
3,0x00002000,0x04049990,2048,65536
3,0x00002000,0x05054dd9,-2048,65536
3,0x00002000,0x0707499d,-2048,65536
3,0x00002000,0x09094773,-2048,65536
3,0x00002000,0x09094bbf,-2048,65536
3,0x00002000,0x0b0b4115,-2048,65536
3,0x00002000,0x0e0e5441,-4096,65536
3,0x00002000,0x0e0e7ff8,-2048,65536
3,0x00002000,0x0e0eedd3,4096,65536
3,0x00002020,0x02003003,3072,65536
3,0x00002020,0x0402eaa4,2688,65536
3,0x00002020,0x06024226,3072,65536
3,0x00002020,0x0a00c00c,4096,65536
3,0x00002020,0x0b005005,-3072,65536
3,0x00002020,0x0c001001,-2048,65536
3,0x00003000,0x01011554,-2560,65536
3,0x00003000,0x0909ddd0,-1536,65536
3,0x00003000,0x0b0bbbb0,-2560,65536
3,0x00003000,0x0d0d9dd4,-1536,65536
3,0x00004000,0x09099990,-2560,65536
3,0x00004000,0x0909ddd0,-2560,65536
3,0x00004000,0x0b0bbbb0,2560,65536
3,0x00004040,0x0500d00d,-3072,65536
3,0x00004040,0x0a008008,-6144,65536
3,0x00004040,0x0a00f00f,2048,65536
3,0x00004040,0x0c04844c,2048,65536
3,0x00004040,0x0e00b00b,-2048,65536
3,0x00004040,0x0f00e00e,-2048,65536
3,0x00005000,0x01011554,-2560,65536
3,0x00005000,0x05055550,-2560,65536
3,0x00005000,0x09099990,-5120,65536
3,0x00006000,0x02027225,2048,65536
3,0x00006000,0x0202877f,2560,65536
3,0x00006000,0x03034440,2048,65536
3,0x00006000,0x0303788f,-1536,65536
3,0x00006000,0x0303bbb0,-2048,65536
3,0x00006000,0x04046117,-2048,65536
3,0x00006000,0x0606bbb0,2048,65536
3,0x00006000,0x0606ecc2,-2048,65536
3,0x00006000,0x0707288a,2560,65536
3,0x00006000,0x0707ccc0,-3072,65536
3,0x00006000,0x08086ff9,1536,65536
3,0x00006000,0x08087aad,-2560,65536
3,0x00006000,0x08087ccb,3072,65536
3,0x00006000,0x0808acc6,3072,65536
3,0x00006000,0x0909399a,2048,65536
3,0x00006000,0x0909933a,2048,65536
3,0x00006000,0x09099990,-1536,65536
3,0x00006000,0x0a0a8ee6,-2048,65536
3,0x00006000,0x0a0ae886,-2048,65536
3,0x00006000,0x0b0b3bb8,-2048,65536
3,0x00006000,0x0c0c7770,1536,65536
3,0x00006000,0x0c0cf22d,-1536,65536
3,0x00006000,0x0d0d9dd4,-1536,65536
3,0x00006000,0x0d0ddee3,1536,65536
3,0x00006000,0x0f0f3ccf,1536,65536
3,0x00006060,0x01001001,4096,65536
3,0x00006060,0x0804c448,2048,65536
3,0x00006060,0x0c00e00e,4096,65536
3,0x00006060,0x0d00a00a,-2048,65536
3,0x00006060,0x0e00f00f,2048,65536
3,0x00006060,0x0f007007,-5120,65536
3,0x00007000,0x01015dd8,2048,65536
3,0x00007000,0x0606788f,-1536,65536
3,0x00007000,0x0808e668,2048,65536
3,0x00007000,0x09099118,1536,65536
3,0x00007000,0x09099990,-4096,65536
3,0x00007000,0x0b0bddd0,-1536,65536
3,0x00007000,0x0c0c7225,1536,65536
3,0x00007000,0x0c0cbee5,-1536,65536
3,0x00007000,0x0c0cf669,-1536,65536
3,0x00007000,0x0c0cfbb4,1536,65536
3,0x00007000,0x0d0d9dd4,-4096,65536
3,0x00007000,0x0f0f2aa8,3072,65536
3,0x00007000,0x0f0f8bb3,1536,65536
3,0x00007000,0x0f0fd994,1536,65536
3,0x00008000,0x01011554,-4096,65536
3,0x00008000,0x09099990,-2560,65536
3,0x00008000,0x0b0bbbb0,2560,65536
3,0x00008000,0x0d0d9dd4,-2560,65536
3,0x00009000,0x05055550,2560,65536
3,0x00009000,0x0b0bbbb0,-4096,65536
3,0x0000a000,0x0909ddd0,4608,65536
3,0x0000a000,0x0d0d9990,1536,65536
3,0x0000a000,0x0d0d9dd4,4608,65536
3,0x0000b000,0x01011554,1536,65536
3,0x0000b000,0x0b0bbbb0,3072,65536
3,0x0000b000,0x0d0d9990,4096,65536
3,0x0000c000,0x01011554,-5120,65536
3,0x0000c000,0x0101bcc7,-2048,65536
3,0x0000c000,0x0202299b,2048,65536
3,0x0000c000,0x0202b55e,2048,65536
3,0x0000c000,0x0303c995,2048,65536
3,0x0000c000,0x05053aa9,-2048,65536
3,0x0000c000,0x0606eaa4,-2048,65536
3,0x0000c000,0x09092aa8,2048,65536
3,0x0000c000,0x0909799e,-2048,65536
3,0x0000c000,0x0909ddd0,5120,65536
3,0x0000c000,0x0a0a922b,2048,65536
3,0x0000c000,0x0c0c2664,-2048,65536
3,0x0000c000,0x0c0c6bbd,2048,65536
