# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=08cb78dbada5d93b0b5bd65291670001e247d294093d92cfb6c5d876e2512149
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=33554432
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=8
# unique_v=167
# threads=8
r,u,v,numerator,denominator
3,0xade9b4e0,0x6ac1fd5d,0,65536
3,0x8f2ecae1,0x1a5ae8a3,96,65536
3,0x8f2ecae1,0x6799309d,96,65536
3,0x669e4dbf,0x9fbebafe,128,65536
3,0x01db7a2b,0xdf4e5f18,256,65536
3,0x669e4dbf,0x308c6d08,64,65536
3,0x8f2ecae1,0xa06025fe,-96,65536
3,0x32c0641d,0x8fa0d7a7,-192,65536
3,0xade9b4e0,0x4ad89964,256,65536
3,0xbabb33e3,0xdf4e5f18,128,65536
3,0xbabb33e3,0x1a5ae8a3,32,65536
3,0x8f2ecae1,0x20049c16,0,65536
3,0xade9b4e0,0x59a7785c,160,65536
3,0x669e4dbf,0x470e923f,0,65536
3,0xbabb33e3,0x6ac1fd5d,96,65536
3,0xbabb33e3,0x29b1b908,-320,65536
3,0x669e4dbf,0xa460ccff,480,65536
3,0xade9b4e0,0xc37dab8d,256,65536
3,0x8f2ecae1,0x315f89f9,-352,65536
3,0x7bd38d4d,0x287d163c,160,65536
3,0x8f2ecae1,0x7b8c2a7e,192,65536
3,0xade9b4e0,0x0a353f46,-32,65536
3,0x32c0641d,0x9bd4067b,-1024,65536
3,0xade9b4e0,0x8aaf26d1,-480,65536
3,0xade9b4e0,0x7da36075,0,65536
3,0xade9b4e0,0xea564a96,-128,65536
3,0xbabb33e3,0x93dbda7b,0,65536
3,0x669e4dbf,0x3f6731af,-352,65536
3,0xade9b4e0,0xf46138c2,-96,65536
3,0x8f2ecae1,0x2a22af15,64,65536
3,0xade9b4e0,0x01722e1e,-192,65536
3,0x25f0c584,0x1eb10f06,-192,65536
3,0xade9b4e0,0x2067b44f,96,65536
3,0x32c0641d,0x049c2005,32,65536
3,0xade9b4e0,0xdf4e5f18,128,65536
3,0x8f2ecae1,0xb00e3961,320,65536
3,0x32c0641d,0x56e1ff1f,-224,65536
3,0x8f2ecae1,0x682182b3,32,65536
3,0x669e4dbf,0x6799309d,384,65536
3,0x8f2ecae1,0xb2a32963,-416,65536
3,0xade9b4e0,0x315f89f9,128,65536
3,0x8f2ecae1,0xed0b3305,-256,65536
3,0xbabb33e3,0x9bd4067b,-160,65536
3,0xade9b4e0,0x2fd4d3c4,160,65536
3,0xade9b4e0,0x4003faa9,-128,65536
