# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=088fc082f0650439cfcfd02e18f7e6b77c45daad6f0cf6413b06603c0c5df66e
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=33554432
# v_parity_evaluations=33554432
# logical_query_updates=33554432
# unique_u=512
# unique_v=512
# threads=1
r,u,v,numerator,denominator
3,0x0697053e,0x748230ef,256,65536
3,0xb3f73d4d,0x02983d0f,-224,65536
3,0x51b0dd16,0x9aaf71c0,-32,65536
3,0x8b2bdd0e,0xb4fcd609,256,65536
3,0xbc43fd0f,0xc735931e,-320,65536
3,0xf6a85c48,0xb4e0edad,-192,65536
3,0xb341557d,0x3fd46880,-256,65536
3,0xbc32c44b,0xb1969b11,-64,65536
3,0xd41fca46,0x12110f03,-224,65536
3,0x7018dac1,0x033ab4ea,-160,65536
3,0x27c3ac95,0x7912d512,-576,65536
3,0xd7f51c06,0x467c9a87,-64,65536
3,0xa7466e30,0xdc673bf4,416,65536
3,0x5e82442f,0x88c15660,-64,65536
3,0xaf94efcb,0xdf10130d,160,65536
3,0xe4f4ec12,0x37616b78,-256,65536
3,0x5730293a,0x171b41bc,0,65536
3,0xd7295ed8,0xce904ac1,224,65536
3,0xfbd89edb,0x4eb4c3eb,-96,65536
3,0x7e183a0f,0xe83a39fc,96,65536
3,0xa4d34496,0x92c10fe4,64,65536
3,0x33d21621,0xab06be25,192,65536
3,0xd621706e,0xbb14f037,-128,65536
3,0xaee31909,0xf8249ab0,-32,65536
3,0x8e1ba8d6,0xc37c5e96,224,65536
3,0x61d9ece3,0x6da6c9a4,288,65536
3,0x9f7440a6,0xe75bd6d1,0,65536
3,0x516db8c7,0x887b228d,-192,65536
3,0x64de7c93,0x8c5c9248,64,65536
3,0xe9b4553a,0xe9d17c0a,-448,65536
3,0x160e39c5,0x59937351,-320,65536
3,0x4f8d6248,0x978fe25b,-64,65536
3,0x2a18fdae,0x2a38e171,128,65536
3,0xc8ff0af5,0xba5d696b,224,65536
3,0x6ce2e4a2,0xf1ec427e,-128,65536
3,0x45c11740,0x4142820e,-448,65536
3,0x936c4cf4,0xc6eda903,0,65536
3,0x209e261a,0x7778a0d5,64,65536
3,0xc1c2d85d,0x86d01ee5,-576,65536
3,0x2d0d74e1,0x8bac5747,-288,65536
3,0xa1a7ee15,0xa130e4b8,-64,65536
3,0x180e5086,0x70d519d7,-192,65536
3,0xfee357d7,0x199a1fbd,-256,65536
3,0x615456cf,0x88b3a84a,256,65536
3,0xc2f46d0a,0xf4d76305,-128,65536
3,0x41594910,0x80417d75,-128,65536
3,0xa3feddb5,0xe9350218,192,65536
3,0x2dec1482,0xe517a0cc,-128,65536
3,0xc924de0c,0x833ba892,0,65536
