row_id,r,u,v
130,3,0x0697053e,0x748230ef
212,3,0xb3f73d4d,0x02983d0f
454,3,0x51b0dd16,0x9aaf71c0
250,3,0x8b2bdd0e,0xb4fcd609
121,3,0xbc43fd0f,0xc735931e
373,3,0xf6a85c48,0xb4e0edad
60,3,0xb341557d,0x3fd46880
254,3,0xbc32c44b,0xb1969b11
372,3,0xd41fca46,0x12110f03
96,3,0x7018dac1,0x033ab4ea
191,3,0x27c3ac95,0x7912d512
153,3,0xd7f51c06,0x467c9a87
227,3,0xa7466e30,0xdc673bf4
241,3,0x5e82442f,0x88c15660
282,3,0xaf94efcb,0xdf10130d
187,3,0xe4f4ec12,0x37616b78
273,3,0x5730293a,0x171b41bc
354,3,0xd7295ed8,0xce904ac1
39,3,0xfbd89edb,0x4eb4c3eb
114,3,0x7e183a0f,0xe83a39fc
272,3,0xa4d34496,0x92c10fe4
16,3,0x33d21621,0xab06be25
131,3,0xd621706e,0xbb14f037
186,3,0xaee31909,0xf8249ab0
61,3,0x8e1ba8d6,0xc37c5e96
253,3,0x61d9ece3,0x6da6c9a4
217,3,0x9f7440a6,0xe75bd6d1
169,3,0x516db8c7,0x887b228d
202,3,0x64de7c93,0x8c5c9248
398,3,0xe9b4553a,0xe9d17c0a
218,3,0x160e39c5,0x59937351
122,3,0x4f8d6248,0x978fe25b
460,3,0x2a18fdae,0x2a38e171
401,3,0xc8ff0af5,0xba5d696b
475,3,0x6ce2e4a2,0xf1ec427e
91,3,0x45c11740,0x4142820e
201,3,0x936c4cf4,0xc6eda903
358,3,0x209e261a,0x7778a0d5
235,3,0xc1c2d85d,0x86d01ee5
402,3,0x2d0d74e1,0x8bac5747
370,3,0xa1a7ee15,0xa130e4b8
339,3,0x180e5086,0x70d519d7
193,3,0xfee357d7,0x199a1fbd
501,3,0x615456cf,0x88b3a84a
400,3,0xc2f46d0a,0xf4d76305
204,3,0x41594910,0x80417d75
488,3,0xa3feddb5,0xe9350218
