# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=c835df39da2c985ed7f9b8a1c74acdea365e1b805c95fe953e7d8318a4e3a375
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=1310720
# v_parity_evaluations=3866624
# logical_query_updates=4194304
# unique_u=20
# unique_v=59
# threads=1
r,u,v,numerator,denominator
3,0x00800000,0x0aaa050a,12288,65536
3,0x00d00000,0xfff0070f,-12288,65536
3,0xa0000000,0x9dd40d0d,-16384,65536
3,0x00007000,0x0f0fbcc7,1536,65536
3,0x00d00000,0x52270a02,0,65536
3,0x60000000,0xbcc70c0c,-16384,65536
3,0x60000000,0xcbb70b0b,-4096,65536
3,0x0000000b,0xd00d0622,-8192,65536
3,0x0000000f,0x500500bb,4096,65536
3,0x00000040,0x020d0fff,1280,65536
3,0x00c00000,0x09990e03,4096,65536
3,0x70000000,0xd9940d0d,-16384,65536
3,0x60000000,0x6cca0b0b,0,65536
3,0x0000000b,0xa00a0e55,0,65536
3,0xc0000000,0xa55f0202,-4096,65536
3,0x00002000,0x01014dd9,2048,65536
3,0x00070000,0x07eed00d,8192,65536
3,0x60000000,0xc33f0707,0,65536
3,0x00006000,0x0b0bbbb0,1536,65536
3,0x60000000,0x27750a0a,12288,65536
3,0x00070000,0x0dffa00a,-8192,65536
3,0x0000000f,0x70070422,0,65536
3,0x30000000,0x9dd40d0d,-16384,65536
3,0x00c00000,0x0333060a,0,65536
3,0x00070000,0x0dbb8008,-4096,65536
3,0x00007000,0x07076cca,-1536,65536
3,0xf0000000,0xd9940d0d,-16384,65536
3,0x00070000,0x0eaa4004,0,65536
3,0xc0000000,0x1ccd0606,4096,65536
3,0x00002000,0x05057ee9,2048,65536
3,0x0000000f,0xf00f0788,-8192,65536
3,0x000000d0,0x080a5227,-2240,65536
3,0x000000d0,0x0a090ddd,1152,65536
3,0x00002000,0x0e0e3eed,-4096,65536
3,0x0000000b,0x700705dd,-4096,65536
3,0x00070000,0x09ff9009,8192,65536
3,0x60000000,0x9dd40d0d,-16384,65536
3,0x0000000f,0x60060122,0,65536
3,0x00070000,0x0855d00d,4096,65536
3,0x0000000f,0x70070199,0,65536
3,0x0000000f,0x80080844,0,65536
3,0x0000000b,0xd00d0544,0,65536
3,0x0000a000,0x0b0bbbb0,1536,65536
3,0x0000000b,0xd00d0077,-4096,65536
3,0x0000000b,0x10010011,0,65536
3,0x00007000,0x0b0b3665,-1536,65536
3,0x0000000f,0x30030e44,0,65536
3,0x00c00000,0x8dd50e0b,-4096,65536
3,0x00050000,0x02446006,-4096,65536
3,0x0000000b,0x30030c22,4096,65536
3,0x00800000,0x1ffe090a,-8192,65536
3,0x00030000,0x02446006,-4096,65536
3,0x00007000,0x0b0ba882,1536,65536
3,0x00002000,0x0707b44f,2048,65536
3,0x00070000,0x04cc3003,0,65536
3,0x0000000f,0xd00d01cc,0,65536
3,0x60000000,0xc33f0303,12288,65536
3,0x60000000,0xc8840707,8192,65536
3,0x00c00000,0x699f080d,0,65536
3,0x0000000b,0x10010acc,0,65536
3,0x00070000,0x0133b00b,8192,65536
3,0x00000040,0x04084aae,1536,65536
3,0xc0000000,0xa2280909,0,65536
3,0xc0000000,0x31120c0c,-4096,65536
