# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=66548d1219a7542137c897fa8ab5423ecd48b2c17c395b73e246ed501c26047b
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=524288
# v_parity_evaluations=1376256
# logical_query_updates=4194304
# unique_u=8
# unique_v=21
# threads=1
r,u,v,numerator,denominator
3,0xbb4cff42,0xf186f907,128,65536
3,0xbb4cff42,0x2f69065b,-128,65536
3,0xbb4cff42,0xa7e14dc5,320,65536
3,0xbb4cff42,0xd1c5f9da,128,65536
3,0xbb4cff42,0xee190128,0,65536
3,0xbb4cff42,0x0d34165a,32,65536
3,0xbb4cff42,0xcce49880,-448,65536
3,0xbb4cff42,0xb91d82bf,-96,65536
3,0xbb4cff42,0xb13b407a,96,65536
3,0xbb4cff42,0x2c60bc94,32,65536
3,0xbb4cff42,0x96475953,480,65536
3,0xbb4cff42,0x04273a21,0,65536
3,0xbb4cff42,0xb4369c4b,128,65536
3,0xbd8664c6,0xf186f907,-256,65536
3,0xbd8664c6,0x2f69065b,-192,65536
3,0xbd8664c6,0xa7e14dc5,96,65536
3,0xbd8664c6,0x0d34165a,-160,65536
3,0xbd8664c6,0xee190128,96,65536
3,0xbd8664c6,0xd1c5f9da,-96,65536
3,0xbd8664c6,0x4e7c8387,0,65536
3,0xbd8664c6,0xb13b407a,256,65536
3,0xbd8664c6,0x672dc764,96,65536
3,0xbd8664c6,0xe0877f0d,352,65536
3,0xbd8664c6,0xe612bbde,-96,65536
3,0xbd8664c6,0xc781fda7,384,65536
3,0xaa8db6f6,0xf186f907,-192,65536
3,0xaa8db6f6,0x2f69065b,0,65536
3,0xaa8db6f6,0xa7e14dc5,-128,65536
3,0xaa8db6f6,0x91290ac2,128,65536
3,0xaa8db6f6,0xf4514d8b,32,65536
3,0xaa8db6f6,0xee190128,-64,65536
3,0xaa8db6f6,0xb91d82bf,-192,65536
3,0xaa8db6f6,0x0d34165a,-224,65536
3,0xaa8db6f6,0xcce49880,0,65536
3,0xaa8db6f6,0xd1c5f9da,-448,65536
3,0xaa8db6f6,0x3196f576,320,65536
3,0xf7db9484,0xf186f907,-160,65536
3,0xf7db9484,0x2f69065b,-96,65536
3,0xf7db9484,0xa7e14dc5,-64,65536
3,0xf7db9484,0xc781fda7,-32,65536
3,0xf7db9484,0xd1c5f9da,0,65536
3,0xf7db9484,0xcce49880,64,65536
3,0xf7db9484,0xe612bbde,576,65536
3,0xf7db9484,0x3196f576,128,65536
3,0xf7db9484,0x2c60bc94,-192,65536
3,0xd223846b,0xf186f907,0,65536
3,0xd223846b,0x2f69065b,96,65536
3,0xd223846b,0xee190128,-384,65536
3,0xd223846b,0xf4514d8b,96,65536
3,0xd223846b,0xb13b407a,-192,65536
3,0xd223846b,0xb4369c4b,-96,65536
3,0xd223846b,0xa7e14dc5,-32,65536
3,0xd223846b,0x91290ac2,-64,65536
3,0x73625037,0xf186f907,0,65536
3,0x73625037,0x4e7c8387,-32,65536
3,0x73625037,0xe0877f0d,64,65536
3,0x73625037,0x2f69065b,256,65536
3,0x73625037,0xb91d82bf,352,65536
3,0x57ceb051,0xf186f907,224,65536
3,0x57ceb051,0x04273a21,-32,65536
3,0x57ceb051,0x96475953,224,65536
3,0x57ceb051,0x0d34165a,-192,65536
3,0xb3876f2f,0x672dc764,96,65536
3,0xb3876f2f,0xf186f907,64,65536
