row_id,r,u,v
1,3,0x7bfd998d,0xedf41cb8
2,3,0xbbc32a1b,0x8fac1555
3,3,0xf11946e5,0x092268f5
4,3,0xeebac567,0xe4aaec9a
5,3,0x7587feea,0x1402a7af
6,3,0x9e600c5d,0x54a7091b
7,3,0xfcb4ce48,0xd2a241e7
8,3,0x75248386,0x42bd07cd
9,3,0x4fafb41f,0xde121a7c
10,3,0x628eafc5,0xa81503ed
11,3,0xd06065d7,0x89f96540
12,3,0xbbd73327,0x07494fdb
13,3,0x41f87375,0x69d7edc6
14,3,0xddbbf51e,0xa94826c4
15,3,0x36cc5551,0x06f89902
16,3,0x33d21621,0xab06be25
17,3,0xfeb9da86,0x390e147e
18,3,0xc86a5d28,0xf2435e87
19,3,0x2946b1b0,0x917d510b
20,3,0x4b4ee094,0xe44962fd
21,3,0x0e3c6fec,0xabc0ab53
22,3,0xe3d3f962,0x359eded9
23,3,0x146be2b3,0xc2f53f7a
24,3,0x0dee62c8,0xea42f314
25,3,0x2a3a7273,0x8fa16817
26,3,0xb1c7396f,0x7ece1367
27,3,0xa4480ac7,0xf1ac5dba
28,3,0xc4a57b60,0xe89da71f
29,3,0x2f5ae2bc,0xcfa0b1fc
30,3,0x9d0aaef0,0x4da7e5bb
31,3,0xf566e4a6,0xf4a8e831
32,3,0x892f8760,0x92f6c722
33,3,0x741986b4,0xa1513e86
34,3,0x956bba88,0xac114b24
35,3,0xb01d4594,0xd6e74ee4
36,3,0x99feb6ba,0x0d0c46a4
37,3,0xc2bb2953,0x5cd7c4d5
38,3,0x715fb429,0xb7f53d09
39,3,0xfbd89edb,0x4eb4c3eb
40,3,0x27da4ced,0x2d0b81c3
41,3,0x0a555f33,0x0c94fe0d
42,3,0x4c239fa5,0x22fbf2c1
43,3,0x96d13328,0xb0f950e2
44,3,0x9d082c80,0xd536da42
45,3,0x7cb4d311,0x0b6c9483
46,3,0xe8f36571,0x5130186a
47,3,0xd90e1d86,0x107bc536
48,3,0x32425aae,0x06d7e839
49,3,0xbc3fbaa7,0x13b80170
50,3,0x00ccf395,0x16e757bd
51,3,0x29254a02,0xa83754fe
52,3,0x8740c2dc,0xccd1d414
53,3,0x2e7ed6f3,0xdf6c8e87
54,3,0x3cb00991,0x2cc80344
55,3,0x67315aee,0x457e2231
56,3,0x6363bb84,0x02ad1674
57,3,0x74c733cf,0x98a26266
58,3,0x00e62a77,0x5bbce573
59,3,0x36d5a9b3,0x001a0a36
60,3,0xb341557d,0x3fd46880
61,3,0x8e1ba8d6,0xc37c5e96
62,3,0xd532879b,0x8bc71eec
63,3,0x1cb6a20a,0xe1abef00
64,3,0xab185f69,0xe321df25
65,3,0xdb3bb9c2,0xcf0eb1b9
66,3,0x874f5b7e,0x77dd9d34
67,3,0x0f8ce750,0x5b03879c
68,3,0xd05542e3,0x0ea6ba03
69,3,0xb83a5c51,0xd7152a28
70,3,0x7a2dcf78,0x2fb63899
71,3,0x9b29c475,0xd03d988b
