# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=a7e29d0460a487ae32ccd869c32cf33c09a63fb3f917c2927599c92264f6676c
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=27963392
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=6827
# unique_v=6827
# threads=8
r,u,v,numerator,denominator
1,0xf01a8cca,0x6bafb001,0,4096
1,0xf01a8cca,0x13b850b9,-64,4096
1,0xf01a8cca,0x16cb2477,0,4096
1,0xf01a8cca,0xcafd7150,0,4096
1,0x10978b46,0x621c5d24,0,4096
1,0x10978b46,0xb653e8bc,0,4096
1,0x10978b46,0xb01c5d54,0,4096
1,0x10978b46,0xa71a2a4f,0,4096
1,0x170cfb26,0x5e2608b2,0,4096
1,0x170cfb26,0xcf81d532,0,4096
1,0x170cfb26,0x2c7c589d,256,4096
1,0x170cfb26,0xbe6fa8ec,0,4096
1,0xffd48a92,0x81e9c263,0,4096
1,0xffd48a92,0xaa9666ea,0,4096
1,0xffd48a92,0x63b724d0,0,4096
1,0xffd48a92,0x41c11447,0,4096
1,0xf4961739,0xde611b61,0,4096
1,0xf4961739,0xb28447f8,0,4096
1,0xf4961739,0xb4400774,0,4096
1,0xf4961739,0x137a114f,0,4096
1,0x9c5b1947,0x69c622d3,0,4096
1,0x9c5b1947,0x1610f8d9,0,4096
1,0x9c5b1947,0xdce498a4,128,4096
1,0x9c5b1947,0xcbfcd10f,256,4096
1,0xfc486129,0x5e7ef1b9,0,4096
1,0xfc486129,0xeb35bf91,0,4096
1,0xfc486129,0xa59355de,0,4096
1,0xfc486129,0x3e9a09f5,0,4096
1,0x30a1d51f,0xfba553b4,-64,4096
1,0x30a1d51f,0x5e4f9a73,0,4096
1,0x30a1d51f,0xa5030b83,0,4096
1,0x30a1d51f,0xa3468ac4,0,4096
1,0x477532b8,0x1c9858a9,-128,4096
1,0x477532b8,0xaa7ba39f,0,4096
1,0x477532b8,0xe9514b42,-256,4096
1,0x477532b8,0x4f86a24c,0,4096
1,0xaada23f0,0x6c015ddf,0,4096
1,0xaada23f0,0x2f2e75ed,0,4096
1,0xaada23f0,0x41b4de3b,0,4096
1,0xaada23f0,0xe5ef21ac,0,4096
1,0xdc4ac3e8,0xc7013512,0,4096
1,0xdc4ac3e8,0x8479b2a6,0,4096
1,0xdc4ac3e8,0xe2498ad6,0,4096
1,0xdc4ac3e8,0x944b7498,0,4096
1,0x9b329174,0x39ba0394,0,4096
1,0x9b329174,0xbad215d3,0,4096
1,0x9b329174,0x6cb00c81,0,4096
1,0x9b329174,0xa04f07ba,0,4096
1,0x04b74146,0x55ed82f9,0,4096
1,0x04b74146,0x10190cc2,0,4096
1,0x04b74146,0xc8601836,0,4096
1,0x04b74146,0x40470b66,0,4096
1,0x5992f77b,0xf0ae086c,64,4096
1,0x5992f77b,0x351713e1,-64,4096
1,0x5992f77b,0xe031026a,0,4096
1,0x5992f77b,0x7c6e87a0,-64,4096
1,0x5aa83eb6,0x114873b0,0,4096
1,0x5aa83eb6,0x5122cfc6,0,4096
1,0x5aa83eb6,0x4f5cc89c,0,4096
1,0x5aa83eb6,0xf9f485ef,0,4096
1,0xacb0d07a,0x6066dfba,0,4096
1,0xacb0d07a,0x36817d9a,0,4096
1,0xacb0d07a,0x6b295c81,0,4096
1,0xacb0d07a,0x1a7919e4,0,4096
1,0x883f3f1c,0x33bc991b,0,4096
1,0x883f3f1c,0x022196ce,0,4096
1,0x883f3f1c,0xe712cc86,0,4096
1,0x883f3f1c,0x85d1c566,0,4096
1,0xc8955b1f,0xcf691e38,0,4096
1,0xc8955b1f,0xd5dc2dac,0,4096
1,0xc8955b1f,0x4719898c,0,4096
1,0xc8955b1f,0xd52ae423,0,4096
1,0x9f2f522f,0xd80f2f36,0,4096
1,0x9f2f522f,0x08660a2b,0,4096
1,0x9f2f522f,0x361f6df4,-256,4096
1,0x9f2f522f,0xeaa1026d,0,4096
1,0xa9c385e4,0x4fdae7f9,0,4096
1,0xa9c385e4,0x053e3376,0,4096
1,0xa9c385e4,0x176c5ead,0,4096
1,0xa9c385e4,0xc0287417,0,4096
1,0x0290fe35,0xa5926967,0,4096
1,0x0290fe35,0x717fefac,0,4096
1,0x0290fe35,0x2bcaceca,0,4096
1,0x0290fe35,0x1bfbfecb,0,4096
1,0x93c02111,0xa8997cbe,-64,4096
1,0x93c02111,0x40072e8b,0,4096
1,0x93c02111,0x9cba8216,0,4096
1,0x93c02111,0x005dc545,0,4096
1,0xdd5fcbe2,0x30ed38ae,0,4096
1,0xdd5fcbe2,0x5f583a5b,0,4096
1,0xdd5fcbe2,0x61131395,0,4096
1,0xdd5fcbe2,0x01f961ae,0,4096
1,0x5527c42c,0xeede644a,0,4096
1,0x5527c42c,0xb150238d,0,4096
1,0x5527c42c,0x60d3d67b,0,4096
1,0x5527c42c,0x0acb000d,0,4096
1,0x5431875e,0x803f28b0,0,4096
1,0x5431875e,0xe5804bb3,0,4096
1,0x5431875e,0x859081d0,0,4096
1,0x5431875e,0x463536dd,0,4096
1,0x7b7c3cc2,0x9fc4b2e5,0,4096
1,0x7b7c3cc2,0x010ad6e0,0,4096
1,0x7b7c3cc2,0x4022624e,0,4096
1,0x7b7c3cc2,0x5bbdc98f,-128,4096
1,0x53d866be,0x69569e5a,0,4096
1,0x53d866be,0x1fb78075,128,4096
1,0x53d866be,0xc441320d,0,4096
1,0x53d866be,0x169d08c8,0,4096
1,0xdd63182d,0x7bf1ea3b,0,4096
1,0xdd63182d,0x71db008f,0,4096
1,0xdd63182d,0x2734030a,0,4096
1,0xdd63182d,0x4475389a,0,4096
1,0x3dbdd58b,0x40238779,0,4096
1,0x3dbdd58b,0xbae516f4,0,4096
1,0x3dbdd58b,0x0a50bd47,0,4096
1,0x3dbdd58b,0xb7d691a4,-64,4096
1,0x60ea620a,0x3dcf444d,0,4096
1,0x60ea620a,0x8373120a,0,4096
1,0x60ea620a,0xdcd32197,0,4096
1,0x60ea620a,0xbe5c4649,0,4096
1,0xb103944f,0xffcf6eb4,0,4096
1,0xb103944f,0x96b3f8d7,0,4096
1,0xb103944f,0xcfa55e35,0,4096
1,0xb103944f,0x2915767d,0,4096
1,0x14696393,0xcc13b958,128,4096
1,0x14696393,0xa6784f35,0,4096
1,0x14696393,0xbf3c5984,0,4096
1,0x14696393,0x85b46db8,0,4096
1,0x416dc83f,0xe9b69000,64,4096
1,0x416dc83f,0x8f09cd9d,0,4096
1,0x416dc83f,0x2001fc7f,0,4096
1,0x416dc83f,0x64b123b7,64,4096
1,0x35fd97ff,0x6eda6519,64,4096
1,0x35fd97ff,0x267a1bf9,0,4096
1,0x35fd97ff,0x9a1b944f,0,4096
1,0x35fd97ff,0x26a77172,64,4096
1,0x01d8aaa9,0x362ca485,0,4096
1,0x01d8aaa9,0xc95b731c,0,4096
1,0x01d8aaa9,0x0e3708b4,0,4096
1,0x01d8aaa9,0x4a157814,0,4096
1,0x2688b4ff,0xfba0da6e,-256,4096
1,0x2688b4ff,0xc8b02c81,0,4096
1,0x2688b4ff,0x8e5aa7c5,0,4096
1,0x2688b4ff,0x0097e505,0,4096
1,0x7548b22b,0x7b52ca53,0,4096
1,0x7548b22b,0xb82fb86b,0,4096
1,0x7548b22b,0x0d3a7b06,0,4096
1,0x7548b22b,0x333a1e47,0,4096
1,0xf996a8e4,0x84d8b496,0,4096
1,0xf996a8e4,0x3ac0551d,0,4096
1,0xf996a8e4,0x0d556544,0,4096
1,0xf996a8e4,0x663cd407,0,4096
1,0x03db01e9,0xa61f8da2,0,4096
1,0x03db01e9,0x77d7b487,128,4096
1,0x03db01e9,0xb6891491,-128,4096
1,0x03db01e9,0xd9cbd4ce,0,4096
1,0xf1873020,0x7cc8fc22,0,4096
1,0xf1873020,0x0275e243,0,4096
1,0xf1873020,0x7d93d432,0,4096
1,0xf1873020,0x78b578a6,0,4096
1,0x0f111b8a,0x6aceae88,0,4096
1,0x0f111b8a,0x8e2cd32f,0,4096
1,0x0f111b8a,0x0b07e95e,0,4096
1,0x0f111b8a,0xce5e950e,0,4096
1,0xe0608d40,0xe2437ee6,0,4096
1,0xe0608d40,0xd7cefa2c,0,4096
1,0xe0608d40,0x38651648,0,4096
1,0xe0608d40,0xcad674bf,0,4096
1,0x1c46de00,0x92a927cc,0,4096
1,0x1c46de00,0x29cd1e71,0,4096
1,0x1c46de00,0x528026e2,0,4096
1,0x1c46de00,0x038514d3,0,4096
1,0x0c289f9d,0x065bcf7b,0,4096
1,0x0c289f9d,0x343d1272,0,4096
1,0x0c289f9d,0xc2758ca0,128,4096
1,0x0c289f9d,0xd147767d,0,4096
1,0x4cd6dae6,0x0ad25ac3,0,4096
1,0x4cd6dae6,0xddeed315,0,4096
