# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=42e85eafe96431c3b52061f35123c023fae16d1061c72e3e8e6707300ef91c7b
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=16384
# unique_v=16384
# threads=8
r,u,v,numerator,denominator
1,0x954aefc5,0x8d44b441,0,4096
1,0x978b807d,0x6e0c0df7,0,4096
1,0x27e01878,0x37290e3f,0,4096
1,0x57acda22,0x2b15e275,0,4096
1,0xdd954d04,0x6221eb66,0,4096
1,0xd0525920,0x34414133,0,4096
1,0x82c1d4d8,0x9b04d1b0,0,4096
1,0xab5e5bd3,0x0642412d,0,4096
1,0x92e6a4e7,0x120092fb,0,4096
1,0xa73d9b9b,0x77a37002,0,4096
1,0x959e7067,0xdb8a643e,0,4096
1,0x13c6bf6f,0x92cc1f10,0,4096
1,0x55b747c7,0x170dbf86,0,4096
1,0x920aead6,0x953948c6,0,4096
1,0xf59cacb3,0x871316bc,0,4096
1,0x12474dc0,0x0965045d,0,4096
1,0xa7f3c9b5,0xd1f6b2bc,0,4096
1,0x6ae68593,0xe16b837c,64,4096
1,0x75bba38d,0x78fcba9a,0,4096
1,0x7239c852,0xf9732726,0,4096
1,0x8a0cffe6,0x35666347,128,4096
1,0xa69e751b,0xa64f604b,0,4096
1,0x5b23b516,0xc82e8b3e,0,4096
1,0x18d9e370,0x4a7ee44c,0,4096
1,0x60f2af07,0x5d568cb9,0,4096
1,0xc7ed2295,0x46736c8d,0,4096
1,0x5d473905,0x3ac2a1d4,0,4096
1,0x67ce58f2,0xc654ac87,0,4096
1,0xafeb9c89,0xf6886274,0,4096
1,0x72541e8f,0xaea697c1,0,4096
1,0xfedad34d,0x12afcdce,0,4096
1,0x6d0c1434,0x20fc592e,-256,4096
1,0xaac588a7,0x99acc48e,0,4096
1,0x3e7ec5d4,0x00281182,0,4096
1,0x00943745,0x5a393608,0,4096
1,0xaf4945b4,0x34de1990,0,4096
1,0x6675e5d0,0xa5824b9a,0,4096
1,0x0b7114d7,0xeedd69d5,0,4096
1,0xb2c4e7ac,0x4e6c9f5f,-128,4096
1,0xf75f0493,0x37787646,0,4096
1,0x90c9fc39,0x95ac6139,0,4096
1,0x9bd9fcb9,0xc6bfba41,128,4096
1,0x9558aeba,0x18aba666,0,4096
1,0x9e15cb84,0x09c6114c,0,4096
1,0x868d9fdf,0xe25a305e,256,4096
1,0x6edb0a9d,0xd10e623a,0,4096
1,0x9bcfddc8,0x8ff35424,0,4096
1,0xf87ffb6a,0x4ed47eca,0,4096
1,0x2f6bd9d3,0xcaaa38eb,128,4096
1,0x2d7069d1,0x5caa9ea9,64,4096
1,0xb089676b,0xfa10bd96,0,4096
1,0xb7bb26fb,0x546ae067,0,4096
1,0xb16af49a,0xe5966805,0,4096
1,0x0f377df3,0xddbd06b1,64,4096
1,0x0076ac95,0xb9eae0d4,0,4096
1,0x3ff3df75,0xd1cf4803,0,4096
1,0xa59bb1c1,0x46b9bc61,0,4096
1,0x9b2f6b95,0x6d810739,0,4096
1,0xbd766917,0xf61bb191,0,4096
1,0x168b2307,0x2aa373dd,0,4096
1,0xa9d77da9,0x28621e66,64,4096
1,0xfb5c5a9e,0xdb6b92da,0,4096
1,0x05647b37,0x9385d70d,0,4096
1,0x2bb854e4,0x04cde27a,0,4096
1,0x846caf45,0x95f89d18,0,4096
1,0x81c557b0,0xffab215f,0,4096
1,0xdb52f121,0x8cc27f9a,0,4096
1,0x8c8e1d5d,0x9d40f4ac,0,4096
1,0x19159c7c,0x06629d2a,0,4096
1,0xf38255e4,0xde43759e,0,4096
1,0x0c7a254b,0x2299768e,0,4096
1,0x816f290b,0x0e7198cf,0,4096
1,0xd88b3e35,0xedd6e9ee,64,4096
1,0x711cfca1,0x9f815996,0,4096
1,0x4c388c07,0x0ed142c2,0,4096
1,0x735aaadf,0x9a176d56,0,4096
1,0x933686a2,0x5050c4a4,0,4096
1,0x8c8dc30a,0x444741da,0,4096
1,0xee90c8b8,0xe1d42746,0,4096
1,0x4c9541bc,0xbba47a66,64,4096
1,0xbb6a2c2a,0xd4a051d5,0,4096
1,0x0bdf75e6,0xc9680f47,0,4096
1,0xafd300ea,0x3a2ac7f8,0,4096
1,0x7a06fcb6,0xb969ede3,-256,4096
1,0x99785a6b,0xf58c611a,0,4096
1,0x54846500,0x3e91052d,0,4096
1,0x926c9ca0,0xe4ae89f6,0,4096
1,0x2e2ced74,0x3ba8f192,0,4096
1,0x23cbfab2,0x2e2da716,0,4096
1,0x66392d69,0x80a0625b,0,4096
1,0x7a42cafe,0xdbfe9a6b,0,4096
1,0x18ce271f,0x4ec13deb,0,4096
1,0x92f84674,0xf65cff41,0,4096
1,0x48bfd092,0xa1df88d7,0,4096
1,0x297fd858,0xb9dffc20,64,4096
1,0xd3a45e60,0x88684011,0,4096
1,0x419114b5,0x12d4de11,0,4096
1,0x02c28ef8,0xce4ac36b,0,4096
1,0x55ccd603,0x2cb57ddb,0,4096
1,0x35e02d0a,0x9291a56f,0,4096
1,0xd54f7e71,0xf6f62c3e,0,4096
1,0x0f474dcd,0xeb0572e6,0,4096
1,0xdb160150,0x9aa8bf44,0,4096
1,0x2ea7bfbd,0x19f896b4,0,4096
1,0xfbcb11f4,0xac915329,-128,4096
1,0xada5beb8,0x43d2c87d,128,4096
1,0x469bf34e,0x9277700e,0,4096
1,0x8285bfec,0x580736e3,0,4096
1,0xc3ae0c24,0xf6d25985,0,4096
1,0x28f1b694,0x6eeeaa41,0,4096
1,0xf27c3c97,0x1dd42954,64,4096
1,0x07d3cd0f,0xd0c57e54,0,4096
1,0x5e3f0cf7,0x0e2403a6,0,4096
1,0x43df7da0,0xea40fb98,0,4096
1,0x2ff22421,0xb745cd91,0,4096
1,0xc5056760,0x838611ab,0,4096
1,0x2d57972c,0xd38e1229,0,4096
1,0x1acff5b4,0x374772fa,0,4096
1,0xf207d64b,0x7edf514e,0,4096
1,0xbb61aea3,0x140aa0c2,0,4096
1,0x20d1ccbf,0xa5b4c398,128,4096
1,0x5b8f0768,0x9aa8bafc,0,4096
1,0xdf181cb2,0x982b3360,0,4096
1,0xef35c408,0xaddf767e,0,4096
1,0x57ec0741,0x69554673,0,4096
1,0x8338112a,0x91750274,0,4096
1,0xdca65759,0x80007cb6,0,4096
1,0x95639782,0x7eaf922f,0,4096
1,0xef6294d4,0x84fda345,0,4096
1,0xa0b192bc,0x5c42aede,0,4096
1,0x35150656,0x60557696,0,4096
1,0xd9f566d0,0x7c976aac,0,4096
1,0x35d0f63d,0x131ab805,0,4096
1,0xa90715d9,0x968d7c5b,0,4096
1,0xe6e1ec36,0xbf1a1144,128,4096
1,0xb5b86776,0xd7af9520,0,4096
1,0xb05ceef6,0xc4067275,0,4096
1,0x6290df2d,0x3218d04e,0,4096
1,0xc89d2061,0x69ebbcdd,0,4096
1,0x7ea7a801,0x78f7405b,0,4096
1,0xfddc1352,0x1f7fe39d,0,4096
1,0xf57fbf07,0xcf46ec77,0,4096
1,0xc4e070c7,0xa24eae0a,0,4096
1,0x8c86cf7e,0x9a324f4e,64,4096
1,0x2cd0a11b,0x4ff5fbe5,0,4096
1,0x629b8b01,0x8a285242,0,4096
1,0x7c9e178a,0x6644df5e,0,4096
1,0x64a1889e,0x12e49bc1,0,4096
1,0x9cdbb5f7,0xcd7a39c6,0,4096
1,0xe72ca6d9,0xfea72ea6,-128,4096
1,0x50634326,0x456248bf,0,4096
1,0xa22f52ef,0xd93d9a13,0,4096
1,0x20ebc326,0x017af784,0,4096
1,0x5de18de9,0x27119b37,0,4096
1,0xbacbd878,0xbb77cdbf,0,4096
1,0x0af9d348,0xcd70ccd2,0,4096
1,0x315e12a1,0x20717a15,0,4096
1,0x4dce2165,0x3eefef1d,0,4096
1,0xe160a0d8,0xdd2d7f73,0,4096
1,0x4b40606c,0x2cb0d320,0,4096
1,0xc1cca470,0x40bed1ea,0,4096
1,0x2043b33f,0x6fc97174,0,4096
1,0x0a54c759,0x17a0ad79,0,4096
1,0x4e97af51,0x443bfc6c,0,4096
1,0x4af5155d,0x7929fa42,64,4096
1,0xdfd32e8a,0xa4a58fe2,0,4096
1,0xffb13123,0xad7a6d3f,0,4096
1,0xfee8bc89,0xef79395e,0,4096
1,0x3f93d149,0xd5350c4e,0,4096
1,0xa81ab669,0xf52f4389,0,4096
1,0x258361fb,0x5b9f4476,0,4096
1,0xec8ffe59,0x0008115d,0,4096
1,0xe3d4209f,0x922b3db4,0,4096
1,0xe63fe301,0x6d853693,0,4096
1,0xcbd26ee1,0x1dcfccfa,0,4096
1,0xbd01af61,0x83da087a,0,4096
1,0x3721ec39,0x44667909,0,4096
1,0x14b3d4f2,0xc9b49636,0,4096
1,0x8531e1ce,0x05df9cde,0,4096
1,0x5eda1931,0x2a113eac,0,4096
1,0x2e58fae5,0xdf04d1c7,0,4096
1,0x0a33926d,0xf22541cd,0,4096
1,0x5db09f20,0xe551cf2f,0,4096
1,0x6e5bdeed,0xebe06ed6,0,4096
1,0xe828f726,0x44e6d74a,0,4096
