# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=0a0c787d6123a4a783e706b7278f96a686c841e0eccb7d53c3690798068777c3
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=1707
# unique_v=1707
# threads=8
r,u,v,numerator,denominator
1,0x32d7cfda,0xd6b0d38a,0,16384
1,0x32d7cfda,0x0174106d,0,16384
1,0x32d7cfda,0xb0cc2744,0,16384
1,0x32d7cfda,0x7976aba9,0,16384
1,0x5fe23f6f,0xeb32f2d8,-256,16384
1,0x5fe23f6f,0xbe60966a,0,16384
1,0x5fe23f6f,0xb0e56b3b,0,16384
1,0x5fe23f6f,0xdc2231f5,0,16384
1,0xe2434283,0x8c9f47d0,0,16384
1,0xe2434283,0xe7159bcf,0,16384
1,0xe2434283,0x4dfd445b,0,16384
1,0xe2434283,0x3cee8f2d,0,16384
1,0xf967a083,0xe4d66671,0,16384
1,0xf967a083,0xf62cb62c,0,16384
1,0xf967a083,0xba90d9a9,0,16384
1,0xf967a083,0xb406c1ac,0,16384
1,0x77fc5330,0xe5de4cd9,0,16384
1,0x77fc5330,0x62e6073d,0,16384
1,0x77fc5330,0x2553530b,0,16384
1,0x77fc5330,0xb9d525bd,0,16384
1,0x93bb8cae,0xfc3a6fe4,0,16384
1,0x93bb8cae,0xff31dbf6,512,16384
1,0x93bb8cae,0xe3621464,0,16384
1,0x93bb8cae,0xa48e28a6,0,16384
1,0x470e6798,0x9fde5b08,0,16384
1,0x470e6798,0x70506c70,0,16384
1,0x470e6798,0x174492eb,0,16384
1,0x470e6798,0xae7c58ea,0,16384
1,0xf790f708,0x8dbb67b2,0,16384
1,0xf790f708,0x898777e3,0,16384
1,0xf790f708,0xfbd9b673,0,16384
1,0xf790f708,0xd46bf314,0,16384
1,0x516621ee,0x847306c3,0,16384
1,0x516621ee,0x108f736e,-256,16384
1,0x516621ee,0x7f98bed4,0,16384
1,0x516621ee,0x10682258,0,16384
1,0xd3e4fe85,0x51e9e98d,0,16384
1,0xd3e4fe85,0xde89a6c6,0,16384
1,0xd3e4fe85,0x0a5779d1,0,16384
1,0xd3e4fe85,0x45755124,0,16384
1,0xcfd47127,0x2384d60d,0,16384
1,0xcfd47127,0x8587fe00,0,16384
1,0xcfd47127,0x7cf1936a,0,16384
1,0xcfd47127,0x8634dbdc,0,16384
1,0x4091c684,0x74a16f57,-1024,16384
1,0x4091c684,0x23a3cac4,1024,16384
1,0x4091c684,0x0ec92112,0,16384
