# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=bf117ce06ae471f8975945475cf9953dcf1b74f3471cd5931e7fb9c4517034f9
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=4096
# unique_v=4096
# threads=8
r,u,v,numerator,denominator
1,0x8a80162c,0x0e10d483,0,16384
1,0x6edb4a70,0x0154626b,-2048,16384
1,0x0ad103a4,0x51e8f06c,0,16384
1,0xa405613f,0x8da88a2e,0,16384
1,0x28baf695,0xa47abc53,0,16384
1,0xce0ead1f,0x8f9e0eb1,0,16384
1,0x5baedd5a,0xf44a773b,0,16384
1,0x3a3383fc,0x09565ac7,0,16384
1,0x19d8a467,0xa5be58f2,0,16384
1,0x2f427e56,0x0718b619,0,16384
1,0xc8524ed0,0xb0a31ffe,0,16384
1,0x389fb7b9,0xff94e801,0,16384
1,0xa18975b4,0xd32412da,0,16384
1,0xb311794d,0xb593faa0,0,16384
1,0x07ed2372,0x4ecd5814,0,16384
1,0x5782bb15,0x8a7d2caf,-512,16384
1,0xd0a60070,0x0f50fca4,0,16384
1,0x773aa9e8,0xc41c9230,0,16384
1,0x6d36a68a,0x3c0ffc84,0,16384
1,0xfe08a5ff,0x67ccbca3,0,16384
1,0x3c480808,0x3c6b7278,0,16384
1,0x7f28814a,0xfd0cbf13,0,16384
1,0xe8437848,0x63f46601,0,16384
1,0xcf4a17c9,0x72731225,0,16384
1,0x34fb7f71,0xad5edd4f,0,16384
1,0xac7b6482,0xe8ba4539,0,16384
1,0xb2ec5bd5,0xe2d9bfdf,0,16384
1,0x1b169e21,0x9a84e5d8,0,16384
1,0x4d871746,0x46940ace,0,16384
1,0x0b8d6e31,0x20e716fb,0,16384
1,0x2b2e884c,0xb0f12873,0,16384
1,0x89c8776b,0xc4f60808,0,16384
1,0x890b8e00,0x50861fc1,0,16384
1,0x17cb7b1c,0xcd4e5ddf,0,16384
1,0xaec27ac8,0x9fb5fd6c,128,16384
1,0xbfd3cdc6,0x16a1206a,0,16384
1,0x5cee882a,0x7c9354a5,0,16384
1,0x99bfcc7b,0xe9889c76,0,16384
1,0x0dccb97c,0x4daecf02,-256,16384
1,0x99043a3e,0xee0b0d7d,0,16384
1,0xf51f0e64,0x1208b3bd,0,16384
1,0xf931c604,0x251fcd7c,0,16384
1,0xfc6babec,0x514e39db,0,16384
1,0xb158b69e,0x666b9ae0,0,16384
1,0x0d5f4ccf,0x92f8284e,0,16384
1,0xb0405533,0x1ad72251,-128,16384
1,0xe9943061,0x399e56e5,0,16384
1,0x63a935b9,0x3f582e65,0,16384
1,0xfb2fe709,0xf8589f9e,0,16384
1,0x892cade4,0x3549bdb2,0,16384
1,0x7e32027d,0x8c3d1a29,0,16384
1,0xbf44e463,0x8cf3fbb3,0,16384
1,0x24dd6661,0x149e27eb,0,16384
1,0x4683cf09,0x704bdec5,0,16384
1,0xe7214c5f,0xd27ba0fc,0,16384
1,0x8b91a6ee,0x71e68133,0,16384
1,0xd02a5db2,0x355938c1,0,16384
1,0xc11e7f51,0x5c1b2233,512,16384
1,0x6b25bfe5,0xdad41f55,0,16384
1,0x12b7b328,0x2a722560,0,16384
1,0x20d721dc,0x8ecdf35e,0,16384
1,0x0131bfde,0x91aa773a,128,16384
1,0xc29c380a,0xbfeb0732,0,16384
1,0x72ccc1fe,0xd9917931,512,16384
1,0x76b257aa,0xfd9f155a,256,16384
1,0x23387267,0x4cce69f9,0,16384
1,0x7e02ec46,0xf4752715,0,16384
1,0x4ca36883,0x5628eaf3,0,16384
1,0x1f834bc2,0x01d3c8ab,0,16384
1,0x8e6f7687,0x4be362e6,0,16384
1,0xcc17ed50,0xd77ccc28,0,16384
1,0xf8a253bd,0x7bfe7ad1,0,16384
1,0x7581b3d3,0x839c3710,0,16384
1,0xe9e7df6e,0x5c860030,0,16384
1,0xbd53315e,0xdd8ac1bb,0,16384
1,0xd3295a88,0xd00b6a41,0,16384
1,0x426aa284,0x2fd2c65e,1024,16384
1,0x2512488e,0x817af015,0,16384
1,0x71763b94,0xbd052ead,0,16384
1,0x4d0775dc,0x99ed82b3,0,16384
1,0x7ae9c3e6,0x9f84d8ee,0,16384
1,0xd21cfd83,0xe384b188,-256,16384
1,0x7ab42159,0xc99a5ad9,256,16384
1,0x05081f0f,0x699102a5,0,16384
1,0x12153cd3,0x48cd78a1,0,16384
1,0xf36d9583,0xaf4c60f1,0,16384
1,0x16d3440a,0x4556a594,0,16384
1,0xf6c7645f,0x720e7fdb,0,16384
1,0x9354ecb0,0x956c49dd,0,16384
1,0xcec875d6,0x427a2597,0,16384
1,0x866dd643,0x8298b5a0,0,16384
1,0xc32a0352,0xa893c3c6,0,16384
1,0xf3cafe8c,0xb83b7d81,0,16384
1,0x0f3ab71d,0x7a148455,-256,16384
1,0x6aa65d9d,0x8addbafe,0,16384
1,0xc3d00729,0x420197ef,0,16384
1,0x2f299617,0x2a7fbd4c,0,16384
1,0xec2060c8,0x2a27d827,0,16384
1,0x78623085,0x1724e6a7,0,16384
1,0xd435a7eb,0x3ebdf37b,0,16384
1,0x8c3317b8,0xb04d3737,0,16384
1,0x89d825f2,0xa1b48756,0,16384
1,0x98506dbb,0xccffaaa3,0,16384
1,0x581e488e,0xde992797,0,16384
1,0xccbe7b2a,0x9190db9c,0,16384
1,0x6a079f98,0x0190d097,0,16384
1,0x8309dcb1,0xe4d4f61c,-128,16384
1,0x3676fad3,0x924057be,0,16384
1,0x2923a2ff,0x090db8db,0,16384
1,0xd613322d,0xb3ad6495,0,16384
1,0x2918e4fd,0x40b83d8f,0,16384
1,0xece90948,0x1ab0349f,0,16384
1,0x5e32de39,0xfd4c5e00,0,16384
1,0x28b20673,0xe1a389fb,512,16384
1,0x69ad47de,0x495a8fe0,0,16384
1,0x7547a285,0x88d90da9,1024,16384
1,0x92b1b753,0x9582bc76,0,16384
1,0xc098838f,0x74ea4483,0,16384
1,0xe1358e8f,0x0c416cdb,0,16384
1,0x13f51ba0,0x73fc6621,0,16384
1,0x96a98e4c,0x9fa899c5,0,16384
1,0x4fbd5a8c,0xde88e1ff,0,16384
1,0x4b6a9ffd,0xb6aea810,128,16384
1,0x2797f765,0x303e4f13,0,16384
1,0x6c0e053d,0x0026ea78,0,16384
1,0x34bbb009,0xb834da42,0,16384
1,0x6df4eef9,0xdd6992cd,0,16384
1,0x2172dd6f,0x509362aa,0,16384
1,0xbde58e4b,0x1a6a4a56,0,16384
1,0x6111223d,0x2e34c90d,0,16384
1,0x6cebeefb,0x1ed65db0,0,16384
1,0xa08c6b4b,0x95df166b,0,16384
1,0x8450ed9f,0xbba19661,-128,16384
1,0x6679cb42,0xf063b596,0,16384
1,0x61e25d44,0x95c42209,0,16384
1,0x66065d42,0xeaaf0cda,0,16384
1,0xf77c40b9,0xdf673e2c,0,16384
1,0x545c8e83,0xe9af3cdf,0,16384
1,0xfa3a41f7,0xed2930c5,128,16384
1,0x21061a7d,0xa32a16c5,0,16384
1,0x2bc8e4c1,0xeca92c35,-1024,16384
1,0x3e2e17b6,0x3fc5d51a,512,16384
1,0x3ddbc9f9,0x517c8932,0,16384
1,0xb9aebb72,0xf7dbc7e4,0,16384
1,0x4bbb451c,0xf3a7d9f4,256,16384
1,0x2345e742,0x2de79ed9,0,16384
1,0xc9274b75,0x5ff04d75,0,16384
1,0xc98868b7,0xf821bd9b,0,16384
1,0xc6f67d88,0xd90ee478,0,16384
1,0x70ed5c34,0xfd6ad53f,-1024,16384
1,0xf32c5f1f,0xdc2bb3ca,0,16384
1,0x45675b05,0x3322d314,0,16384
1,0x90be0798,0x43d83ed2,1024,16384
1,0xb6e5644c,0xc916afa1,0,16384
1,0x872f444b,0xa1e92274,0,16384
1,0xb70ab973,0xa39ef0e2,0,16384
1,0x1ed27e39,0xdf28613c,0,16384
1,0xb35cbd62,0x167d7567,0,16384
1,0x87257329,0xc088feb1,0,16384
1,0xdfc86a85,0x425ed22c,0,16384
1,0x1911858c,0x11413631,0,16384
1,0xd0d00bcc,0xd4234849,128,16384
1,0x32243f82,0x8ae6974c,0,16384
1,0x3ee45612,0x23ff2ca5,0,16384
1,0x5e6038cf,0x6a893d46,0,16384
1,0x446ff49a,0x9cc8ea3a,0,16384
1,0x2d67b112,0x09b9ec1c,0,16384
1,0x71928768,0x1df5aa19,0,16384
1,0x5f877041,0xdb3d2de6,0,16384
1,0x350571c5,0x6a44fc4d,0,16384
1,0xc6307235,0x654e4e2d,0,16384
1,0x52f945f8,0x1341f6be,0,16384
1,0x522576ba,0x956af581,0,16384
1,0xd758438c,0x8ea546a5,0,16384
