# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=1c7a6ed3fa2a823124154c7d434c5cbd38415bb6f3a066bdb4b18f12339ec476
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=27918336
# v_parity_evaluations=27918336
# logical_query_updates=67108864
# unique_u=213
# unique_v=213
# threads=8
r,u,v,numerator,denominator
1,0x4446789d,0xc89d2dc5,0,131072
1,0xbf89a224,0x6464d577,0,131072
1,0x416bc76d,0xf135e340,0,131072
1,0xc6b0f426,0xe002088c,0,131072
1,0xf805cdad,0xe8fd9902,0,131072
1,0x62bab8b2,0xd26a0ca2,0,131072
1,0x4d988aa9,0x5dd7717f,0,131072
1,0xb0ae41e6,0x2d918458,0,131072
1,0x51fe05c9,0x24db928d,0,131072
1,0x6a02d571,0xb4e1395c,0,131072
1,0xaee8717e,0x88a1e464,0,131072
1,0x3d59f634,0x61a07c3c,0,131072
1,0xbcfc3ddd,0x884f0796,0,131072
1,0xe1c43e47,0xbc05ac84,0,131072
1,0xc45ffe14,0xb8090956,0,131072
1,0x07ee8e0e,0xbcf27bb0,0,131072
1,0x9477e3d2,0x3cfe9d7e,0,131072
1,0xab151d9c,0x80859b94,0,131072
1,0xbc735964,0x9804a8be,0,131072
1,0x4d988aa9,0x76540873,1024,131072
1,0xadfab9a2,0x159c0235,0,131072
1,0xfa4424c7,0x2fe2f0e1,0,131072
1,0x7f96cbcd,0xf1141ea7,0,131072
1,0xe49847e5,0xad87caf6,0,131072
1,0xf6d85f7c,0x5dd7717f,0,131072
1,0xc45ffe14,0xba56da6e,0,131072
1,0x94fc411d,0xdd75bdf7,0,131072
1,0x84b9536f,0xd26a0ca2,0,131072
1,0x45e2633e,0x29d11b2b,0,131072
1,0xf832e928,0xeeeedda8,0,131072
1,0x09da4d5d,0x737700c4,0,131072
1,0x974a8da8,0x2f8355ba,0,131072
1,0xc2a76b63,0x24cf337a,0,131072
1,0x9477e3d2,0xc0a281d0,0,131072
1,0x1564a201,0xb152322f,0,131072
1,0xf01e81db,0xeb70441f,-1024,131072
1,0x5008d4b7,0xbb30be98,0,131072
1,0x3ea52a3e,0xcc7b6e00,0,131072
1,0xd536d3e1,0x538bedae,0,131072
1,0x78921007,0x064445c8,0,131072
1,0x3680afe2,0x2d918458,0,131072
1,0xfb6044a9,0x633c4c7d,0,131072
1,0xd536d3e1,0x7f5be28f,1024,131072
1,0x29fcd365,0x39452cee,0,131072
1,0xc75a0787,0x669e6678,0,131072
1,0xe14dc340,0xc104db22,0,131072
1,0x612ed1e9,0x6158f277,-512,131072
1,0x1088ca7b,0xbc2653f6,0,131072
1,0xedd4f2ab,0x2ae2d3c8,0,131072
1,0x7a2b8f74,0x633c4c7d,0,131072
1,0xcf23d34d,0xe002088c,0,131072
1,0x8b77e473,0xdcbf8046,0,131072
1,0x416bc76d,0xc448daf6,0,131072
1,0xc45ffe14,0x99f0d23a,0,131072
1,0x6ca50602,0xfc3a36f0,0,131072
1,0x1a39f4b8,0xcc7b6e00,0,131072
1,0x92d35c4f,0x9bcc594f,0,131072
1,0xc2a76b63,0x9027b553,0,131072
1,0xb1f62570,0xe9f3e80f,0,131072
1,0xb630c97a,0x46fe56cf,0,131072
1,0xea8d68c4,0xca12f8d7,0,131072
1,0xadfab9a2,0x3303dff7,0,131072
1,0xb6515652,0x5b7e74be,0,131072
1,0x1de88c4c,0x932b8aa1,0,131072
1,0xbbbcfa66,0x36b489dc,0,131072
1,0x1a39f4b8,0x5de91a7a,0,131072
1,0x7b919572,0x9d56cdbb,-2048,131072
1,0x4698191c,0xbb30be98,-512,131072
1,0x03b1d571,0xcea1a927,0,131072
1,0xbcfc3ddd,0xf71ad8ba,0,131072
1,0xd536d3e1,0xaccc7cfc,0,131072
1,0xfec4f37a,0x19080272,0,131072
1,0x4d46c56f,0xee240cf3,0,131072
1,0xbcfc3ddd,0x52fff505,0,131072
1,0x1c19e9cb,0x39452cee,0,131072
1,0x33b035dd,0xefdb5fa8,-512,131072
1,0x6493e09a,0xc9e4ab51,0,131072
1,0xe3bb6921,0x46f67e34,0,131072
1,0xd77e9eb3,0xa40f4a6a,0,131072
1,0xc0d695eb,0x947383ac,0,131072
1,0xa67d89f4,0x160be46c,0,131072
1,0xc0d695eb,0x7ec3627e,0,131072
1,0x506871b5,0xba64c494,0,131072
1,0xadfab9a2,0xe7f78f4a,0,131072
1,0x3ad43576,0x0d061173,0,131072
1,0x974a8da8,0x14a4170a,0,131072
1,0x85ec4f31,0x160be46c,0,131072
1,0x08971e41,0x2dff2672,-1024,131072
1,0x50cce75b,0x004f6a88,0,131072
1,0x68e6973d,0x6ff5e532,0,131072
1,0xea950c23,0x39683582,0,131072
1,0x6ca50602,0x7f5be28f,0,131072
1,0x10c75a7c,0x868e40e1,0,131072
1,0xf01e81db,0x14a4170a,0,131072
1,0x57b18bf2,0xce1fae9b,0,131072
1,0x5bc2018a,0x9db78f40,0,131072
1,0x879449c0,0xe3615018,0,131072
1,0x8d68078c,0xda48b7e0,0,131072
1,0xf6b43f47,0xbcf27bb0,0,131072
1,0x8357afce,0xd54823d3,0,131072
1,0x1088ca7b,0xf9ad7c35,0,131072
1,0x04c573db,0x5de91a7a,0,131072
1,0x1a39f4b8,0xfb588355,0,131072
1,0x25c8a8a7,0x2ca55787,0,131072
1,0xc61d035f,0x59c647af,0,131072
1,0xd19d439f,0x231a1951,0,131072
1,0xbc735964,0x9bcc594f,0,131072
1,0xa8fff773,0xcb3e2ec3,0,131072
1,0x68e6973d,0x738474db,0,131072
1,0xcf23d34d,0x14ae4f8e,0,131072
1,0xc68ca78b,0x24cf337a,0,131072
1,0x1980e5ba,0x258ac84f,0,131072
1,0xa1c71062,0x738474db,0,131072
1,0x3ad43576,0x415ea867,0,131072
1,0xe1c43e47,0x7ec3627e,0,131072
1,0xcf23d34d,0xc9e4ab51,0,131072
1,0x8c12ceaf,0x0418b611,0,131072
1,0x1c7c8a4c,0xcd1356bd,0,131072
1,0x37e6724e,0x5dd7717f,0,131072
1,0xc6b0f426,0xc9e4ab51,0,131072
1,0x94fc411d,0x5dd7717f,0,131072
1,0xa9ca3364,0x78682ad8,0,131072
1,0xa67d89f4,0x87c7b95c,0,131072
1,0x6f3db005,0x80859b94,0,131072
1,0xa36193ca,0x2b6bc02f,0,131072
1,0x2f8f724c,0x99f0d23a,0,131072
1,0xf832e928,0xba56da6e,0,131072
1,0x4e4dd865,0x747e4b88,0,131072
1,0xffb690d1,0xc89d2dc5,0,131072
1,0x1eecddbf,0xb8090956,0,131072
1,0xf6d85f7c,0x2ae2d3c8,0,131072
1,0xadbed0f9,0xc9e4ab51,0,131072
1,0x953f81d0,0x38638870,0,131072
1,0xd536d3e1,0x887d5e60,0,131072
1,0xa67d89f4,0xe27df45f,0,131072
1,0x24a390e3,0x43eaba22,0,131072
1,0x34465df4,0xa671230a,0,131072
1,0x4698191c,0x538bedae,-1024,131072
1,0xf3601be3,0x686b00dc,0,131072
1,0x03a5c763,0x59c647af,0,131072
1,0x1de88c4c,0xaa4449fc,0,131072
1,0xd341b0f1,0xdf83492f,0,131072
1,0xf805cdad,0xf891e677,0,131072
1,0x04c573db,0x6464d577,0,131072
1,0xffb690d1,0xe58d8051,0,131072
1,0xf6943ce2,0x14a4170a,0,131072
1,0x5bc2018a,0xf00d3995,0,131072
1,0x50cce75b,0xdd7ac3fb,0,131072
1,0x59dca03a,0xf9ad7c35,0,131072
1,0xee248b3c,0x1ee00e54,0,131072
1,0xa67d89f4,0xea3a106b,0,131072
1,0x03a5c763,0xb3ed36ec,0,131072
1,0xb9756239,0x29d11b2b,0,131072
1,0xf271b91b,0xb1355d0a,0,131072
1,0xa8fff773,0xa2e8ed22,0,131072
1,0xda1d8b3e,0x45ca8e3a,0,131072
1,0x4c7189c5,0xad87caf6,0,131072
1,0xb096d37b,0xe8fd9902,0,131072
1,0xb0ae41e6,0xce1fae9b,0,131072
1,0x534c55b0,0x5a2eacb3,0,131072
1,0xe8bd1362,0xacdf95c2,0,131072
1,0x62bab8b2,0x737700c4,0,131072
1,0x87b1dcde,0x03389009,0,131072
1,0xd5b28ecf,0x9f21f678,0,131072
1,0xbbbcfa66,0x67a9a350,0,131072
1,0x91071183,0x7d80ff07,0,131072
1,0x708bbf2b,0x9f11f9f5,0,131072
1,0xf01e81db,0x0babe814,0,131072
