# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=761ce994acc56d0311d9ac4daa5046a7fb50a5670169e431ea7db29c2a272d9c
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=512
# unique_v=512
# threads=8
r,u,v,numerator,denominator
1,0x3827da8e,0x0d397e68,0,131072
1,0xcae8b7af,0x2a707637,0,131072
1,0x8f0abfee,0xda2dbeb3,512,131072
1,0x8fd2ed94,0x60250869,0,131072
1,0x35751eed,0xd93e3d5e,0,131072
1,0x69b910aa,0x24b051aa,0,131072
1,0x95dc6303,0x74b1f9a9,0,131072
1,0xd551b518,0x7dbd8658,0,131072
1,0xe3efc31e,0xf3af055c,0,131072
1,0x5c3cafc7,0x20ceeee8,0,131072
1,0xf1d0070b,0x94685156,0,131072
1,0xb491a645,0xc39b2cc4,0,131072
1,0x22a68c28,0xb19c0bfd,0,131072
1,0x70fc4fa4,0x65ef5ae8,0,131072
1,0x30b8d669,0xfe5a165a,0,131072
1,0x2a6f6a76,0x65e8ce36,0,131072
1,0x73943ac3,0xb29ec876,0,131072
1,0xc2abb472,0x98f7e36f,0,131072
1,0xbb302582,0x6faa2c13,0,131072
1,0xd18bc9ae,0x59b95536,0,131072
1,0x3c7bd48c,0x9b21e602,0,131072
1,0xd1e29f52,0xa0ce3f31,0,131072
1,0x3949a4f2,0x0ee59eca,0,131072
1,0x43e224e6,0x1eebaf67,0,131072
1,0xc96372ea,0x03e6c3e7,0,131072
1,0xd4481171,0x72c445bf,0,131072
1,0x9a0a03ac,0x70131772,0,131072
1,0x927a4bfc,0xcbfb769d,0,131072
1,0x6aa62801,0x58e8b1f8,0,131072
1,0x0fd02391,0xb38bbe01,0,131072
1,0x59430c72,0x9571b8c3,0,131072
1,0xce03a688,0x4b40ff2b,0,131072
1,0x1467f546,0xacee96f3,0,131072
1,0x0a6508b0,0xa60cf7ab,0,131072
1,0x07bf4eb9,0x22220af2,0,131072
1,0x8007b3f7,0x909e70a8,-1024,131072
1,0xcf2d04ad,0xa06d52a0,0,131072
1,0x717e5d3e,0x418235b1,0,131072
1,0x9ec195ae,0x036bfbbd,0,131072
1,0xbca4e547,0x4300aeac,0,131072
1,0xa6170f4d,0x0e95e3d3,0,131072
1,0xb3c6fea2,0x1f427b0e,0,131072
1,0x4d5a3486,0x84431e5e,0,131072
1,0xe2eddb06,0x9992cc71,0,131072
1,0x1893e413,0xc818dde2,0,131072
1,0x31d94654,0x718fb091,0,131072
1,0xe2686951,0x4ef6122c,0,131072
1,0xd3567ee7,0x773fa29f,0,131072
1,0xb13512bd,0xd2e779cb,0,131072
1,0x3d1d70d5,0x8bf6bdd2,0,131072
1,0x074439f3,0x807083e3,0,131072
1,0x686e56c0,0x198098ee,0,131072
1,0x160ce5c4,0x6a803991,0,131072
1,0xc3070cc3,0x08579760,0,131072
1,0x6ffb5afb,0xf7cb9de4,0,131072
1,0x7d2518a3,0x12614374,0,131072
1,0x4943c277,0x342d4b6e,0,131072
1,0xcb41924f,0x0d2b5570,0,131072
1,0x0b1c1a4e,0xc7574c1e,0,131072
1,0xb835f883,0x775f526d,0,131072
1,0xa223912c,0xfbdd1b8d,0,131072
1,0xb60a97f3,0x65bce9c4,-1024,131072
1,0x52487caf,0x1447db68,0,131072
1,0xc64a5130,0xc9ce0310,0,131072
1,0x7817bd74,0xf246f3f5,0,131072
1,0x328d0dd0,0x981ee419,0,131072
1,0xff5e33c1,0x684f960b,0,131072
1,0xc7f041ed,0x67e11e40,-1024,131072
1,0x9c8c911a,0x50b73cae,0,131072
1,0xcfbd9453,0x6a17dfe5,0,131072
1,0x8ff63e1d,0x6f3ea431,0,131072
1,0xfcf34a74,0x3afe6cec,0,131072
1,0xd2007b3c,0xb12c649e,0,131072
1,0xe1883357,0x200c86ba,0,131072
1,0x9568b42d,0xcff37a60,0,131072
1,0xf781ea4c,0x970e5826,0,131072
1,0x771fdf12,0xa5757d48,0,131072
1,0x2e739d34,0x29749b76,0,131072
1,0x64844402,0xb4d2c8c7,0,131072
1,0x1a3c1863,0x05d0bd5c,0,131072
1,0x0d3a3008,0xf4976969,0,131072
1,0x8e08ae63,0x2c07f827,0,131072
1,0xde8f0e09,0x33de6805,0,131072
