# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=a7d9e46b7c15283e55f3cf50938b343dd585ec03d4279418bde15b461d9575a9
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=46137344
# v_parity_evaluations=46137344
# logical_query_updates=67108864
# unique_u=44
# unique_v=44
# threads=8
r,u,v,numerator,denominator
1,0x00000001,0x80080000,524288,1048576
1,0x00000002,0x50050000,-524288,1048576
1,0x00000006,0x20020000,-524288,1048576
1,0x00000006,0x30030000,524288,1048576
1,0x00000006,0xa00a0000,-524288,1048576
1,0x00000006,0xb00b0000,-524288,1048576
1,0x00000008,0x40040000,524288,1048576
1,0x0000000a,0x40040000,-524288,1048576
1,0x0000000c,0x40040000,-524288,1048576
1,0x0000000e,0x40040000,-524288,1048576
1,0x0000000e,0x60060000,-524288,1048576
1,0x00000010,0x00000707,-524288,1048576
1,0x00000020,0x00000101,524288,1048576
1,0x00000090,0x00000808,-524288,1048576
1,0x00000090,0x00000c0c,524288,1048576
1,0x000000d0,0x00000808,-524288,1048576
1,0x000000f0,0x00000101,524288,1048576
1,0x000000f0,0x00000505,524288,1048576
1,0x00000200,0x09990000,-524288,1048576
1,0x00000500,0x08880000,-524288,1048576
1,0x00000600,0x0bbb0000,-524288,1048576
1,0x00000d00,0x08880000,-524288,1048576
1,0x00000d00,0x0ccc0000,-524288,1048576
1,0x00000e00,0x06660000,-524288,1048576
1,0x00002000,0x00000100,524288,1048576
1,0x00002000,0x00000500,-524288,1048576
1,0x00002000,0x00000900,-524288,1048576
1,0x00002000,0x00000d00,-524288,1048576
1,0x00003000,0x00000c00,524288,1048576
1,0x00007000,0x00000c00,524288,1048576
1,0x00009000,0x00000c00,524288,1048576
1,0x0000d000,0x00000c00,-524288,1048576
1,0x00040000,0x0000a00a,-524288,1048576
1,0x00050000,0x0000f00f,524288,1048576
1,0x00080000,0x00004004,524288,1048576
1,0x000a0000,0x00004004,-524288,1048576
1,0x000a0000,0x0000e00e,524288,1048576
1,0x000b0000,0x0000d00d,524288,1048576
1,0x000c0000,0x00004004,-524288,1048576
1,0x000c0000,0x00006006,524288,1048576
1,0x000d0000,0x00008008,-524288,1048576
1,0x000d0000,0x0000c00c,-524288,1048576
1,0x000e0000,0x00004004,-524288,1048576
1,0x000e0000,0x00006006,-524288,1048576
1,0x04000000,0x00000fff,1048576,1048576
1,0x05000000,0x00000888,-1048576,1048576
1,0x05000000,0x00000fff,1048576,1048576
1,0x06000000,0x00000222,1048576,1048576
1,0x06000000,0x00000333,1048576,1048576
1,0x06000000,0x00000aaa,-1048576,1048576
1,0x06000000,0x00000bbb,-1048576,1048576
1,0x07000000,0x00000bbb,-1048576,1048576
1,0x07000000,0x00000ccc,1048576,1048576
1,0x0c000000,0x00000444,-1048576,1048576
1,0x0e000000,0x00000444,-1048576,1048576
1,0x0f000000,0x00000555,-1048576,1048576
1,0x10000000,0x07000000,-1048576,1048576
1,0x10000000,0x08000000,-1048576,1048576
1,0x20000000,0x09000000,-1048576,1048576
1,0x30000000,0x0c000000,1048576,1048576
1,0x50000000,0x08000000,-1048576,1048576
1,0x70000000,0x0c000000,1048576,1048576
1,0x90000000,0x0c000000,1048576,1048576
1,0xd0000000,0x0c000000,1048576,1048576
