# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=0ca39ea796c904c8618d54940e003431f3609f1ba04efa933622efbe24f29401
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=28311552
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=27
# unique_v=27
# threads=8
r,u,v,numerator,denominator
1,0x1070c065,0x40144889,0,1048576
1,0x1070c065,0xa337798e,0,1048576
1,0x1070c065,0xa5eb4e4f,0,1048576
1,0x1070c065,0xc919b3ab,0,1048576
1,0x371bee5c,0x40144889,0,1048576
1,0x371bee5c,0xa794c548,0,1048576
1,0x371bee5c,0xa337798e,0,1048576
1,0x371bee5c,0xa5eb4e4f,0,1048576
1,0x5c50d372,0xc919b3ab,0,1048576
1,0x5c50d372,0x1c1b368b,0,1048576
1,0x5c50d372,0x58e8771e,0,1048576
1,0x5c50d372,0x35ed64fa,0,1048576
1,0x56424457,0x4bb93cc1,0,1048576
1,0x56424457,0xc0e44ad0,0,1048576
1,0x56424457,0x40144889,0,1048576
1,0x56424457,0xf4fbee7c,0,1048576
1,0x943607db,0x86a1651c,0,1048576
1,0x943607db,0x58b90697,0,1048576
1,0x943607db,0x0d246b60,0,1048576
1,0x30b3b66f,0xd4cea11c,0,1048576
1,0x30b3b66f,0xa794c548,0,1048576
1,0x30b3b66f,0x22828719,0,1048576
1,0x2417b039,0x2999a408,0,1048576
1,0x2417b039,0xf9937a89,0,1048576
1,0x1e7e08fd,0x4e49eac0,0,1048576
1,0x1e7e08fd,0xa337798e,-8192,1048576
1,0x68c807d7,0x5dd8b7f4,0,1048576
1,0x68c807d7,0xa5eb4e4f,0,1048576
1,0xc928e550,0xc919b3ab,0,1048576
1,0xc928e550,0x94088c68,0,1048576
1,0xd5876401,0x1c1b368b,0,1048576
1,0xd5876401,0xcb10552a,0,1048576
1,0x9ff0a8cb,0x7333a453,0,1048576
1,0x9ff0a8cb,0xb298e7eb,0,1048576
1,0x7d52d6fa,0xc369cff5,0,1048576
1,0x7d52d6fa,0x5ffcd64d,0,1048576
1,0xf079103b,0xf28c8a2d,0,1048576
1,0xf079103b,0x58e8771e,0,1048576
1,0xabb66350,0x35ed64fa,0,1048576
1,0xabb66350,0x4bb93cc1,0,1048576
1,0x7d81ddc7,0xc0e44ad0,0,1048576
1,0x7d81ddc7,0x40144889,0,1048576
1,0x4596e9a3,0xf4fbee7c,0,1048576
1,0x4596e9a3,0x86a1651c,0,1048576
1,0x8bebaf9d,0x58b90697,0,1048576
1,0x8bebaf9d,0x0d246b60,0,1048576
1,0xea68344a,0xd4cea11c,0,1048576
1,0xea68344a,0xa794c548,0,1048576
1,0x35ff60c8,0x22828719,0,1048576
1,0x35ff60c8,0x2999a408,0,1048576
1,0xd1c4f41d,0xf9937a89,0,1048576
1,0xd1c4f41d,0x4e49eac0,0,1048576
1,0xca5748f3,0xa337798e,0,1048576
1,0xca5748f3,0x5dd8b7f4,0,1048576
1,0x38273b21,0xa5eb4e4f,0,1048576
1,0x38273b21,0xc919b3ab,0,1048576
1,0x205ee11e,0x94088c68,0,1048576
1,0x205ee11e,0x1c1b368b,0,1048576
1,0x9b5040cc,0xcb10552a,0,1048576
1,0x9b5040cc,0x7333a453,0,1048576
1,0xbbdf5c53,0xb298e7eb,0,1048576
1,0xbbdf5c53,0xc369cff5,0,1048576
1,0xe702b2b7,0x5ffcd64d,0,1048576
1,0xe702b2b7,0xf28c8a2d,0,1048576
