# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=314ee6262503b23292f5c09f9768a745a417342b8adc46c89b86f488c3ed2bce
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=64
# unique_v=64
# threads=8
r,u,v,numerator,denominator
1,0x67846eb7,0xfe0b72a0,0,1048576
1,0x28224253,0x34cafc68,0,1048576
1,0x927fc457,0x7ec0f65c,0,1048576
1,0x9cbffa92,0xd09c939a,0,1048576
1,0x7180c7f9,0x8e11c95c,0,1048576
1,0x5348f4a5,0x75973829,0,1048576
1,0xc092243b,0x84166efb,0,1048576
1,0xd6a5eb69,0x32a4bbb5,0,1048576
1,0xffa8b08d,0x64e81f25,0,1048576
1,0x5220f11d,0x57a852fc,0,1048576
1,0x534ae829,0x9f02f713,0,1048576
1,0x3007dbc0,0x259417aa,0,1048576
1,0xf7a5ca14,0xbc152f2d,0,1048576
1,0x4dd067f7,0x447b09c2,0,1048576
1,0x8d6a7d00,0x8268d812,0,1048576
1,0x235615e0,0xc9ecd3ac,0,1048576
1,0xc289180f,0xc76ee115,0,1048576
1,0x17c6608f,0x1f523ea9,0,1048576
1,0x28ab7ada,0x74ceb1d1,0,1048576
1,0xd6d76570,0x2d53f5d5,0,1048576
1,0x4ead77fd,0x4438e3bc,0,1048576
1,0x1a941b7f,0xbd433c50,0,1048576
1,0xfff59a6c,0x1a59673c,0,1048576
1,0xf93c96c4,0x7a59d426,0,1048576
1,0x4cd36135,0x0ced25ca,0,1048576
1,0xf2d25428,0x2f2e5f95,0,1048576
1,0xbcaff9b6,0x9395fd83,0,1048576
1,0x2445a72a,0x317000b1,0,1048576
1,0x0bf6abb1,0x7e36e1f0,0,1048576
1,0x5d633278,0x0c672562,0,1048576
1,0x03d1e25d,0x55313ee0,0,1048576
1,0xfcac739b,0x1624e3f4,0,1048576
1,0xd5a7d8c8,0x0a21bc53,0,1048576
1,0xebe9d257,0x364408c4,0,1048576
1,0x0b82689a,0xd0867f7b,0,1048576
1,0x06812364,0xa372da36,0,1048576
1,0xdce6e048,0x7b4555f4,0,1048576
1,0x8a0b824b,0x5de50b91,0,1048576
1,0x61ce0385,0x7d7215a4,0,1048576
1,0xcde501b5,0x2d6faf06,0,1048576
1,0x19640450,0x29eac07b,0,1048576
1,0xfc6624f8,0x9bb3d773,0,1048576
1,0x575a10a4,0x264d4637,0,1048576
1,0x99dcdfe6,0x43950071,0,1048576
1,0x36530a70,0xad28a9b5,0,1048576
1,0x0232cc8b,0x6c2e5224,0,1048576
1,0x2097e819,0x14ada956,0,1048576
1,0xfee4efdb,0x0f4c545e,0,1048576
1,0x035ba866,0xf8fb23dc,0,1048576
1,0xbefd9e69,0x9d637945,0,1048576
1,0x046af43c,0x01f3a133,0,1048576
1,0x95ffa67f,0x3da43500,0,1048576
1,0x916ae5fd,0x87116469,0,1048576
1,0xe6eec846,0x4f837ea0,0,1048576
1,0xa18ebecb,0x5ff6d4ef,0,1048576
1,0x13623218,0x2f0c7046,0,1048576
1,0x23baba94,0x801980fe,0,1048576
1,0xb1e974c8,0xaa80afa2,0,1048576
1,0x0c18518a,0x862a0a80,0,1048576
1,0x7fb67922,0x9f0161db,0,1048576
1,0x303b21d0,0x32fd221f,0,1048576
1,0x83598a2a,0xb03c167b,0,1048576
1,0xb66dcb39,0x8666f876,-2048,1048576
1,0xdffe9d97,0x66884322,0,1048576
